Contest,Ballot Item ID,Precinct,Candidate/Choice,Party,Total Votes,Election Day,AV Counting Boards,Early Voting
"Delegate to County Convention for Jerome Township, Precinct 1 (DEM)",01000000-5ca2-fec1-bb8a-08dedc55e1d8,"Jerome Township, Precinct 1",Write-in,Democrat,1,1,0,0
"Delegate to County Convention for Hope Township, Precinct 1 (REP)",01000000-5ca2-fec1-d90e-08dedc55e1d8,"Hope Township, Precinct 1",Marinell Schafer,Republican,206,198,0,8
"Delegate to County Convention for Hope Township, Precinct 1 (REP)",01000000-5ca2-fec1-d90e-08dedc55e1d8,"Hope Township, Precinct 1",Write-in,Republican,3,3,0,0
"Delegate to County Convention for Ingersoll Township, Precinct 2 (REP)",01000000-5ca2-fec1-da61-08dedc55e1d8,"Ingersoll Township, Precinct 2",Write-in,Republican,21,21,0,0
"Delegate to County Convention for Lee Township, Precinct 1 (REP)",01000000-5ca2-fec1-e06c-08dedc55e1d8,"Lee Township, Precinct 1",Write-in,Republican,23,23,0,0
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"City of Coleman, Precinct 1",Yes,,168,162,0,6
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"City of Coleman, Precinct 1",No,,45,39,0,6
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"City of Midland, Ward 1, Precinct 1",Yes,,683,244,405,34
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"City of Midland, Ward 1, Precinct 1",No,,218,113,98,7
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"City of Midland, Ward 1, Precinct 2",Yes,,541,185,324,32
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"City of Midland, Ward 1, Precinct 2",No,,145,77,63,5
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"City of Midland, Ward 2, Precinct 3",Yes,,658,196,433,29
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"City of Midland, Ward 2, Precinct 3",No,,179,70,95,14
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"City of Midland, Ward 2, Precinct 4",Yes,,938,307,575,56
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"City of Midland, Ward 2, Precinct 4",No,,228,113,109,6
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"City of Midland, Ward 3, Precinct 5",Yes,,786,274,470,42
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"City of Midland, Ward 3, Precinct 5",No,,243,121,116,6
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"City of Midland, Ward 3, Precinct 6",Yes,,1001,305,654,42
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"City of Midland, Ward 3, Precinct 6",No,,272,141,123,8
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"City of Midland, Ward 4, Precinct 7",Yes,,1024,308,682,34
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"City of Midland, Ward 4, Precinct 7",No,,227,109,110,8
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"City of Midland, Ward 4, Precinct 8",Yes,,964,305,609,50
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"City of Midland, Ward 4, Precinct 8",No,,262,121,133,8
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"City of Midland, Ward 5, Precinct 9",Yes,,926,317,580,29
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"City of Midland, Ward 5, Precinct 9",No,,200,114,83,3
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"City of Midland, Ward 5, Precinct 10",Yes,,1028,363,616,49
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"City of Midland, Ward 5, Precinct 10",No,,234,114,111,9
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Edenville Township, Precinct 1",Yes,,465,459,0,6
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Edenville Township, Precinct 1",No,,196,192,0,4
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Geneva Township, Precinct 1",Yes,,210,208,0,2
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Geneva Township, Precinct 1",No,,76,76,0,0
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Greendale Township, Precinct 1",Yes,,226,220,0,6
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Greendale Township, Precinct 1",No,,127,123,0,4
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Homer Township, Precinct 1",Yes,,249,245,0,4
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Homer Township, Precinct 1",No,,62,62,0,0
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Homer Township, Precinct 2",Yes,,214,212,0,2
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Homer Township, Precinct 2",No,,87,84,0,3
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Homer Township, Precinct 3",Yes,,321,305,0,16
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Homer Township, Precinct 3",No,,85,84,0,1
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Hope Township, Precinct 1",Yes,,251,244,0,7
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Hope Township, Precinct 1",No,,133,132,0,1
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Ingersoll Township, Precinct 1",Yes,,274,269,0,5
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Ingersoll Township, Precinct 1",No,,110,107,0,3
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Ingersoll Township, Precinct 2",Yes,,186,183,0,3
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Ingersoll Township, Precinct 2",No,,86,85,0,1
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Jasper Township, Precinct 1",Yes,,157,157,0,0
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Jasper Township, Precinct 1",No,,68,68,0,0
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Jerome Township, Precinct 1",Yes,,484,144,328,12
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Jerome Township, Precinct 1",No,,152,56,92,4
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Jerome Township, Precinct 2",Yes,,411,137,258,16
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Jerome Township, Precinct 2",No,,165,84,80,1
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Larkin Township, Precinct 1",Yes,,523,219,285,19
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Larkin Township, Precinct 1",No,,222,122,95,5
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Larkin Township, Precinct 2",Yes,,717,303,384,30
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Larkin Township, Precinct 2",No,,255,140,104,11
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Lee Township, Precinct 1",Yes,,267,259,0,8
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Lee Township, Precinct 1",No,,121,120,0,1
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Lee Township, Precinct 2",Yes,,258,248,0,10
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Lee Township, Precinct 2",No,,116,115,0,1
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Lincoln Township, Precinct 1",Yes,,531,509,0,22
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Lincoln Township, Precinct 1",No,,194,192,0,2
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Midland Township, Precinct 1",Yes,,390,379,0,11
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Midland Township, Precinct 1",No,,130,128,0,2
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Mills Township, Precinct 1",Yes,,327,313,0,14
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Mills Township, Precinct 1",No,,141,141,0,0
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Mt. Haley Township, Precinct 1",Yes,,293,273,0,20
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Mt. Haley Township, Precinct 1",No,,111,109,0,2
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Porter Township, Precinct 1",Yes,,179,176,0,3
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Porter Township, Precinct 1",No,,76,75,0,1
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Warren Township, Precinct 1",Yes,,311,308,0,3
Midland County Services to Older Citizens Millage Renewal Proposal,01000000-5ca2-fec1-e524-08dedc55e1d8,"Warren Township, Precinct 1",No,,138,137,0,1
"Delegate to County Convention for City of Coleman, Precinct 1 (DEM)",01000000-5ca2-fec1-adef-08dedc55e1d8,"City of Coleman, Precinct 1",Write-in,Democrat,23,23,0,0
"Delegate to County Convention for City of Midland, Ward 1, Precinct 2 (Bay) (REP)",01000000-5ca2-fec1-cb10-08dedc55e1d8,"City of Midland, Ward 1, Precinct 2",Write-in,Republican,7,7,0,0
"Delegate to County Convention for Greendale Township, Precinct 1 (DEM)",01000000-5ca2-fec1-b8d6-08dedc55e1d8,"Greendale Township, Precinct 1",Write-in,Democrat,24,24,0,0
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"City of Midland, Ward 1, Precinct 1",Jason Tunney,Republican,267,134,116,17
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"City of Midland, Ward 1, Precinct 1",Chadwick Twillman,Republican,32,15,16,1
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"City of Midland, Ward 1, Precinct 1",Write-in,Republican,0,0,0,0
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"City of Midland, Ward 1, Precinct 2",Jason Tunney,Republican,214,107,104,3
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"City of Midland, Ward 1, Precinct 2",Chadwick Twillman,Republican,37,24,12,1
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"City of Midland, Ward 1, Precinct 2",Write-in,Republican,0,0,0,0
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"City of Midland, Ward 2, Precinct 3",Jason Tunney,Republican,268,104,148,16
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"City of Midland, Ward 2, Precinct 3",Chadwick Twillman,Republican,34,20,14,0
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"City of Midland, Ward 2, Precinct 3",Write-in,Republican,1,0,0,1
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"City of Midland, Ward 2, Precinct 4",Jason Tunney,Republican,307,143,150,14
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"City of Midland, Ward 2, Precinct 4",Chadwick Twillman,Republican,57,25,28,4
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"City of Midland, Ward 2, Precinct 4",Write-in,Republican,0,0,0,0
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"City of Midland, Ward 3, Precinct 5",Jason Tunney,Republican,366,190,166,10
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"City of Midland, Ward 3, Precinct 5",Chadwick Twillman,Republican,22,11,11,0
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"City of Midland, Ward 3, Precinct 5",Write-in,Republican,0,0,0,0
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"City of Midland, Ward 3, Precinct 6",Jason Tunney,Republican,420,191,202,27
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"City of Midland, Ward 3, Precinct 6",Chadwick Twillman,Republican,41,15,23,3
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"City of Midland, Ward 3, Precinct 6",Write-in,Republican,2,2,0,0
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"City of Midland, Ward 4, Precinct 7",Jason Tunney,Republican,389,161,217,11
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"City of Midland, Ward 4, Precinct 7",Chadwick Twillman,Republican,44,16,28,0
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"City of Midland, Ward 4, Precinct 7",Write-in,Republican,2,2,0,0
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"City of Midland, Ward 4, Precinct 8",Jason Tunney,Republican,364,164,184,16
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"City of Midland, Ward 4, Precinct 8",Chadwick Twillman,Republican,46,24,20,2
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"City of Midland, Ward 4, Precinct 8",Write-in,Republican,1,0,0,1
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"City of Midland, Ward 5, Precinct 9",Jason Tunney,Republican,307,175,127,5
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"City of Midland, Ward 5, Precinct 9",Chadwick Twillman,Republican,38,18,20,0
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"City of Midland, Ward 5, Precinct 9",Write-in,Republican,0,0,0,0
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"City of Midland, Ward 5, Precinct 10",Jason Tunney,Republican,386,183,185,18
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"City of Midland, Ward 5, Precinct 10",Chadwick Twillman,Republican,48,27,18,3
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"City of Midland, Ward 5, Precinct 10",Write-in,Republican,0,0,0,0
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"Homer Township, Precinct 1",Jason Tunney,Republican,112,112,0,0
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"Homer Township, Precinct 1",Chadwick Twillman,Republican,10,10,0,0
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"Homer Township, Precinct 1",Write-in,Republican,0,0,0,0
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"Homer Township, Precinct 2",Jason Tunney,Republican,136,134,0,2
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"Homer Township, Precinct 2",Chadwick Twillman,Republican,25,25,0,0
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"Homer Township, Precinct 2",Write-in,Republican,0,0,0,0
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"Homer Township, Precinct 3",Jason Tunney,Republican,155,151,0,4
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"Homer Township, Precinct 3",Chadwick Twillman,Republican,22,22,0,0
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"Homer Township, Precinct 3",Write-in,Republican,3,3,0,0
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"Ingersoll Township, Precinct 1",Jason Tunney,Republican,168,163,0,5
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"Ingersoll Township, Precinct 1",Chadwick Twillman,Republican,30,30,0,0
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"Ingersoll Township, Precinct 1",Write-in,Republican,1,1,0,0
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"Ingersoll Township, Precinct 2",Jason Tunney,Republican,124,123,0,1
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"Ingersoll Township, Precinct 2",Chadwick Twillman,Republican,15,15,0,0
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"Ingersoll Township, Precinct 2",Write-in,Republican,1,1,0,0
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"Larkin Township, Precinct 1",Jason Tunney,Republican,363,190,162,11
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"Larkin Township, Precinct 1",Chadwick Twillman,Republican,50,37,11,2
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"Larkin Township, Precinct 1",Write-in,Republican,0,0,0,0
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"Larkin Township, Precinct 2",Jason Tunney,Republican,452,261,176,15
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"Larkin Township, Precinct 2",Chadwick Twillman,Republican,63,39,22,2
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"Larkin Township, Precinct 2",Write-in,Republican,0,0,0,0
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"Lincoln Township, Precinct 1",Jason Tunney,Republican,309,304,0,5
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"Lincoln Township, Precinct 1",Chadwick Twillman,Republican,45,43,0,2
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"Lincoln Township, Precinct 1",Write-in,Republican,0,0,0,0
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"Midland Township, Precinct 1",Jason Tunney,Republican,231,223,0,8
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"Midland Township, Precinct 1",Chadwick Twillman,Republican,37,37,0,0
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"Midland Township, Precinct 1",Write-in,Republican,0,0,0,0
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"Mt. Haley Township, Precinct 1",Jason Tunney,Republican,183,179,0,4
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"Mt. Haley Township, Precinct 1",Chadwick Twillman,Republican,18,18,0,0
State Senator 35th District (REP),01000000-5ca2-fec1-c2c9-08dedc55e1d8,"Mt. Haley Township, Precinct 1",Write-in,Republican,0,0,0,0
Township Clerk Partial Term Ending 11/20/2028 for Larkin Township (REP),01000000-5ca2-fec1-c57a-08dedc55e1d8,"Larkin Township, Precinct 1",Mary Draves,Republican,174,90,77,7
Township Clerk Partial Term Ending 11/20/2028 for Larkin Township (REP),01000000-5ca2-fec1-c57a-08dedc55e1d8,"Larkin Township, Precinct 1",Greydon Koellmann,Republican,285,166,110,9
Township Clerk Partial Term Ending 11/20/2028 for Larkin Township (REP),01000000-5ca2-fec1-c57a-08dedc55e1d8,"Larkin Township, Precinct 1",Write-in,Republican,1,0,1,0
Township Clerk Partial Term Ending 11/20/2028 for Larkin Township (REP),01000000-5ca2-fec1-c57a-08dedc55e1d8,"Larkin Township, Precinct 2",Mary Draves,Republican,216,111,95,10
Township Clerk Partial Term Ending 11/20/2028 for Larkin Township (REP),01000000-5ca2-fec1-c57a-08dedc55e1d8,"Larkin Township, Precinct 2",Greydon Koellmann,Republican,373,222,140,11
Township Clerk Partial Term Ending 11/20/2028 for Larkin Township (REP),01000000-5ca2-fec1-c57a-08dedc55e1d8,"Larkin Township, Precinct 2",Write-in,Republican,0,0,0,0
Governor (DEM),01000000-5ca2-fec1-8ff5-08dedc55e1d8,"City of Coleman, Precinct 1",Jocelyn Benson,Democrat,65,65,0,0
Governor (DEM),01000000-5ca2-fec1-8ff5-08dedc55e1d8,"City of Coleman, Precinct 1",Christopher Robert Swanson,Democrat,38,35,0,3
Governor (DEM),01000000-5ca2-fec1-8ff5-08dedc55e1d8,"City of Coleman, Precinct 1",Write-in,Democrat,0,0,0,0
Governor (DEM),01000000-5ca2-fec1-8ff5-08dedc55e1d8,"City of Midland, Ward 1, Precinct 1",Jocelyn Benson,Democrat,401,122,264,15
Governor (DEM),01000000-5ca2-fec1-8ff5-08dedc55e1d8,"City of Midland, Ward 1, Precinct 1",Christopher Robert Swanson,Democrat,198,86,103,9
Governor (DEM),01000000-5ca2-fec1-8ff5-08dedc55e1d8,"City of Midland, Ward 1, Precinct 1",Write-in,Democrat,1,1,0,0
Governor (DEM),01000000-5ca2-fec1-8ff5-08dedc55e1d8,"City of Midland, Ward 1, Precinct 2",Jocelyn Benson,Democrat,300,94,184,22
Governor (DEM),01000000-5ca2-fec1-8ff5-08dedc55e1d8,"City of Midland, Ward 1, Precinct 2",Christopher Robert Swanson,Democrat,153,56,84,13
Governor (DEM),01000000-5ca2-fec1-8ff5-08dedc55e1d8,"City of Midland, Ward 1, Precinct 2",Write-in,Democrat,1,1,0,0
Governor (DEM),01000000-5ca2-fec1-8ff5-08dedc55e1d8,"City of Midland, Ward 2, Precinct 3",Jocelyn Benson,Democrat,374,97,260,17
Governor (DEM),01000000-5ca2-fec1-8ff5-08dedc55e1d8,"City of Midland, Ward 2, Precinct 3",Christopher Robert Swanson,Democrat,168,61,94,13
Governor (DEM),01000000-5ca2-fec1-8ff5-08dedc55e1d8,"City of Midland, Ward 2, Precinct 3",Write-in,Democrat,1,1,0,0
Governor (DEM),01000000-5ca2-fec1-8ff5-08dedc55e1d8,"City of Midland, Ward 2, Precinct 4",Jocelyn Benson,Democrat,594,170,384,40
Governor (DEM),01000000-5ca2-fec1-8ff5-08dedc55e1d8,"City of Midland, Ward 2, Precinct 4",Christopher Robert Swanson,Democrat,211,85,120,6
Governor (DEM),01000000-5ca2-fec1-8ff5-08dedc55e1d8,"City of Midland, Ward 2, Precinct 4",Write-in,Democrat,1,1,0,0
Governor (DEM),01000000-5ca2-fec1-8ff5-08dedc55e1d8,"City of Midland, Ward 3, Precinct 5",Jocelyn Benson,Democrat,465,147,286,32
Governor (DEM),01000000-5ca2-fec1-8ff5-08dedc55e1d8,"City of Midland, Ward 3, Precinct 5",Christopher Robert Swanson,Democrat,163,58,97,8
Governor (DEM),01000000-5ca2-fec1-8ff5-08dedc55e1d8,"City of Midland, Ward 3, Precinct 5",Write-in,Democrat,1,1,0,0
Governor (DEM),01000000-5ca2-fec1-8ff5-08dedc55e1d8,"City of Midland, Ward 3, Precinct 6",Jocelyn Benson,Democrat,591,162,414,15
Governor (DEM),01000000-5ca2-fec1-8ff5-08dedc55e1d8,"City of Midland, Ward 3, Precinct 6",Christopher Robert Swanson,Democrat,186,75,106,5
Governor (DEM),01000000-5ca2-fec1-8ff5-08dedc55e1d8,"City of Midland, Ward 3, Precinct 6",Write-in,Democrat,1,1,0,0
Governor (DEM),01000000-5ca2-fec1-8ff5-08dedc55e1d8,"City of Midland, Ward 4, Precinct 7",Jocelyn Benson,Democrat,611,166,419,26
Governor (DEM),01000000-5ca2-fec1-8ff5-08dedc55e1d8,"City of Midland, Ward 4, Precinct 7",Christopher Robert Swanson,Democrat,178,67,102,9
Governor (DEM),01000000-5ca2-fec1-8ff5-08dedc55e1d8,"City of Midland, Ward 4, Precinct 7",Write-in,Democrat,3,3,0,0
Governor (DEM),01000000-5ca2-fec1-8ff5-08dedc55e1d8,"City of Midland, Ward 4, Precinct 8",Jocelyn Benson,Democrat,629,172,427,30
Governor (DEM),01000000-5ca2-fec1-8ff5-08dedc55e1d8,"City of Midland, Ward 4, Precinct 8",Christopher Robert Swanson,Democrat,174,72,96,6
Governor (DEM),01000000-5ca2-fec1-8ff5-08dedc55e1d8,"City of Midland, Ward 4, Precinct 8",Write-in,Democrat,1,1,0,0
Governor (DEM),01000000-5ca2-fec1-8ff5-08dedc55e1d8,"City of Midland, Ward 5, Precinct 9",Jocelyn Benson,Democrat,568,172,379,17
Governor (DEM),01000000-5ca2-fec1-8ff5-08dedc55e1d8,"City of Midland, Ward 5, Precinct 9",Christopher Robert Swanson,Democrat,230,88,134,8
Governor (DEM),01000000-5ca2-fec1-8ff5-08dedc55e1d8,"City of Midland, Ward 5, Precinct 9",Write-in,Democrat,2,1,0,1
Governor (DEM),01000000-5ca2-fec1-8ff5-08dedc55e1d8,"City of Midland, Ward 5, Precinct 10",Jocelyn Benson,Democrat,619,203,391,25
Governor (DEM),01000000-5ca2-fec1-8ff5-08dedc55e1d8,"City of Midland, Ward 5, Precinct 10",Christopher Robert Swanson,Democrat,217,83,118,16
Governor (DEM),01000000-5ca2-fec1-8ff5-08dedc55e1d8,"City of Midland, Ward 5, Precinct 10",Write-in,Democrat,0,0,0,0
Governor (DEM),01000000-5ca2-fec1-8ff5-08dedc55e1d8,"Edenville Township, Precinct 1",Jocelyn Benson,Democrat,161,159,0,2
Governor (DEM),01000000-5ca2-fec1-8ff5-08dedc55e1d8,"Edenville Township, Precinct 1",Christopher Robert Swanson,Democrat,98,92,0,6
