Precinct,"Larry Rocca
Republican","Sherri Murphy
Republican","Erin A. Stahl
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
"Clinton Township, Precinct 4",35,19,15,69,105,174
"Clinton Township, Precinct 5",11,4,6,21,349,370
"Clinton Township, Precinct 6",81,36,53,170,416,586
"Clinton Township, Precinct 7",34,34,28,96,166,262
"Clinton Township, Precinct 8",75,32,71,178,291,469
"Clinton Township, Precinct 9",55,32,38,125,201,326
"Clinton Township, Precinct 10",183,63,52,298,268,566
"Clinton Township, Precinct 11",72,37,38,147,308,455
"Clinton Township, Precinct 12",25,30,28,83,170,253
"Clinton Township, Precinct 13",88,71,36,195,339,534
"Clinton Township, Precinct 14",51,23,27,101,132,233
"Clinton Township, Precinct 15",84,45,55,184,265,449
"Clinton Township, Precinct 16",133,64,38,235,411,646
"Clinton Township, Precinct 17",76,59,53,188,283,471
"Clinton Township, Precinct 18",112,46,55,213,293,506
"Clinton Township, Precinct 19",185,83,52,320,365,685
"Clinton Township, Precinct 20",8,7,11,26,67,93
"Clinton Township, Precinct 21",48,24,24,96,253,349
"Clinton Township, Precinct 22",54,39,25,118,417,535
"Clinton Township, Precinct 23",165,66,69,300,491,791
"Clinton Township, Precinct 24",78,47,58,183,294,477
"Clinton Township, Precinct 25",103,56,28,187,370,557
"Clinton Township, Precinct 26",167,66,47,280,386,666
"Clinton Township, Precinct 27",162,59,58,279,329,608
"Clinton Township, Precinct 28",45,24,20,89,334,423
"Clinton Township, Precinct 29",187,83,67,337,438,775
"Clinton Township, Precinct 30",59,46,53,158,377,535
"Clinton Township, Precinct 31",97,67,49,213,416,629
"Clinton Township, Precinct 32",103,32,47,182,269,451
"Clinton Township, Precinct 33",135,87,87,309,555,864
"Clinton Township, Precinct 34",68,42,18,128,391,519
"Clinton Township, Precinct 35",293,101,71,465,649,"1,114"
"Clinton Township, Precinct 36",114,48,57,219,427,646
"Clinton Township, Precinct 37",161,106,59,326,548,874
"Clinton Township, Precinct 38",144,42,47,233,326,559
"Clinton Township, Precinct 39",123,64,60,247,354,601
"Clinton Township, Precinct 40",187,86,39,312,520,832
"Clinton Township, Precinct 41",151,51,58,260,370,630
"Clinton Township, Precinct 42",84,45,55,184,424,608
"Clinton Township, Precinct 43",79,50,26,155,180,335
"Clinton Township, Precinct 44",288,90,92,470,629,"1,099"
"Clinton Township, Precinct 45",131,71,84,286,404,690
"Clinton Township, Precinct 46",258,133,51,442,708,"1,150"
"Eastpointe City, Precinct 1",40,25,16,81,335,416
"Eastpointe City, Precinct 2",48,33,32,113,497,610
"Eastpointe City, Precinct 3",65,39,51,155,383,538
"Eastpointe City, Precinct 4",50,31,44,125,387,512
"Eastpointe City, Precinct 5",64,42,26,132,368,500
"Eastpointe City, Precinct 6",46,29,23,98,421,519
"Eastpointe City, Precinct 7",21,15,10,46,465,511
"Eastpointe City, Precinct 8",27,15,7,49,626,675
"Eastpointe City, Precinct 9",22,18,3,43,420,463
"Eastpointe City, Precinct 10",40,19,28,87,244,331
"Eastpointe City, Precinct 11",54,30,14,98,382,480
"Eastpointe City, Precinct 12",105,38,38,181,630,811
"Eastpointe City, Precinct 13",26,12,16,54,237,291
"Eastpointe City, Precinct 14",38,26,18,82,495,577
"Fraser City, Precinct 1",88,52,27,167,254,421
"Fraser City, Precinct 2",125,88,79,292,353,645
"Fraser City, Precinct 3",120,75,41,236,508,744
"Fraser City, Precinct 4",108,46,46,200,373,573
"Fraser City, Precinct 5",27,16,21,64,112,176
"Fraser City, Precinct 6",133,113,52,298,489,787
"Fraser City, Precinct 7",69,36,34,139,270,409
"Village of Grosse Pointe Shores City, Precinct 3",5,10,2,17,13,30
"Harrison Township, Precinct 1",103,107,83,293,411,704
"Harrison Township, Precinct 2",137,111,85,333,527,860
"Harrison Township, Precinct 3",145,161,93,399,421,820
"Harrison Township, Precinct 4",160,145,99,404,458,862
"Harrison Township, Precinct 5",216,224,149,589,383,972
"Harrison Township, Precinct 6",191,167,72,430,477,907
"Harrison Township, Precinct 7",178,177,127,482,441,923
"Harrison Township, Precinct 8",61,58,76,195,335,530
"Harrison Township, Precinct 9",176,189,117,482,353,835
"Harrison Township, Precinct 10",172,129,89,390,372,762
"Lenox Township, Precinct 1",99,86,80,265,238,503
"Lenox Township, Precinct 2",99,107,79,285,349,634
"Lenox Township, Precinct 3",80,49,63,192,382,574
"Lenox Township, Precinct 4",43,19,28,90,156,246
"Macomb Township, Precinct 1",154,90,47,291,250,541
"Macomb Township, Precinct 2",168,71,87,326,348,674
"Macomb Township, Precinct 3",151,90,81,322,277,599
"Macomb Township, Precinct 4",166,83,62,311,338,649
"Macomb Township, Precinct 5",205,100,72,377,400,777
"Macomb Township, Precinct 6",139,74,64,277,312,589
"Macomb Township, Precinct 7",130,95,58,283,309,592
"Macomb Township, Precinct 8",166,91,54,311,343,654
"Macomb Township, Precinct 9",138,75,71,284,182,466
"Macomb Township, Precinct 10",70,53,33,156,321,477
"Macomb Township, Precinct 11",203,96,85,384,377,761
"Macomb Township, Precinct 12",176,100,66,342,398,740
"Macomb Township, Precinct 13",186,110,49,345,324,669
"Macomb Township, Precinct 14",227,88,78,393,384,777
"Macomb Township, Precinct 15",271,105,93,469,381,850
"Macomb Township, Precinct 16",216,137,98,451,448,899
"Macomb Township, Precinct 17",203,101,75,379,401,780
"Macomb Township, Precinct 18",74,48,53,175,298,473
"Macomb Township, Precinct 19",51,31,12,94,192,286
"Macomb Township, Precinct 20",172,90,66,328,355,683
"Macomb Township, Precinct 21",226,119,89,434,417,851
"Macomb Township, Precinct 22",200,147,63,410,388,798
"Macomb Township, Precinct 23",231,102,92,425,348,773
"Macomb Township, Precinct 24",199,135,118,452,484,936
"Macomb Township, Precinct 25",142,69,38,249,242,491
"Macomb Township, Precinct 26",140,50,47,237,213,450
"Macomb Township, Precinct 27",215,113,88,416,380,796
"Macomb Township, Precinct 28",131,90,65,286,246,532
"Macomb Township, Precinct 29",131,59,42,232,340,572
"Macomb Township, Precinct 30",186,105,62,353,311,664
"Macomb Township, Precinct 31",125,96,39,260,242,502
"Macomb Township, Precinct 32",195,74,61,330,304,634
"Macomb Township, Precinct 33",107,58,46,211,253,464
"Macomb Township, Precinct 34",142,87,42,271,289,560
"Macomb Township, Precinct 35",138,75,46,259,357,616
"Macomb Township, Precinct 36",106,68,56,230,257,487
"Macomb Township, Precinct 37",153,116,60,329,278,607
"Memphis City, Precinct 1",34,41,25,100,86,186
"Mount Clemens City, Precinct 1",21,12,16,49,337,386
"Mount Clemens City, Precinct 2",69,47,69,185,454,639
"Mount Clemens City, Precinct 3",89,90,54,233,548,781
"Mount Clemens City, Precinct 4",43,27,31,101,278,379
"Mount Clemens City, Precinct 6",58,48,66,172,628,800
"Mount Clemens City, Precinct 9",103,100,56,259,461,720
"New Baltimore City, Precinct 1",111,52,61,224,255,479
"New Baltimore City, Precinct 2",85,53,62,200,174,374
"New Baltimore City, Precinct 3",188,139,98,425,428,853
"New Baltimore City, Precinct 4",142,93,79,314,388,702
"New Baltimore City, Precinct 5",90,100,89,279,347,626
"Ray Township, Precinct 1",166,93,73,332,282,614
"Ray Township, Precinct 2",187,130,143,460,375,835
"Richmond City, Precinct 1",164,131,130,425,412,837
"Richmond City, Precinct 2",146,72,96,314,327,641
"Richmond Township, Precinct 1",98,115,74,287,187,474
"Richmond Township, Precinct 2",109,67,92,268,205,473
"Roseville City, Precinct 1",89,47,62,198,355,553
"Roseville City, Precinct 2",120,76,53,249,583,832
"Roseville City, Precinct 3",58,31,33,122,436,558
"Roseville City, Precinct 4",33,18,45,96,240,336
"Roseville City, Precinct 5",67,61,34,162,338,500
"Roseville City, Precinct 6",130,65,69,264,458,722
"Roseville City, Precinct 7",101,51,83,235,505,740
"Roseville City, Precinct 8",101,80,48,229,502,731
"Roseville City, Precinct 9",155,75,69,299,529,828
"Roseville City, Precinct 10",73,32,37,142,261,403
"Roseville City, Precinct 11",90,62,22,174,384,558
"Roseville City, Precinct 12",81,31,47,159,347,506
"Roseville City, Precinct 13",29,25,37,91,205,296
"Roseville City, Precinct 14",71,51,32,154,302,456
"Roseville City, Precinct 15",82,34,38,154,533,687
"Shelby Township, Precinct 1",281,165,141,587,439,"1,026"
"Shelby Township, Precinct 2",238,152,90,480,333,813
"Shelby Township, Precinct 3",120,45,47,212,153,365
"Shelby Township, Precinct 4",168,113,80,361,323,684
"Shelby Township, Precinct 5",109,76,38,223,290,513
"Shelby Township, Precinct 6",87,51,48,186,254,440
"Shelby Township, Precinct 7",195,112,119,426,402,828
"Shelby Township, Precinct 8",110,79,41,230,188,418
"Shelby Township, Precinct 9",83,57,40,180,202,382
"Shelby Township, Precinct 10",120,87,83,290,243,533
"Shelby Township, Precinct 11",150,121,54,325,328,653
"Shelby Township, Precinct 12",166,103,62,331,229,560
"Shelby Township, Precinct 13",74,73,66,213,200,413
"Shelby Township, Precinct 14",207,155,76,438,374,812
"Shelby Township, Precinct 15",241,107,103,451,424,875
"Shelby Township, Precinct 16",295,179,126,600,532,"1,132"
"Shelby Township, Precinct 17",215,143,84,442,434,876
"Shelby Township, Precinct 18",147,90,78,315,343,658
"Shelby Township, Precinct 19",129,100,81,310,283,593
"Shelby Township, Precinct 20",98,71,49,218,273,491
"Shelby Township, Precinct 21",51,24,16,91,216,307
"Shelby Township, Precinct 22",272,190,159,621,540,"1,161"
"Shelby Township, Precinct 23",308,163,97,568,387,955
"Shelby Township, Precinct 24",372,217,141,730,543,"1,273"
"Shelby Township, Precinct 25",219,129,105,453,422,875
"Shelby Township, Precinct 26",175,121,75,371,421,792
"Shelby Township, Precinct 27",216,82,68,366,441,807
"Shelby Township, Precinct 28",203,105,126,434,510,944
"Shelby Township, Precinct 29",137,65,42,244,234,478
"Shelby Township, Precinct 30",159,86,76,321,297,618
"St. Clair Shores City, Precinct 1",178,104,177,459,690,"1,149"
"St. Clair Shores City, Precinct 2",135,116,111,362,619,981
"St. Clair Shores City, Precinct 3",120,70,99,289,589,878
"St. Clair Shores City, Precinct 4",127,95,123,345,555,900
"St. Clair Shores City, Precinct 5",108,77,74,259,557,816
"St. Clair Shores City, Precinct 6",80,32,77,189,587,776
"St. Clair Shores City, Precinct 7",60,34,70,164,325,489
"St. Clair Shores City, Precinct 8",110,64,85,259,484,743
"St. Clair Shores City, Precinct 9",90,32,70,192,295,487
"St. Clair Shores City, Precinct 10",118,52,139,309,523,832
"St. Clair Shores City, Precinct 11",62,40,48,150,216,366
"St. Clair Shores City, Precinct 12",219,64,127,410,582,992
"St. Clair Shores City, Precinct 13",242,126,168,536,622,"1,158"
"St. Clair Shores City, Precinct 14",54,38,35,127,194,321
"St. Clair Shores City, Precinct 15",158,59,123,340,556,896
"St. Clair Shores City, Precinct 16",117,86,138,341,476,817
"St. Clair Shores City, Precinct 17",162,138,146,446,537,983
"St. Clair Shores City, Precinct 18",163,63,73,299,419,718
"St. Clair Shores City, Precinct 19",91,70,96,257,358,615
"St. Clair Shores City, Precinct 20",59,47,50,156,271,427
"St. Clair Shores City, Precinct 21",154,42,95,291,369,660
"St. Clair Shores City, Precinct 22",108,59,95,262,292,554
"St. Clair Shores City, Precinct 23",104,79,79,262,415,677
"Sterling Heights City, Precinct 1",108,26,29,163,293,456
"Sterling Heights City, Precinct 2",128,63,46,237,483,720
"Sterling Heights City, Precinct 3",150,80,36,266,576,842
"Sterling Heights City, Precinct 4",187,90,56,333,669,"1,002"
"Sterling Heights City, Precinct 5",156,83,59,298,616,914
"Sterling Heights City, Precinct 6",118,57,34,209,309,518
"Sterling Heights City, Precinct 7",183,60,44,287,425,712
"Sterling Heights City, Precinct 8",122,54,50,226,363,589
"Sterling Heights City, Precinct 9",80,35,15,130,201,331
"Sterling Heights City, Precinct 10",210,33,55,298,465,763
"Sterling Heights City, Precinct 11",101,42,27,170,270,440
"Sterling Heights City, Precinct 12",195,97,43,335,515,850
"Sterling Heights City, Precinct 13",117,37,20,174,303,477
"Sterling Heights City, Precinct 14",75,32,27,134,279,413
"Sterling Heights City, Precinct 15",126,60,18,204,225,429
"Sterling Heights City, Precinct 16",106,28,28,162,279,441
"Sterling Heights City, Precinct 17",102,52,45,199,272,471
"Sterling Heights City, Precinct 18",165,77,54,296,482,778
"Sterling Heights City, Precinct 19",180,59,45,284,501,785
"Sterling Heights City, Precinct 20",171,54,61,286,425,711
"Sterling Heights City, Precinct 21",94,42,27,163,248,411
"Sterling Heights City, Precinct 22",149,34,30,213,281,494
"Sterling Heights City, Precinct 23",137,40,37,214,299,513
"Sterling Heights City, Precinct 24",119,67,28,214,285,499
"Sterling Heights City, Precinct 25",229,71,61,361,509,870
"Sterling Heights City, Precinct 26",211,85,81,377,445,822
"Sterling Heights City, Precinct 27",172,78,42,292,408,700
"Sterling Heights City, Precinct 28",175,60,50,285,418,703
"Sterling Heights City, Precinct 29",146,71,50,267,345,612
"Sterling Heights City, Precinct 30",92,34,13,139,223,362
"Sterling Heights City, Precinct 31",77,25,31,133,229,362
"Sterling Heights City, Precinct 32",34,25,14,73,112,185
"Sterling Heights City, Precinct 33",150,74,27,251,333,584
"Sterling Heights City, Precinct 34",205,100,51,356,374,730
"Sterling Heights City, Precinct 35",74,25,28,127,223,350
"Sterling Heights City, Precinct 36",205,91,51,347,456,803
"Sterling Heights City, Precinct 37",173,60,42,275,407,682
"Sterling Heights City, Precinct 38",184,86,72,342,539,881
"Sterling Heights City, Precinct 39",157,71,36,264,339,603
"Sterling Heights City, Precinct 40",77,26,25,128,167,295
"Sterling Heights City, Precinct 41",103,45,43,191,257,448
"Sterling Heights City, Precinct 42",161,97,39,297,317,614
"Sterling Heights City, Precinct 43",292,103,78,473,649,"1,122"
"Sterling Heights City, Precinct 44",147,72,43,262,346,608
"Sterling Heights City, Precinct 45",172,105,31,308,473,781
"Utica City, Precinct 1",42,22,18,82,124,206
"Utica City, Precinct 2",96,54,46,196,238,434
"Utica City, Precinct 3",79,63,36,178,278,456
"Warren City, Precinct 1",46,45,29,120,421,541
"Warren City, Precinct 3",38,42,27,107,429,536
"Warren City, Precinct 4",51,52,22,125,308,433
"Warren City, Precinct 5",46,36,17,99,346,445
"Warren City, Precinct 6",58,53,41,152,388,540
"Warren City, Precinct 7",27,23,6,56,219,275
"Warren City, Precinct 8",33,17,15,65,229,294
"Warren City, Precinct 9",47,18,19,84,255,339
"Warren City, Precinct 10",26,16,8,50,212,262
"Warren City, Precinct 11",0,2,0,2,7,9
"Warren City, Precinct 12",19,23,10,52,171,223
"Warren City, Precinct 13",32,22,9,63,90,153
"Warren City, Precinct 14",78,40,34,152,407,559
"Warren City, Precinct 15",52,53,40,145,411,556
"Warren City, Precinct 17",65,44,27,136,305,441
"Warren City, Precinct 18",18,17,2,37,101,138
"Warren City, Precinct 19",48,51,38,137,356,493
"Warren City, Precinct 20",75,70,29,174,477,651
"Warren City, Precinct 22",135,58,55,248,445,693
"Warren City, Precinct 23",75,52,51,178,435,613
"Warren City, Precinct 24",45,16,17,78,173,251
"Warren City, Precinct 25",66,30,39,135,264,399
"Warren City, Precinct 26",22,13,19,54,200,254
"Warren City, Precinct 27",222,106,67,395,677,"1,072"
"Warren City, Precinct 28",149,65,57,271,616,887
"Warren City, Precinct 31",103,88,55,246,635,881
"Warren City, Precinct 32",114,80,40,234,481,715
"Warren City, Precinct 33",162,76,61,299,517,816
"Warren City, Precinct 34",34,28,21,83,271,354
"Warren City, Precinct 35",93,90,49,232,510,742
"Warren City, Precinct 36",189,92,72,353,755,"1,108"
"Warren City, Precinct 38",93,79,52,224,651,875
"Warren City, Precinct 41",128,86,41,255,595,850
"Warren City, Precinct 43",122,38,42,202,458,660
"Warren City, Precinct 44",54,44,41,139,413,552
"Warren City, Precinct 45",86,67,24,177,405,582
"Warren City, Precinct 46",76,49,21,146,360,506
"Warren City, Precinct 47",121,84,74,279,528,807
"Warren City, Precinct 48",38,37,15,90,326,416
"Warren City, Precinct 49",144,82,63,289,508,797
"Warren City, Precinct 50",103,63,65,231,437,668
"Warren City, Precinct 51",159,97,59,315,573,888
"Warren City, Precinct 52",119,51,38,208,293,501
"Warren City, Precinct 53",66,35,41,142,313,455
"Warren City, Precinct 54",136,80,50,266,424,690
"Warren City, Precinct 55",110,69,48,227,412,639
"Warren City, Precinct 56",47,42,28,117,226,343
"Warren City, Precinct 57",82,82,48,212,362,574
"Warren City, Precinct 58",174,78,84,336,577,913
"Washington Township, Precinct 1",122,85,45,252,305,557
"Washington Township, Precinct 2",287,226,101,614,540,"1,154"
"Washington Township, Precinct 3",328,137,126,591,478,"1,069"
"Washington Township, Precinct 4",129,128,94,351,403,754
"Washington Township, Precinct 5",291,218,110,619,457,"1,076"
"Washington Township, Precinct 6",357,168,115,640,505,"1,145"
"Washington Township, Precinct 7",244,175,140,559,472,"1,031"
"Washington Township, Precinct 8",222,152,88,462,417,879
"Washington Township, Precinct 9",126,66,62,254,260,514
"Washington Township, Precinct 10",165,107,82,354,307,661
"Washington Township, Precinct 11",179,126,71,376,273,649
Totals,"42,427","25,037","20,187","87,651","124,862","212,513"

