Precinct,"Terence H. Mekoski
Republican","Michael R. Wrathell
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
"Shelby Township, Precinct 20",120,106,226,265,491
"Shelby Township, Precinct 21",57,32,89,218,307
"Shelby Township, Precinct 22",354,240,594,567,"1,161"
"Shelby Township, Precinct 23",392,162,554,401,955
"Shelby Township, Precinct 24",438,252,690,583,"1,273"
"Shelby Township, Precinct 25",313,141,454,421,875
"Shelby Township, Precinct 26",193,161,354,438,792
"Shelby Township, Precinct 27",238,115,353,454,807
"Shelby Township, Precinct 28",272,161,433,511,944
"Shelby Township, Precinct 29",180,66,246,232,478
"Shelby Township, Precinct 30",177,131,308,310,618
"St. Clair Shores City, Precinct 1",278,151,429,720,"1,149"
"St. Clair Shores City, Precinct 2",149,186,335,646,981
"St. Clair Shores City, Precinct 3",170,106,276,602,878
"St. Clair Shores City, Precinct 4",158,169,327,573,900
"St. Clair Shores City, Precinct 5",172,88,260,556,816
"St. Clair Shores City, Precinct 6",83,91,174,602,776
"St. Clair Shores City, Precinct 7",79,69,148,341,489
"St. Clair Shores City, Precinct 8",122,128,250,493,743
"St. Clair Shores City, Precinct 9",114,69,183,304,487
"St. Clair Shores City, Precinct 10",121,162,283,549,832
"St. Clair Shores City, Precinct 11",88,58,146,220,366
"St. Clair Shores City, Precinct 12",164,212,376,616,992
"St. Clair Shores City, Precinct 13",332,146,478,680,"1,158"
"St. Clair Shores City, Precinct 14",47,64,111,210,321
"St. Clair Shores City, Precinct 15",175,127,302,594,896
"St. Clair Shores City, Precinct 16",150,177,327,490,817
"St. Clair Shores City, Precinct 17",252,161,413,570,983
"St. Clair Shores City, Precinct 18",111,166,277,441,718
"St. Clair Shores City, Precinct 19",145,99,244,371,615
"St. Clair Shores City, Precinct 20",82,71,153,274,427
"St. Clair Shores City, Precinct 21",148,124,272,388,660
"St. Clair Shores City, Precinct 22",116,126,242,312,554
"St. Clair Shores City, Precinct 23",145,100,245,432,677
"Sterling Heights City, Precinct 1",64,96,160,296,456
"Sterling Heights City, Precinct 2",176,66,242,478,720
"Sterling Heights City, Precinct 3",119,140,259,583,842
"Sterling Heights City, Precinct 4",216,96,312,690,"1,002"
"Sterling Heights City, Precinct 5",175,118,293,621,914
"Sterling Heights City, Precinct 6",142,64,206,312,518
"Sterling Heights City, Precinct 7",130,136,266,446,712
"Sterling Heights City, Precinct 8",143,80,223,366,589
"Sterling Heights City, Precinct 9",73,56,129,202,331
"Sterling Heights City, Precinct 10",163,115,278,485,763
"Sterling Heights City, Precinct 11",91,74,165,275,440
"Sterling Heights City, Precinct 12",204,114,318,532,850
"Sterling Heights City, Precinct 13",99,71,170,307,477
"Sterling Heights City, Precinct 14",86,41,127,286,413
"Sterling Heights City, Precinct 15",116,69,185,244,429
"Sterling Heights City, Precinct 16",100,46,146,295,441
"Sterling Heights City, Precinct 17",105,79,184,287,471
"Sterling Heights City, Precinct 18",191,89,280,498,778
"Sterling Heights City, Precinct 19",136,128,264,521,785
"Sterling Heights City, Precinct 20",193,89,282,429,711
"Sterling Heights City, Precinct 21",78,79,157,254,411
"Sterling Heights City, Precinct 22",135,61,196,298,494
"Sterling Heights City, Precinct 23",118,82,200,313,513
"Sterling Heights City, Precinct 24",131,76,207,292,499
"Sterling Heights City, Precinct 25",173,173,346,524,870
"Sterling Heights City, Precinct 26",253,90,343,479,822
"Sterling Heights City, Precinct 27",173,123,296,404,700
"Sterling Heights City, Precinct 28",199,74,273,430,703
"Sterling Heights City, Precinct 29",153,104,257,355,612
"Sterling Heights City, Precinct 30",80,53,133,229,362
"Sterling Heights City, Precinct 31",65,65,130,232,362
"Sterling Heights City, Precinct 32",42,35,77,108,185
"Sterling Heights City, Precinct 33",158,72,230,354,584
"Sterling Heights City, Precinct 34",252,92,344,386,730
"Sterling Heights City, Precinct 35",74,58,132,218,350
"Sterling Heights City, Precinct 36",209,99,308,495,803
"Sterling Heights City, Precinct 37",145,119,264,418,682
"Sterling Heights City, Precinct 38",196,133,329,552,881
"Sterling Heights City, Precinct 39",122,123,245,358,603
"Sterling Heights City, Precinct 40",61,63,124,171,295
"Sterling Heights City, Precinct 41",92,91,183,265,448
"Sterling Heights City, Precinct 42",191,78,269,345,614
"Sterling Heights City, Precinct 43",285,169,454,668,"1,122"
"Sterling Heights City, Precinct 44",166,81,247,361,608
"Sterling Heights City, Precinct 45",187,117,304,477,781
"Utica City, Precinct 1",63,21,84,122,206
"Utica City, Precinct 2",108,92,200,234,434
"Utica City, Precinct 3",121,56,177,279,456
"Village of Grosse Pointe Shores City, Precinct 3",13,4,17,13,30
"Warren City, Precinct 1",58,61,119,422,541
"Warren City, Precinct 3",64,43,107,429,536
"Warren City, Precinct 4",62,63,125,308,433
"Warren City, Precinct 5",63,38,101,344,445
"Warren City, Precinct 6",74,73,147,393,540
"Warren City, Precinct 7",34,24,58,217,275
"Warren City, Precinct 8",30,38,68,226,294
"Warren City, Precinct 9",39,44,83,256,339
"Warren City, Precinct 10",25,23,48,214,262
"Warren City, Precinct 11",2,0,2,7,9
"Warren City, Precinct 12",25,23,48,175,223
"Warren City, Precinct 13",42,18,60,93,153
"Warren City, Precinct 14",75,80,155,404,559
"Warren City, Precinct 15",84,61,145,411,556
"Warren City, Precinct 17",60,70,130,311,441
"Warren City, Precinct 18",17,16,33,105,138
"Warren City, Precinct 19",73,65,138,355,493
"Warren City, Precinct 20",118,62,180,471,651
"Warren City, Precinct 22",118,131,249,444,693
"Warren City, Precinct 23",102,76,178,435,613
"Warren City, Precinct 24",38,34,72,179,251
"Warren City, Precinct 25",88,56,144,255,399
"Warren City, Precinct 26",22,30,52,202,254
"Warren City, Precinct 27",244,138,382,690,"1,072"
"Warren City, Precinct 28",126,126,252,635,887
"Warren City, Precinct 31",152,84,236,645,881
"Warren City, Precinct 32",118,117,235,480,715
"Warren City, Precinct 33",207,93,300,516,816
"Warren City, Precinct 34",45,35,80,274,354
"Warren City, Precinct 35",158,79,237,505,742
"Warren City, Precinct 36",208,137,345,763,"1,108"
"Warren City, Precinct 38",158,69,227,648,875
"Warren City, Precinct 41",147,113,260,590,850
"Warren City, Precinct 43",129,62,191,469,660
"Warren City, Precinct 44",79,60,139,413,552
"Warren City, Precinct 45",122,55,177,405,582
"Warren City, Precinct 46",80,63,143,363,506
"Warren City, Precinct 47",176,100,276,531,807
"Warren City, Precinct 48",54,36,90,326,416
"Warren City, Precinct 49",207,72,279,518,797
"Warren City, Precinct 50",134,96,230,438,668
"Warren City, Precinct 51",204,101,305,583,888
"Warren City, Precinct 52",122,90,212,289,501
"Warren City, Precinct 53",98,47,145,310,455
"Warren City, Precinct 54",146,113,259,431,690
"Warren City, Precinct 55",153,70,223,416,639
"Warren City, Precinct 56",68,49,117,226,343
"Warren City, Precinct 57",141,70,211,363,574
"Warren City, Precinct 58",172,157,329,584,913
"Washington Township, Precinct 1",173,95,268,289,557
"Washington Township, Precinct 10",201,150,351,310,661
"Washington Township, Precinct 11",259,94,353,296,649
"Washington Township, Precinct 2",347,255,602,552,"1,154"
"Washington Township, Precinct 3",384,179,563,506,"1,069"
"Washington Township, Precinct 4",187,169,356,398,754
"Washington Township, Precinct 5",433,175,608,468,"1,076"
"Washington Township, Precinct 6",357,232,589,556,"1,145"
"Washington Township, Precinct 7",354,175,529,502,"1,031"
"Washington Township, Precinct 8",226,208,434,445,879
"Washington Township, Precinct 9",192,71,263,251,514
Totals,"50,585","33,485","84,070","128,443","212,513"

