Precinct,"Candice S. Miller
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
"Clinton Township, Precinct 25",189,189,368,557
"Clinton Township, Precinct 26",281,281,385,666
"Clinton Township, Precinct 27",288,288,320,608
"Clinton Township, Precinct 28",89,89,334,423
"Clinton Township, Precinct 29",333,333,442,775
"Clinton Township, Precinct 30",171,171,364,535
"Clinton Township, Precinct 31",227,227,402,629
"Clinton Township, Precinct 32",191,191,260,451
"Clinton Township, Precinct 33",318,318,546,864
"Clinton Township, Precinct 34",127,127,392,519
"Clinton Township, Precinct 35",472,472,642,"1,114"
"Clinton Township, Precinct 36",224,224,422,646
"Clinton Township, Precinct 37",336,336,538,874
"Clinton Township, Precinct 38",234,234,325,559
"Clinton Township, Precinct 39",256,256,345,601
"Clinton Township, Precinct 40",321,321,511,832
"Clinton Township, Precinct 41",267,267,363,630
"Clinton Township, Precinct 42",198,198,410,608
"Clinton Township, Precinct 43",162,162,173,335
"Clinton Township, Precinct 44",489,489,610,"1,099"
"Clinton Township, Precinct 45",298,298,392,690
"Clinton Township, Precinct 46",470,470,680,"1,150"
"Eastpointe City, Precinct 1",79,79,337,416
"Eastpointe City, Precinct 2",117,117,493,610
"Eastpointe City, Precinct 3",157,157,381,538
"Eastpointe City, Precinct 4",127,127,385,512
"Eastpointe City, Precinct 5",132,132,368,500
"Eastpointe City, Precinct 6",91,91,428,519
"Eastpointe City, Precinct 7",51,51,460,511
"Eastpointe City, Precinct 8",58,58,617,675
"Eastpointe City, Precinct 9",46,46,417,463
"Eastpointe City, Precinct 10",90,90,241,331
"Eastpointe City, Precinct 11",94,94,386,480
"Eastpointe City, Precinct 12",180,180,631,811
"Eastpointe City, Precinct 13",53,53,238,291
"Eastpointe City, Precinct 14",90,90,487,577
"Fraser City, Precinct 1",180,180,241,421
"Fraser City, Precinct 2",313,313,332,645
"Fraser City, Precinct 3",260,260,484,744
"Fraser City, Precinct 4",212,212,361,573
"Fraser City, Precinct 5",67,67,109,176
"Fraser City, Precinct 6",323,323,464,787
"Fraser City, Precinct 7",145,145,264,409
"Village of Grosse Pointe Shores City, Precinct 3",15,15,15,30
"Harrison Township, Precinct 1",323,323,381,704
"Harrison Township, Precinct 2",355,355,505,860
"Harrison Township, Precinct 3",439,439,381,820
"Harrison Township, Precinct 4",424,424,438,862
"Harrison Township, Precinct 5",642,642,330,972
"Harrison Township, Precinct 6",484,484,423,907
"Harrison Township, Precinct 7",512,512,411,923
"Harrison Township, Precinct 8",201,201,329,530
"Harrison Township, Precinct 9",520,520,315,835
"Harrison Township, Precinct 10",426,426,336,762
"Lenox Township, Precinct 1",295,295,208,503
"Lenox Township, Precinct 2",310,310,324,634
"Lenox Township, Precinct 3",206,206,368,574
"Lenox Township, Precinct 4",95,95,151,246
"Macomb Township, Precinct 1",305,305,236,541
"Macomb Township, Precinct 2",334,334,340,674
"Macomb Township, Precinct 3",338,338,261,599
"Macomb Township, Precinct 4",325,325,324,649
"Macomb Township, Precinct 5",400,400,377,777
"Macomb Township, Precinct 6",286,286,303,589
"Macomb Township, Precinct 7",304,304,288,592
"Macomb Township, Precinct 8",315,315,339,654
"Macomb Township, Precinct 9",294,294,172,466
"Macomb Township, Precinct 10",174,174,303,477
"Macomb Township, Precinct 11",415,415,346,761
"Macomb Township, Precinct 12",356,356,384,740
"Macomb Township, Precinct 13",373,373,296,669
"Macomb Township, Precinct 14",437,437,340,777
"Macomb Township, Precinct 15",506,506,344,850
"Macomb Township, Precinct 16",492,492,407,899
"Macomb Township, Precinct 17",391,391,389,780
"Macomb Township, Precinct 18",184,184,289,473
"Macomb Township, Precinct 19",98,98,188,286
"Macomb Township, Precinct 20",357,357,326,683
"Macomb Township, Precinct 21",457,457,394,851
"Macomb Township, Precinct 22",430,430,368,798
"Macomb Township, Precinct 23",449,449,324,773
"Macomb Township, Precinct 24",492,492,444,936
"Macomb Township, Precinct 25",255,255,236,491
"Macomb Township, Precinct 26",259,259,191,450
"Macomb Township, Precinct 27",440,440,356,796
"Macomb Township, Precinct 28",300,300,232,532
"Macomb Township, Precinct 29",243,243,329,572
"Macomb Township, Precinct 30",374,374,290,664
"Macomb Township, Precinct 31",278,278,224,502
"Macomb Township, Precinct 32",347,347,287,634
"Macomb Township, Precinct 33",229,229,235,464
"Macomb Township, Precinct 34",297,297,263,560
"Macomb Township, Precinct 35",292,292,324,616
"Macomb Township, Precinct 36",245,245,242,487
"Macomb Township, Precinct 37",357,357,250,607
"Memphis City, Precinct 1",112,112,74,186
"Mount Clemens City, Precinct 1",50,50,336,386
"Mount Clemens City, Precinct 2",197,197,442,639
"Mount Clemens City, Precinct 3",243,243,538,781
"Mount Clemens City, Precinct 4",99,99,280,379
"Mount Clemens City, Precinct 6",165,165,635,800
"Mount Clemens City, Precinct 9",276,276,444,720
"New Baltimore City, Precinct 1",233,233,246,479
"New Baltimore City, Precinct 2",207,207,167,374
"New Baltimore City, Precinct 3",469,469,384,853
"New Baltimore City, Precinct 4",328,328,374,702
"New Baltimore City, Precinct 5",309,309,317,626
"Ray Township, Precinct 1",401,401,213,614
"Ray Township, Precinct 2",537,537,298,835
"Richmond City, Precinct 1",479,479,358,837
"Richmond City, Precinct 2",351,351,290,641
"Richmond Township, Precinct 1",328,328,146,474
"Richmond Township, Precinct 2",315,315,158,473
"Roseville City, Precinct 1",198,198,355,553
"Roseville City, Precinct 2",256,256,576,832
"Roseville City, Precinct 3",125,125,433,558
"Roseville City, Precinct 4",100,100,236,336
"Roseville City, Precinct 5",160,160,340,500
"Roseville City, Precinct 6",268,268,454,722
"Roseville City, Precinct 7",231,231,509,740
"Roseville City, Precinct 8",231,231,500,731
"Roseville City, Precinct 9",306,306,522,828
"Roseville City, Precinct 10",143,143,260,403
"Roseville City, Precinct 11",176,176,382,558
"Roseville City, Precinct 12",160,160,346,506
"Roseville City, Precinct 13",88,88,208,296
"Roseville City, Precinct 14",156,156,300,456
"Roseville City, Precinct 15",159,159,528,687
"Shelby Township, Precinct 1",599,599,427,"1,026"
"Shelby Township, Precinct 2",503,503,310,813
"Shelby Township, Precinct 3",215,215,150,365
"Shelby Township, Precinct 4",382,382,302,684
"Shelby Township, Precinct 5",231,231,282,513
"Shelby Township, Precinct 6",193,193,247,440
"Shelby Township, Precinct 7",472,472,356,828
"Shelby Township, Precinct 8",251,251,167,418
"Shelby Township, Precinct 9",185,185,197,382
"Shelby Township, Precinct 10",305,305,228,533
"Shelby Township, Precinct 11",337,337,316,653
"Shelby Township, Precinct 12",363,363,197,560
"Shelby Township, Precinct 13",239,239,174,413
"Shelby Township, Precinct 14",465,465,347,812
"Shelby Township, Precinct 15",504,504,371,875
"Shelby Township, Precinct 16",672,672,460,"1,132"
"Shelby Township, Precinct 17",476,476,400,876
"Shelby Township, Precinct 18",333,333,325,658
"Shelby Township, Precinct 19",332,332,261,593
"Shelby Township, Precinct 20",234,234,257,491
"Shelby Township, Precinct 21",102,102,205,307
"Shelby Township, Precinct 22",682,682,479,"1,161"
"Shelby Township, Precinct 23",619,619,336,955
"Shelby Township, Precinct 24",812,812,461,"1,273"
"Shelby Township, Precinct 25",494,494,381,875
"Shelby Township, Precinct 26",392,392,400,792
"Shelby Township, Precinct 27",389,389,418,807
"Shelby Township, Precinct 28",476,476,468,944
"Shelby Township, Precinct 29",262,262,216,478
"Shelby Township, Precinct 30",356,356,262,618
"St. Clair Shores City, Precinct 1",478,478,671,"1,149"
"St. Clair Shores City, Precinct 2",367,367,614,981
"St. Clair Shores City, Precinct 3",292,292,586,878
"St. Clair Shores City, Precinct 4",336,336,564,900
"St. Clair Shores City, Precinct 5",266,266,550,816
"St. Clair Shores City, Precinct 6",184,184,592,776
"St. Clair Shores City, Precinct 7",156,156,333,489
"St. Clair Shores City, Precinct 8",269,269,474,743
"St. Clair Shores City, Precinct 9",183,183,304,487
"St. Clair Shores City, Precinct 10",308,308,524,832
"St. Clair Shores City, Precinct 11",146,146,220,366
"St. Clair Shores City, Precinct 12",418,418,574,992
"St. Clair Shores City, Precinct 13",528,528,630,"1,158"
"St. Clair Shores City, Precinct 14",129,129,192,321
"St. Clair Shores City, Precinct 15",339,339,557,896
"St. Clair Shores City, Precinct 16",345,345,472,817
"St. Clair Shores City, Precinct 17",440,440,543,983
"St. Clair Shores City, Precinct 18",304,304,414,718
"St. Clair Shores City, Precinct 19",259,259,356,615
"St. Clair Shores City, Precinct 20",162,162,265,427
"St. Clair Shores City, Precinct 21",283,283,377,660
"St. Clair Shores City, Precinct 22",253,253,301,554
"St. Clair Shores City, Precinct 23",272,272,405,677
"Sterling Heights City, Precinct 1",157,157,299,456
"Sterling Heights City, Precinct 2",244,244,476,720
"Sterling Heights City, Precinct 3",267,267,575,842
"Sterling Heights City, Precinct 4",351,351,651,"1,002"
"Sterling Heights City, Precinct 5",312,312,602,914
"Sterling Heights City, Precinct 6",216,216,302,518
"Sterling Heights City, Precinct 7",277,277,435,712
"Sterling Heights City, Precinct 8",217,217,372,589
"Sterling Heights City, Precinct 9",128,128,203,331
"Sterling Heights City, Precinct 10",311,311,452,763
"Sterling Heights City, Precinct 11",169,169,271,440
"Sterling Heights City, Precinct 12",325,325,525,850
"Sterling Heights City, Precinct 13",184,184,293,477
"Sterling Heights City, Precinct 14",137,137,276,413
"Sterling Heights City, Precinct 15",200,200,229,429
"Sterling Heights City, Precinct 16",163,163,278,441
"Sterling Heights City, Precinct 17",193,193,278,471
"Sterling Heights City, Precinct 18",292,292,486,778
"Sterling Heights City, Precinct 19",302,302,483,785
"Sterling Heights City, Precinct 20",283,283,428,711
"Sterling Heights City, Precinct 21",161,161,250,411
"Sterling Heights City, Precinct 22",212,212,282,494
"Sterling Heights City, Precinct 23",215,215,298,513
"Sterling Heights City, Precinct 24",204,204,295,499
"Sterling Heights City, Precinct 25",365,365,505,870
"Sterling Heights City, Precinct 26",386,386,436,822
"Sterling Heights City, Precinct 27",294,294,406,700
"Sterling Heights City, Precinct 28",300,300,403,703
"Sterling Heights City, Precinct 29",267,267,345,612
"Sterling Heights City, Precinct 30",137,137,225,362
"Sterling Heights City, Precinct 31",135,135,227,362
"Sterling Heights City, Precinct 32",76,76,109,185
"Sterling Heights City, Precinct 33",252,252,332,584
"Sterling Heights City, Precinct 34",360,360,370,730
"Sterling Heights City, Precinct 35",126,126,224,350
"Sterling Heights City, Precinct 36",358,358,445,803
"Sterling Heights City, Precinct 37",285,285,397,682
"Sterling Heights City, Precinct 38",342,342,539,881
"Sterling Heights City, Precinct 39",259,259,344,603
"Sterling Heights City, Precinct 40",128,128,167,295
"Sterling Heights City, Precinct 41",195,195,253,448
"Sterling Heights City, Precinct 42",308,308,306,614
"Sterling Heights City, Precinct 43",505,505,617,"1,122"
"Sterling Heights City, Precinct 44",272,272,336,608
"Sterling Heights City, Precinct 45",319,319,462,781
"Utica City, Precinct 1",84,84,122,206
"Utica City, Precinct 2",223,223,211,434
"Utica City, Precinct 3",183,183,273,456
"Warren City, Precinct 1",116,116,425,541
"Warren City, Precinct 3",110,110,426,536
"Warren City, Precinct 4",118,118,315,433
"Warren City, Precinct 5",98,98,347,445
"Warren City, Precinct 6",149,149,391,540
"Warren City, Precinct 7",56,56,219,275
"Warren City, Precinct 8",65,65,229,294
"Warren City, Precinct 9",92,92,247,339
"Warren City, Precinct 10",50,50,212,262
"Warren City, Precinct 11",3,3,6,9
"Warren City, Precinct 12",50,50,173,223
"Warren City, Precinct 13",62,62,91,153
"Warren City, Precinct 14",150,150,409,559
"Warren City, Precinct 15",136,136,420,556
"Warren City, Precinct 17",141,141,300,441
"Warren City, Precinct 18",37,37,101,138
"Warren City, Precinct 19",135,135,358,493
"Warren City, Precinct 20",183,183,468,651
"Warren City, Precinct 22",252,252,441,693
"Warren City, Precinct 23",178,178,435,613
"Warren City, Precinct 24",77,77,174,251
"Warren City, Precinct 25",141,141,258,399
"Warren City, Precinct 26",54,54,200,254
"Warren City, Precinct 27",388,388,684,"1,072"
"Warren City, Precinct 28",261,261,626,887
"Warren City, Precinct 31",255,255,626,881
"Warren City, Precinct 32",239,239,476,715
"Warren City, Precinct 33",309,309,507,816
"Warren City, Precinct 34",85,85,269,354
"Warren City, Precinct 35",236,236,506,742
"Warren City, Precinct 36",362,362,746,"1,108"
"Warren City, Precinct 38",230,230,645,875
"Warren City, Precinct 41",263,263,587,850
"Warren City, Precinct 43",206,206,454,660
"Warren City, Precinct 44",137,137,415,552
"Warren City, Precinct 45",182,182,400,582
"Warren City, Precinct 46",151,151,355,506
"Warren City, Precinct 47",290,290,517,807
"Warren City, Precinct 48",99,99,317,416
"Warren City, Precinct 49",287,287,510,797
"Warren City, Precinct 50",237,237,431,668
"Warren City, Precinct 51",328,328,560,888
"Warren City, Precinct 52",220,220,281,501
"Warren City, Precinct 53",157,157,298,455
"Warren City, Precinct 54",274,274,416,690
"Warren City, Precinct 55",237,237,402,639
"Warren City, Precinct 56",120,120,223,343
"Warren City, Precinct 57",214,214,360,574
"Warren City, Precinct 58",353,353,560,913
"Washington Township, Precinct 1",321,321,236,557
"Washington Township, Precinct 2",678,678,476,"1,154"
"Washington Township, Precinct 3",665,665,404,"1,069"
"Washington Township, Precinct 4",379,379,375,754
"Washington Township, Precinct 5",727,727,349,"1,076"
"Washington Township, Precinct 6",711,711,434,"1,145"
"Washington Township, Precinct 7",640,640,391,"1,031"
"Washington Township, Precinct 8",512,512,367,879
"Washington Township, Precinct 9",295,295,219,514
"Washington Township, Precinct 10",408,408,253,661
"Washington Township, Precinct 11",422,422,227,649
Totals,"92,354","92,354","120,159","212,513"

