Precinct,"Anthony G. Forlini
Republican","Julie A. Williams
Republican","Jackie Ryan
Republican","Daniel Joseph Russell
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
"Macomb Township, Precinct 8",145,65,53,34,297,357,654
"Macomb Township, Precinct 9",125,66,39,44,274,192,466
"Macomb Township, Precinct 10",69,45,32,15,161,316,477
"Macomb Township, Precinct 11",164,106,54,42,366,395,761
"Macomb Township, Precinct 12",197,48,42,41,328,412,740
"Macomb Township, Precinct 13",157,65,60,47,329,340,669
"Macomb Township, Precinct 14",199,84,63,41,387,390,777
"Macomb Township, Precinct 15",209,122,56,49,436,414,850
"Macomb Township, Precinct 16",234,105,51,39,429,470,899
"Macomb Township, Precinct 17",179,75,55,55,364,416,780
"Macomb Township, Precinct 18",61,46,45,15,167,306,473
"Macomb Township, Precinct 19",47,19,17,11,94,192,286
"Macomb Township, Precinct 20",197,58,39,33,327,356,683
"Macomb Township, Precinct 21",180,101,64,57,402,449,851
"Macomb Township, Precinct 22",159,103,74,44,380,418,798
"Macomb Township, Precinct 23",184,124,58,35,401,372,773
"Macomb Township, Precinct 24",233,91,38,59,421,515,936
"Macomb Township, Precinct 25",106,35,39,47,227,264,491
"Macomb Township, Precinct 26",108,64,37,21,230,220,450
"Macomb Township, Precinct 27",181,118,48,47,394,402,796
"Macomb Township, Precinct 28",147,48,47,38,280,252,532
"Macomb Township, Precinct 29",114,29,55,24,222,350,572
"Macomb Township, Precinct 30",196,57,57,38,348,316,664
"Macomb Township, Precinct 31",105,75,34,29,243,259,502
"Macomb Township, Precinct 32",152,74,44,50,320,314,634
"Macomb Township, Precinct 33",108,46,30,23,207,257,464
"Macomb Township, Precinct 34",137,46,49,24,256,304,560
"Macomb Township, Precinct 35",127,58,31,20,236,380,616
"Macomb Township, Precinct 36",91,50,35,39,215,272,487
"Macomb Township, Precinct 37",112,76,53,62,303,304,607
"Memphis City, Precinct 1",31,34,19,13,97,89,186
"Mount Clemens City, Precinct 1",16,10,9,14,49,337,386
"Mount Clemens City, Precinct 2",89,44,25,29,187,452,639
"Mount Clemens City, Precinct 3",103,56,40,31,230,551,781
"Mount Clemens City, Precinct 4",39,29,14,14,96,283,379
"Mount Clemens City, Precinct 6",84,32,22,33,171,629,800
"Mount Clemens City, Precinct 9",115,54,44,40,253,467,720
"New Baltimore City, Precinct 1",86,55,32,47,220,259,479
"New Baltimore City, Precinct 2",77,66,28,24,195,179,374
"New Baltimore City, Precinct 3",193,83,78,62,416,437,853
"New Baltimore City, Precinct 4",88,81,56,73,298,404,702
"New Baltimore City, Precinct 5",114,78,50,32,274,352,626
"Ray Township, Precinct 1",141,87,48,47,323,291,614
"Ray Township, Precinct 2",174,129,80,59,442,393,835
"Richmond City, Precinct 1",128,127,98,66,419,418,837
"Richmond City, Precinct 2",124,55,69,57,305,336,641
"Richmond Township, Precinct 1",112,62,61,51,286,188,474
"Richmond Township, Precinct 2",90,56,49,68,263,210,473
"Roseville City, Precinct 1",60,40,42,56,198,355,553
"Roseville City, Precinct 2",84,56,65,30,235,597,832
"Roseville City, Precinct 3",39,44,16,19,118,440,558
"Roseville City, Precinct 4",34,25,21,17,97,239,336
"Roseville City, Precinct 5",56,33,34,37,160,340,500
"Roseville City, Precinct 6",68,81,58,57,264,458,722
"Roseville City, Precinct 7",84,77,40,30,231,509,740
"Roseville City, Precinct 8",90,52,47,34,223,508,731
"Roseville City, Precinct 9",84,71,62,78,295,533,828
"Roseville City, Precinct 10",56,28,32,23,139,264,403
"Roseville City, Precinct 11",54,62,35,21,172,386,558
"Roseville City, Precinct 12",63,35,22,33,153,353,506
"Roseville City, Precinct 13",30,26,24,11,91,205,296
"Roseville City, Precinct 14",51,36,35,26,148,308,456
"Roseville City, Precinct 15",47,55,21,30,153,534,687
"Shelby Township, Precinct 1",278,130,99,51,558,468,"1,026"
"Shelby Township, Precinct 2",157,160,69,78,464,349,813
"Shelby Township, Precinct 3",66,58,49,32,205,160,365
"Shelby Township, Precinct 4",144,74,49,71,338,346,684
"Shelby Township, Precinct 5",90,59,35,28,212,301,513
"Shelby Township, Precinct 6",66,55,33,27,181,259,440
"Shelby Township, Precinct 7",181,86,68,57,392,436,828
"Shelby Township, Precinct 8",96,56,36,37,225,193,418
"Shelby Township, Precinct 9",53,40,40,39,172,210,382
"Shelby Township, Precinct 10",102,90,43,42,277,256,533
"Shelby Township, Precinct 11",103,79,67,62,311,342,653
"Shelby Township, Precinct 12",114,71,63,55,303,257,560
"Shelby Township, Precinct 13",87,44,45,26,202,211,413
"Shelby Township, Precinct 14",207,129,56,42,434,378,812
"Shelby Township, Precinct 15",171,101,83,68,423,452,875
"Shelby Township, Precinct 16",252,132,103,77,564,568,"1,132"
"Shelby Township, Precinct 17",186,112,77,44,419,457,876
"Shelby Township, Precinct 18",100,91,57,37,285,373,658
"Shelby Township, Precinct 19",140,61,52,42,295,298,593
"Shelby Township, Precinct 20",83,53,39,44,219,272,491
"Shelby Township, Precinct 21",33,25,17,15,90,217,307
"Shelby Township, Precinct 22",263,184,73,83,603,558,"1,161"
"Shelby Township, Precinct 23",333,84,77,51,545,410,955
"Shelby Township, Precinct 24",346,139,95,100,680,593,"1,273"
"Shelby Township, Precinct 25",220,106,62,46,434,441,875
"Shelby Township, Precinct 26",146,122,46,40,354,438,792
"Shelby Township, Precinct 27",177,74,57,49,357,450,807
"Shelby Township, Precinct 28",172,99,55,83,409,535,944
"Shelby Township, Precinct 29",124,49,45,18,236,242,478
"Shelby Township, Precinct 30",127,94,51,32,304,314,618
"St. Clair Shores City, Precinct 1",239,81,63,46,429,720,"1,149"
"St. Clair Shores City, Precinct 2",169,70,43,69,351,630,981
"St. Clair Shores City, Precinct 3",134,57,65,23,279,599,878
"St. Clair Shores City, Precinct 4",176,77,40,38,331,569,900
"St. Clair Shores City, Precinct 5",134,40,46,34,254,562,816
"St. Clair Shores City, Precinct 6",75,39,31,31,176,600,776
"St. Clair Shores City, Precinct 7",79,27,24,24,154,335,489
"St. Clair Shores City, Precinct 8",146,53,26,22,247,496,743
"St. Clair Shores City, Precinct 9",106,39,22,22,189,298,487
"St. Clair Shores City, Precinct 10",142,61,43,47,293,539,832
"St. Clair Shores City, Precinct 11",88,24,23,12,147,219,366
"St. Clair Shores City, Precinct 12",233,86,38,35,392,600,992
"St. Clair Shores City, Precinct 13",300,75,70,66,511,647,"1,158"
"St. Clair Shores City, Precinct 14",58,20,22,26,126,195,321
"St. Clair Shores City, Precinct 15",153,59,69,40,321,575,896
"St. Clair Shores City, Precinct 16",193,83,37,30,343,474,817
"St. Clair Shores City, Precinct 17",227,87,67,55,436,547,983
"St. Clair Shores City, Precinct 18",140,46,62,48,296,422,718
"St. Clair Shores City, Precinct 19",138,44,38,29,249,366,615
"St. Clair Shores City, Precinct 20",69,42,24,15,150,277,427
"St. Clair Shores City, Precinct 21",153,38,47,38,276,384,660
"St. Clair Shores City, Precinct 22",132,42,32,41,247,307,554
"St. Clair Shores City, Precinct 23",128,40,48,30,246,431,677
"Sterling Heights City, Precinct 1",41,62,24,33,160,296,456
"Sterling Heights City, Precinct 2",95,56,48,35,234,486,720
"Sterling Heights City, Precinct 3",70,57,56,70,253,589,842
"Sterling Heights City, Precinct 4",138,82,61,30,311,691,"1,002"
"Sterling Heights City, Precinct 5",76,112,49,43,280,634,914
"Sterling Heights City, Precinct 6",87,35,36,42,200,318,518
"Sterling Heights City, Precinct 7",61,62,57,88,268,444,712
"Sterling Heights City, Precinct 8",87,52,47,31,217,372,589
"Sterling Heights City, Precinct 9",38,34,20,29,121,210,331
"Sterling Heights City, Precinct 10",123,47,47,52,269,494,763
"Sterling Heights City, Precinct 11",61,33,36,31,161,279,440
"Sterling Heights City, Precinct 12",122,69,70,39,300,550,850
"Sterling Heights City, Precinct 13",57,63,20,27,167,310,477
"Sterling Heights City, Precinct 14",44,32,20,30,126,287,413
"Sterling Heights City, Precinct 15",59,41,36,59,195,234,429
"Sterling Heights City, Precinct 16",57,35,30,24,146,295,441
"Sterling Heights City, Precinct 17",75,60,25,25,185,286,471
"Sterling Heights City, Precinct 18",122,66,41,53,282,496,778
"Sterling Heights City, Precinct 19",94,51,53,73,271,514,785
"Sterling Heights City, Precinct 20",109,69,64,36,278,433,711
"Sterling Heights City, Precinct 21",53,49,27,28,157,254,411
"Sterling Heights City, Precinct 22",65,52,40,34,191,303,494
"Sterling Heights City, Precinct 23",52,41,52,47,192,321,513
"Sterling Heights City, Precinct 24",52,50,69,27,198,301,499
"Sterling Heights City, Precinct 25",117,113,66,52,348,522,870
"Sterling Heights City, Precinct 26",164,74,66,39,343,479,822
"Sterling Heights City, Precinct 27",103,57,63,53,276,424,700
"Sterling Heights City, Precinct 28",98,71,58,30,257,446,703
"Sterling Heights City, Precinct 29",99,58,58,28,243,369,612
"Sterling Heights City, Precinct 30",61,25,18,24,128,234,362
"Sterling Heights City, Precinct 31",36,25,29,36,126,236,362
"Sterling Heights City, Precinct 32",15,16,23,18,72,113,185
"Sterling Heights City, Precinct 33",99,59,44,30,232,352,584
"Sterling Heights City, Precinct 34",151,79,60,54,344,386,730
"Sterling Heights City, Precinct 35",35,36,23,29,123,227,350
"Sterling Heights City, Precinct 36",131,77,66,41,315,488,803
"Sterling Heights City, Precinct 37",120,60,40,43,263,419,682
"Sterling Heights City, Precinct 38",135,79,52,64,330,551,881
"Sterling Heights City, Precinct 39",67,48,65,65,245,358,603
"Sterling Heights City, Precinct 40",39,28,31,21,119,176,295
"Sterling Heights City, Precinct 41",59,39,57,25,180,268,448
"Sterling Heights City, Precinct 42",106,57,56,44,263,351,614
"Sterling Heights City, Precinct 43",169,98,97,81,445,677,"1,122"
"Sterling Heights City, Precinct 44",81,66,56,42,245,363,608
"Sterling Heights City, Precinct 45",137,82,39,38,296,485,781
"Utica City, Precinct 1",30,17,20,13,80,126,206
"Utica City, Precinct 2",52,38,46,48,184,250,434
"Utica City, Precinct 3",60,43,44,26,173,283,456
"Warren City, Precinct 1",34,42,27,14,117,424,541
"Warren City, Precinct 3",38,25,25,16,104,432,536
"Warren City, Precinct 4",35,32,26,29,122,311,433
"Warren City, Precinct 5",33,29,16,21,99,346,445
"Warren City, Precinct 6",59,42,22,24,147,393,540
"Warren City, Precinct 7",20,10,14,13,57,218,275
"Warren City, Precinct 8",14,15,20,16,65,229,294
"Warren City, Precinct 9",14,18,27,23,82,257,339
"Warren City, Precinct 10",14,15,16,5,50,212,262
"Warren City, Precinct 11",1,0,0,1,2,7,9
"Warren City, Precinct 12",16,11,11,11,49,174,223
"Warren City, Precinct 13",19,23,11,8,61,92,153
"Warren City, Precinct 14",47,44,31,25,147,412,559
"Warren City, Precinct 15",42,34,31,35,142,414,556
"Warren City, Precinct 17",41,28,26,38,133,308,441
"Warren City, Precinct 18",6,12,12,5,35,103,138
"Warren City, Precinct 19",39,44,28,24,135,358,493
"Warren City, Precinct 20",74,32,38,32,176,475,651
"Warren City, Precinct 22",65,49,52,72,238,455,693
"Warren City, Precinct 23",53,56,37,24,170,443,613
"Warren City, Precinct 24",26,28,8,12,74,177,251
"Warren City, Precinct 25",61,23,22,31,137,262,399
"Warren City, Precinct 26",4,18,16,13,51,203,254
"Warren City, Precinct 27",156,81,85,54,376,696,"1,072"
"Warren City, Precinct 28",99,80,53,28,260,627,887
"Warren City, Precinct 31",92,59,54,27,232,649,881
"Warren City, Precinct 32",84,55,32,55,226,489,715
"Warren City, Precinct 33",107,70,56,56,289,527,816
"Warren City, Precinct 34",19,25,10,22,76,278,354
"Warren City, Precinct 35",77,51,53,49,230,512,742
"Warren City, Precinct 36",93,84,83,81,341,767,"1,108"
"Warren City, Precinct 38",60,62,65,29,216,659,875
"Warren City, Precinct 41",84,73,58,34,249,601,850
"Warren City, Precinct 43",105,37,31,21,194,466,660
"Warren City, Precinct 44",45,32,20,41,138,414,552
"Warren City, Precinct 45",53,54,37,27,171,411,582
"Warren City, Precinct 46",47,48,33,14,142,364,506
"Warren City, Precinct 47",109,52,52,51,264,543,807
"Warren City, Precinct 48",36,11,24,13,84,332,416
"Warren City, Precinct 49",125,63,68,25,281,516,797
"Warren City, Precinct 50",86,78,41,20,225,443,668
"Warren City, Precinct 51",160,51,55,45,311,577,888
"Warren City, Precinct 52",74,57,44,29,204,297,501
"Warren City, Precinct 53",62,28,29,18,137,318,455
"Warren City, Precinct 54",101,73,42,39,255,435,690
"Warren City, Precinct 55",75,58,36,52,221,418,639
"Warren City, Precinct 56",42,39,15,20,116,227,343
"Warren City, Precinct 57",65,45,55,36,201,373,574
"Warren City, Precinct 58",107,122,49,44,322,591,913
"Washington Township, Precinct 1",109,51,48,33,241,316,557
"Washington Township, Precinct 2",252,125,112,103,592,562,"1,154"
"Washington Township, Precinct 3",270,126,94,69,559,510,"1,069"
"Washington Township, Precinct 4",146,102,49,48,345,409,754
"Washington Township, Precinct 5",283,137,94,72,586,490,"1,076"
"Washington Township, Precinct 6",311,130,90,74,605,540,"1,145"
"Washington Township, Precinct 7",273,130,75,50,528,503,"1,031"
"Washington Township, Precinct 8",224,106,60,47,437,442,879
"Washington Township, Precinct 9",131,52,28,35,246,268,514
"Washington Township, Precinct 10",171,66,53,50,340,321,661
"Washington Township, Precinct 11",193,65,61,45,364,285,649
Totals,"37,912","19,744","14,501","12,424","84,581","127,932","212,513"

