Precinct,"Anthony M. Wickersham
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
"Sterling Heights City, Precinct 1",240,240,216,456
"Sterling Heights City, Precinct 2",391,391,329,720
"Sterling Heights City, Precinct 3",444,444,398,842
"Sterling Heights City, Precinct 4",544,544,458,"1,002"
"Sterling Heights City, Precinct 5",458,458,456,914
"Sterling Heights City, Precinct 6",212,212,306,518
"Sterling Heights City, Precinct 7",341,341,371,712
"Sterling Heights City, Precinct 8",275,275,314,589
"Sterling Heights City, Precinct 9",154,154,177,331
"Sterling Heights City, Precinct 10",349,349,414,763
"Sterling Heights City, Precinct 11",222,222,218,440
"Sterling Heights City, Precinct 12",406,406,444,850
"Sterling Heights City, Precinct 13",250,250,227,477
"Sterling Heights City, Precinct 14",219,219,194,413
"Sterling Heights City, Precinct 15",175,175,254,429
"Sterling Heights City, Precinct 16",217,217,224,441
"Sterling Heights City, Precinct 17",237,237,234,471
"Sterling Heights City, Precinct 18",380,380,398,778
"Sterling Heights City, Precinct 19",390,390,395,785
"Sterling Heights City, Precinct 20",336,336,375,711
"Sterling Heights City, Precinct 21",194,194,217,411
"Sterling Heights City, Precinct 22",210,210,284,494
"Sterling Heights City, Precinct 23",237,237,276,513
"Sterling Heights City, Precinct 24",213,213,286,499
"Sterling Heights City, Precinct 25",402,402,468,870
"Sterling Heights City, Precinct 26",328,328,494,822
"Sterling Heights City, Precinct 27",310,310,390,700
"Sterling Heights City, Precinct 28",309,309,394,703
"Sterling Heights City, Precinct 29",248,248,364,612
"Sterling Heights City, Precinct 30",171,171,191,362
"Sterling Heights City, Precinct 31",181,181,181,362
"Sterling Heights City, Precinct 32",91,91,94,185
"Sterling Heights City, Precinct 33",256,256,328,584
"Sterling Heights City, Precinct 34",280,280,450,730
"Sterling Heights City, Precinct 35",166,166,184,350
"Sterling Heights City, Precinct 36",351,351,452,803
"Sterling Heights City, Precinct 37",317,317,365,682
"Sterling Heights City, Precinct 38",423,423,458,881
"Sterling Heights City, Precinct 39",257,257,346,603
"Sterling Heights City, Precinct 40",116,116,179,295
"Sterling Heights City, Precinct 41",195,195,253,448
"Sterling Heights City, Precinct 42",238,238,376,614
"Sterling Heights City, Precinct 43",473,473,649,"1,122"
"Sterling Heights City, Precinct 44",250,250,358,608
"Sterling Heights City, Precinct 45",342,342,439,781
"Utica City, Precinct 1",87,87,119,206
"Utica City, Precinct 2",147,147,287,434
"Utica City, Precinct 3",195,195,261,456
"Village of Grosse Pointe Shores City, Precinct 3",6,6,24,30
"Warren City, Precinct 1",355,355,186,541
"Warren City, Precinct 3",378,378,158,536
"Warren City, Precinct 4",250,250,183,433
"Warren City, Precinct 5",288,288,157,445
"Warren City, Precinct 6",319,319,221,540
"Warren City, Precinct 7",182,182,93,275
"Warren City, Precinct 8",174,174,120,294
"Warren City, Precinct 9",204,204,135,339
"Warren City, Precinct 10",187,187,75,262
"Warren City, Precinct 11",6,6,3,9
"Warren City, Precinct 12",134,134,89,223
"Warren City, Precinct 13",77,77,76,153
"Warren City, Precinct 14",337,337,222,559
"Warren City, Precinct 15",332,332,224,556
"Warren City, Precinct 17",234,234,207,441
"Warren City, Precinct 18",86,86,52,138
"Warren City, Precinct 19",280,280,213,493
"Warren City, Precinct 20",377,377,274,651
"Warren City, Precinct 22",339,339,354,693
"Warren City, Precinct 23",342,342,271,613
"Warren City, Precinct 24",138,138,113,251
"Warren City, Precinct 25",188,188,211,399
"Warren City, Precinct 26",169,169,85,254
"Warren City, Precinct 27",512,512,560,"1,072"
"Warren City, Precinct 28",505,505,382,887
"Warren City, Precinct 31",479,479,402,881
"Warren City, Precinct 32",364,364,351,715
"Warren City, Precinct 33",396,396,420,816
"Warren City, Precinct 34",225,225,129,354
"Warren City, Precinct 35",420,420,322,742
"Warren City, Precinct 36",569,569,539,"1,108"
"Warren City, Precinct 38",533,533,342,875
"Warren City, Precinct 41",478,478,372,850
"Warren City, Precinct 43",367,367,293,660
"Warren City, Precinct 44",334,334,218,552
"Warren City, Precinct 45",332,332,250,582
"Warren City, Precinct 46",283,283,223,506
"Warren City, Precinct 47",395,395,412,807
"Warren City, Precinct 48",264,264,152,416
"Warren City, Precinct 49",391,391,406,797
"Warren City, Precinct 50",343,343,325,668
"Warren City, Precinct 51",432,432,456,888
"Warren City, Precinct 52",211,211,290,501
"Warren City, Precinct 53",218,218,237,455
"Warren City, Precinct 54",306,306,384,690
"Warren City, Precinct 55",322,322,317,639
"Warren City, Precinct 56",160,160,183,343
"Warren City, Precinct 57",284,284,290,574
"Warren City, Precinct 58",429,429,484,913
"Washington Township, Precinct 1",131,131,426,557
"Washington Township, Precinct 10",141,141,520,661
"Washington Township, Precinct 11",102,102,547,649
"Washington Township, Precinct 2",264,264,890,"1,154"
"Washington Township, Precinct 3",165,165,904,"1,069"
"Washington Township, Precinct 4",187,187,567,754
"Washington Township, Precinct 5",154,154,922,"1,076"
"Washington Township, Precinct 6",191,191,954,"1,145"
"Washington Township, Precinct 7",195,195,836,"1,031"
"Washington Township, Precinct 8",189,189,690,879
"Washington Township, Precinct 9",89,89,425,514
Totals,"88,625","88,625","123,888","212,513"

