Precinct,"Peter J. Lucido
Republican","Richard John Goodman
Republican","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
"Shelby Township, Precinct 19",237,121,358,235,593
"Shelby Township, Precinct 20",193,57,250,241,491
"Shelby Township, Precinct 21",55,42,97,210,307
"Shelby Township, Precinct 22",544,198,742,419,"1,161"
"Shelby Township, Precinct 23",489,188,677,278,955
"Shelby Township, Precinct 24",632,237,869,404,"1,273"
"Shelby Township, Precinct 25",356,163,519,356,875
"Shelby Township, Precinct 26",287,115,402,390,792
"Shelby Township, Precinct 27",288,112,400,407,807
"Shelby Township, Precinct 28",374,133,507,437,944
"Shelby Township, Precinct 29",198,86,284,194,478
"Shelby Township, Precinct 30",264,112,376,242,618
"St. Clair Shores City, Precinct 1",382,122,504,645,"1,149"
"St. Clair Shores City, Precinct 2",296,89,385,596,981
"St. Clair Shores City, Precinct 3",233,74,307,571,878
"St. Clair Shores City, Precinct 4",274,85,359,541,900
"St. Clair Shores City, Precinct 5",181,90,271,545,816
"St. Clair Shores City, Precinct 6",158,43,201,575,776
"St. Clair Shores City, Precinct 7",123,49,172,317,489
"St. Clair Shores City, Precinct 8",228,56,284,459,743
"St. Clair Shores City, Precinct 9",141,64,205,282,487
"St. Clair Shores City, Precinct 10",234,89,323,509,832
"St. Clair Shores City, Precinct 11",126,36,162,204,366
"St. Clair Shores City, Precinct 12",333,101,434,558,992
"St. Clair Shores City, Precinct 13",430,133,563,595,"1,158"
"St. Clair Shores City, Precinct 14",99,34,133,188,321
"St. Clair Shores City, Precinct 15",261,91,352,544,896
"St. Clair Shores City, Precinct 16",279,74,353,464,817
"St. Clair Shores City, Precinct 17",314,139,453,530,983
"St. Clair Shores City, Precinct 18",257,63,320,398,718
"St. Clair Shores City, Precinct 19",208,61,269,346,615
"St. Clair Shores City, Precinct 20",118,49,167,260,427
"St. Clair Shores City, Precinct 21",219,78,297,363,660
"St. Clair Shores City, Precinct 22",200,71,271,283,554
"St. Clair Shores City, Precinct 23",200,74,274,403,677
"Sterling Heights City, Precinct 1",113,54,167,289,456
"Sterling Heights City, Precinct 2",160,97,257,463,720
"Sterling Heights City, Precinct 3",186,95,281,561,842
"Sterling Heights City, Precinct 4",239,115,354,648,"1,002"
"Sterling Heights City, Precinct 5",223,108,331,583,914
"Sterling Heights City, Precinct 6",153,75,228,290,518
"Sterling Heights City, Precinct 7",183,105,288,424,712
"Sterling Heights City, Precinct 8",172,74,246,343,589
"Sterling Heights City, Precinct 9",95,42,137,194,331
"Sterling Heights City, Precinct 10",216,105,321,442,763
"Sterling Heights City, Precinct 11",125,53,178,262,440
"Sterling Heights City, Precinct 12",232,111,343,507,850
"Sterling Heights City, Precinct 13",111,66,177,300,477
"Sterling Heights City, Precinct 14",86,51,137,276,413
"Sterling Heights City, Precinct 15",147,65,212,217,429
"Sterling Heights City, Precinct 16",104,56,160,281,441
"Sterling Heights City, Precinct 17",135,60,195,276,471
"Sterling Heights City, Precinct 18",218,88,306,472,778
"Sterling Heights City, Precinct 19",204,93,297,488,785
"Sterling Heights City, Precinct 20",199,100,299,412,711
"Sterling Heights City, Precinct 21",110,59,169,242,411
"Sterling Heights City, Precinct 22",142,76,218,276,494
"Sterling Heights City, Precinct 23",162,62,224,289,513
"Sterling Heights City, Precinct 24",128,92,220,279,499
"Sterling Heights City, Precinct 25",270,117,387,483,870
"Sterling Heights City, Precinct 26",262,143,405,417,822
"Sterling Heights City, Precinct 27",230,82,312,388,700
"Sterling Heights City, Precinct 28",216,86,302,401,703
"Sterling Heights City, Precinct 29",190,88,278,334,612
"Sterling Heights City, Precinct 30",105,39,144,218,362
"Sterling Heights City, Precinct 31",99,38,137,225,362
"Sterling Heights City, Precinct 32",39,38,77,108,185
"Sterling Heights City, Precinct 33",161,93,254,330,584
"Sterling Heights City, Precinct 34",229,139,368,362,730
"Sterling Heights City, Precinct 35",96,36,132,218,350
"Sterling Heights City, Precinct 36",250,113,363,440,803
"Sterling Heights City, Precinct 37",208,81,289,393,682
"Sterling Heights City, Precinct 38",230,126,356,525,881
"Sterling Heights City, Precinct 39",202,74,276,327,603
"Sterling Heights City, Precinct 40",88,47,135,160,295
"Sterling Heights City, Precinct 41",136,64,200,248,448
"Sterling Heights City, Precinct 42",186,120,306,308,614
"Sterling Heights City, Precinct 43",346,165,511,611,"1,122"
"Sterling Heights City, Precinct 44",174,112,286,322,608
"Sterling Heights City, Precinct 45",221,120,341,440,781
"Utica City, Precinct 1",63,28,91,115,206
"Utica City, Precinct 2",186,58,244,190,434
"Utica City, Precinct 3",119,68,187,269,456
"Warren City, Precinct 1",70,51,121,420,541
"Warren City, Precinct 3",75,36,111,425,536
"Warren City, Precinct 4",71,60,131,302,433
"Warren City, Precinct 5",58,46,104,341,445
"Warren City, Precinct 6",92,60,152,388,540
"Warren City, Precinct 7",26,30,56,219,275
"Warren City, Precinct 8",37,30,67,227,294
"Warren City, Precinct 9",53,38,91,248,339
"Warren City, Precinct 10",38,13,51,211,262
"Warren City, Precinct 11",1,1,2,7,9
"Warren City, Precinct 12",33,19,52,171,223
"Warren City, Precinct 13",39,25,64,89,153
"Warren City, Precinct 14",107,52,159,400,559
"Warren City, Precinct 15",80,65,145,411,556
"Warren City, Precinct 17",93,46,139,302,441
"Warren City, Precinct 18",21,15,36,102,138
"Warren City, Precinct 19",88,57,145,348,493
"Warren City, Precinct 20",117,72,189,462,651
"Warren City, Precinct 22",175,81,256,437,693
"Warren City, Precinct 23",122,66,188,425,613
"Warren City, Precinct 24",52,27,79,172,251
"Warren City, Precinct 25",88,59,147,252,399
"Warren City, Precinct 26",32,23,55,199,254
"Warren City, Precinct 27",267,145,412,660,"1,072"
"Warren City, Precinct 28",185,96,281,606,887
"Warren City, Precinct 31",168,88,256,625,881
"Warren City, Precinct 32",165,80,245,470,715
"Warren City, Precinct 33",209,113,322,494,816
"Warren City, Precinct 34",59,28,87,267,354
"Warren City, Precinct 35",155,90,245,497,742
"Warren City, Precinct 36",241,134,375,733,"1,108"
"Warren City, Precinct 38",128,104,232,643,875
"Warren City, Precinct 41",184,77,261,589,850
"Warren City, Precinct 43",142,73,215,445,660
"Warren City, Precinct 44",97,48,145,407,552
"Warren City, Precinct 45",107,81,188,394,582
"Warren City, Precinct 46",99,47,146,360,506
"Warren City, Precinct 47",173,118,291,516,807
"Warren City, Precinct 48",61,37,98,318,416
"Warren City, Precinct 49",195,110,305,492,797
"Warren City, Precinct 50",171,79,250,418,668
"Warren City, Precinct 51",220,109,329,559,888
"Warren City, Precinct 52",163,61,224,277,501
"Warren City, Precinct 53",111,49,160,295,455
"Warren City, Precinct 54",166,113,279,411,690
"Warren City, Precinct 55",138,100,238,401,639
"Warren City, Precinct 56",70,52,122,221,343
"Warren City, Precinct 57",120,107,227,347,574
"Warren City, Precinct 58",242,110,352,561,913
"Washington Township, Precinct 1",202,142,344,213,557
"Washington Township, Precinct 2",507,228,735,419,"1,154"
"Washington Township, Precinct 3",498,229,727,342,"1,069"
"Washington Township, Precinct 4",303,122,425,329,754
"Washington Township, Precinct 5",536,246,782,294,"1,076"
"Washington Township, Precinct 6",566,209,775,370,"1,145"
"Washington Township, Precinct 7",481,217,698,333,"1,031"
"Washington Township, Precinct 8",436,121,557,322,879
"Washington Township, Precinct 9",240,99,339,175,514
"Washington Township, Precinct 10",315,119,434,227,661
"Washington Township, Precinct 11",303,141,444,205,649
Totals,"65,576","30,449","96,025","116,488","212,513"

