Precinct,"Kathryn A. George
None/Unknown","Lynn M. Maison
None/Unknown","Armand Velardo
None/Unknown","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
"Harrison Township, Precinct 7",324,209,89,622,301,923
"Harrison Township, Precinct 8",241,87,56,384,146,530
"Harrison Township, Precinct 9",368,144,70,582,253,835
"Harrison Township, Precinct 10",303,181,68,552,210,762
"Lenox Township, Precinct 1",162,70,28,260,243,503
"Lenox Township, Precinct 2",193,78,37,308,326,634
"Lenox Township, Precinct 3",173,90,28,291,283,574
"Lenox Township, Precinct 4",74,35,24,133,113,246
"Macomb Township, Precinct 1",237,87,57,381,160,541
"Macomb Township, Precinct 2",261,144,51,456,218,674
"Macomb Township, Precinct 3",275,90,58,423,176,599
"Macomb Township, Precinct 4",298,99,60,457,192,649
"Macomb Township, Precinct 5",341,148,84,573,204,777
"Macomb Township, Precinct 6",280,62,54,396,193,589
"Macomb Township, Precinct 7",270,90,50,410,182,592
"Macomb Township, Precinct 8",273,99,62,434,220,654
"Macomb Township, Precinct 9",226,61,42,329,137,466
"Macomb Township, Precinct 10",223,75,26,324,153,477
"Macomb Township, Precinct 11",312,143,63,518,243,761
"Macomb Township, Precinct 12",343,91,79,513,227,740
"Macomb Township, Precinct 13",324,101,63,488,181,669
"Macomb Township, Precinct 14",332,136,58,526,251,777
"Macomb Township, Precinct 15",391,96,98,585,265,850
"Macomb Township, Precinct 16",422,116,81,619,280,899
"Macomb Township, Precinct 17",346,136,72,554,226,780
"Macomb Township, Precinct 18",230,59,24,313,160,473
"Macomb Township, Precinct 19",120,47,23,190,96,286
"Macomb Township, Precinct 20",241,124,67,432,251,683
"Macomb Township, Precinct 21",370,84,98,552,299,851
"Macomb Township, Precinct 22",375,93,69,537,261,798
"Macomb Township, Precinct 23",361,122,63,546,227,773
"Macomb Township, Precinct 24",458,100,80,638,298,936
"Macomb Township, Precinct 25",223,76,47,346,145,491
"Macomb Township, Precinct 26",182,60,51,293,157,450
"Macomb Township, Precinct 27",331,105,81,517,279,796
"Macomb Township, Precinct 28",237,70,40,347,185,532
"Macomb Township, Precinct 29",246,87,48,381,191,572
"Macomb Township, Precinct 30",292,94,68,454,210,664
"Macomb Township, Precinct 31",237,63,44,344,158,502
"Macomb Township, Precinct 32",265,86,52,403,231,634
"Macomb Township, Precinct 33",201,60,38,299,165,464
"Macomb Township, Precinct 34",258,77,48,383,177,560
"Macomb Township, Precinct 35",243,118,52,413,203,616
"Macomb Township, Precinct 36",195,75,53,323,164,487
"Macomb Township, Precinct 37",268,78,46,392,215,607
"Memphis City, Precinct 1",71,28,17,116,70,186
"Mount Clemens City, Precinct 1",154,90,44,288,98,386
"Mount Clemens City, Precinct 2",285,128,99,512,127,639
"Mount Clemens City, Precinct 3",358,166,79,603,178,781
"Mount Clemens City, Precinct 4",163,87,48,298,81,379
"Mount Clemens City, Precinct 6",345,169,111,625,175,800
"Mount Clemens City, Precinct 9",313,162,77,552,168,720
"New Baltimore City, Precinct 1",167,76,41,284,195,479
"New Baltimore City, Precinct 2",134,62,46,242,132,374
"New Baltimore City, Precinct 3",357,149,64,570,283,853
"New Baltimore City, Precinct 4",251,134,44,429,273,702
"New Baltimore City, Precinct 5",228,106,63,397,229,626
"Ray Township, Precinct 1",238,93,57,388,226,614
"Ray Township, Precinct 2",347,109,67,523,312,835
"Richmond City, Precinct 1A",353,128,47,528,309,837
"Richmond City, Precinct 2",223,110,59,392,249,641
"Richmond Township, Precinct 1",175,72,32,279,195,474
"Richmond Township, Precinct 2",129,76,34,239,234,473
"Roseville City, Precinct 1",234,83,43,360,193,553
"Roseville City, Precinct 2",371,110,44,525,307,832
"Roseville City, Precinct 3",191,92,35,318,240,558
"Roseville City, Precinct 4",160,54,37,251,85,336
"Roseville City, Precinct 5",220,65,31,316,184,500
"Roseville City, Precinct 6",282,118,59,459,263,722
"Roseville City, Precinct 7",317,92,49,458,282,740
"Roseville City, Precinct 8",324,107,56,487,244,731
"Roseville City, Precinct 9",299,153,73,525,303,828
"Roseville City, Precinct 10",161,54,37,252,151,403
"Roseville City, Precinct 11",218,95,42,355,203,558
"Roseville City, Precinct 12",173,102,54,329,177,506
"Roseville City, Precinct 13",139,37,24,200,96,296
"Roseville City, Precinct 14",167,82,37,286,170,456
"Roseville City, Precinct 15",241,128,54,423,264,687
"Shelby Township, Precinct 1",343,120,122,585,441,"1,026"
"Shelby Township, Precinct 2",326,99,58,483,330,813
"Shelby Township, Precinct 3",112,60,40,212,153,365
"Shelby Township, Precinct 4",232,87,68,387,297,684
"Shelby Township, Precinct 5",196,47,38,281,232,513
"Shelby Township, Precinct 6",143,92,26,261,179,440
"Shelby Township, Precinct 7",278,82,88,448,380,828
"Shelby Township, Precinct 8",144,66,33,243,175,418
"Shelby Township, Precinct 9",119,70,43,232,150,382
"Shelby Township, Precinct 10",179,55,34,268,265,533
"Shelby Township, Precinct 11",252,70,54,376,277,653
"Shelby Township, Precinct 12",186,108,29,323,237,560
"Shelby Township, Precinct 13",151,48,32,231,182,413
"Shelby Township, Precinct 14",285,105,76,466,346,812
"Shelby Township, Precinct 15",280,132,68,480,395,875
"Shelby Township, Precinct 16",408,131,101,640,492,"1,132"
"Shelby Township, Precinct 17",307,106,89,502,374,876
"Shelby Township, Precinct 18",238,93,56,387,271,658
"Shelby Township, Precinct 19",194,68,66,328,265,593
"Shelby Township, Precinct 20",184,48,41,273,218,491
"Shelby Township, Precinct 21",94,52,19,165,142,307
"Shelby Township, Precinct 22",388,141,98,627,534,"1,161"
"Shelby Township, Precinct 23",342,120,130,592,363,955
"Shelby Township, Precinct 24",446,170,148,764,509,"1,273"
"Shelby Township, Precinct 25",308,119,65,492,383,875
"Shelby Township, Precinct 26",298,119,47,464,328,792
"Shelby Township, Precinct 27",263,120,70,453,354,807
"Shelby Township, Precinct 28",343,107,74,524,420,944
"Shelby Township, Precinct 29",170,70,43,283,195,478
"Shelby Township, Precinct 30",203,78,50,331,287,618
"St. Clair Shores City, Precinct 1",481,139,123,743,406,"1,149"
"St. Clair Shores City, Precinct 2",420,131,64,615,366,981
"St. Clair Shores City, Precinct 3",342,133,102,577,301,878
"St. Clair Shores City, Precinct 4",333,122,101,556,344,900
"St. Clair Shores City, Precinct 5",319,141,83,543,273,816
"St. Clair Shores City, Precinct 6",274,118,72,464,312,776
"St. Clair Shores City, Precinct 7",176,80,46,302,187,489
"St. Clair Shores City, Precinct 8",332,116,69,517,226,743
"St. Clair Shores City, Precinct 9",156,69,46,271,216,487
"St. Clair Shores City, Precinct 10",348,125,65,538,294,832
"St. Clair Shores City, Precinct 11",165,54,28,247,119,366
"St. Clair Shores City, Precinct 12",365,207,81,653,339,992
"St. Clair Shores City, Precinct 13",452,167,136,755,403,"1,158"
"St. Clair Shores City, Precinct 14",152,49,18,219,102,321
"St. Clair Shores City, Precinct 15",334,159,89,582,314,896
"St. Clair Shores City, Precinct 16",331,110,82,523,294,817
"St. Clair Shores City, Precinct 17",403,166,87,656,327,983
"St. Clair Shores City, Precinct 18",270,133,66,469,249,718
"St. Clair Shores City, Precinct 19",236,114,56,406,209,615
"St. Clair Shores City, Precinct 20",171,83,26,280,147,427
"St. Clair Shores City, Precinct 21",249,147,66,462,198,660
"St. Clair Shores City, Precinct 22",235,91,55,381,173,554
"St. Clair Shores City, Precinct 23",265,106,51,422,255,677
"Sterling Heights City, Precinct 1",201,87,35,323,133,456
"Sterling Heights City, Precinct 2",261,118,49,428,292,720
"Sterling Heights City, Precinct 3",346,120,64,530,312,842
"Sterling Heights City, Precinct 4",398,180,81,659,343,"1,002"
"Sterling Heights City, Precinct 5",354,86,80,520,394,914
"Sterling Heights City, Precinct 6",196,79,51,326,192,518
"Sterling Heights City, Precinct 7",307,107,62,476,236,712
"Sterling Heights City, Precinct 8",273,66,70,409,180,589
"Sterling Heights City, Precinct 9",148,48,22,218,113,331
"Sterling Heights City, Precinct 10",290,128,78,496,267,763
"Sterling Heights City, Precinct 11",194,56,42,292,148,440
"Sterling Heights City, Precinct 12",397,123,56,576,274,850
"Sterling Heights City, Precinct 13",158,86,37,281,196,477
"Sterling Heights City, Precinct 14",175,44,40,259,154,413
"Sterling Heights City, Precinct 15",192,63,42,297,132,429
"Sterling Heights City, Precinct 16",174,69,39,282,159,441
"Sterling Heights City, Precinct 17",236,54,28,318,153,471
"Sterling Heights City, Precinct 18",356,116,54,526,252,778
"Sterling Heights City, Precinct 19",306,117,64,487,298,785
"Sterling Heights City, Precinct 20",321,100,66,487,224,711
"Sterling Heights City, Precinct 21",190,57,34,281,130,411
"Sterling Heights City, Precinct 22",235,62,44,341,153,494
"Sterling Heights City, Precinct 23",226,61,46,333,180,513
"Sterling Heights City, Precinct 24",225,88,46,359,140,499
"Sterling Heights City, Precinct 25",355,152,54,561,309,870
"Sterling Heights City, Precinct 26",367,112,84,563,259,822
"Sterling Heights City, Precinct 27",326,100,57,483,217,700
"Sterling Heights City, Precinct 28",334,116,62,512,191,703
"Sterling Heights City, Precinct 29",232,96,46,374,238,612
"Sterling Heights City, Precinct 30",162,53,32,247,115,362
"Sterling Heights City, Precinct 31",176,60,21,257,105,362
"Sterling Heights City, Precinct 32",72,32,11,115,70,185
"Sterling Heights City, Precinct 33",265,79,42,386,198,584
"Sterling Heights City, Precinct 34",244,135,58,437,293,730
"Sterling Heights City, Precinct 35",145,59,27,231,119,350
"Sterling Heights City, Precinct 36",373,106,45,524,279,803
"Sterling Heights City, Precinct 37",265,122,56,443,239,682
"Sterling Heights City, Precinct 38",365,100,81,546,335,881
"Sterling Heights City, Precinct 39",301,99,36,436,167,603
"Sterling Heights City, Precinct 40",109,54,32,195,100,295
"Sterling Heights City, Precinct 41",199,62,43,304,144,448
"Sterling Heights City, Precinct 42",281,100,41,422,192,614
"Sterling Heights City, Precinct 43",501,155,92,748,374,"1,122"
"Sterling Heights City, Precinct 44",272,60,57,389,219,608
"Sterling Heights City, Precinct 45",328,92,55,475,306,781
"Utica City, Precinct 1",97,35,21,153,53,206
"Utica City, Precinct 2",183,58,31,272,162,434
"Utica City, Precinct 3",200,60,38,298,158,456
"Village of Grosse Pointe Shores City, Precinct 3",11,9,2,22,8,30
"Warren City, Precinct 1",197,107,35,339,202,541
"Warren City, Precinct 3",219,79,47,345,191,536
"Warren City, Precinct 4",187,68,23,278,155,433
"Warren City, Precinct 5",156,80,37,273,172,445
"Warren City, Precinct 6",215,66,58,339,201,540
"Warren City, Precinct 7",114,46,13,173,102,275
"Warren City, Precinct 8",106,50,28,184,110,294
"Warren City, Precinct 9",132,47,10,189,150,339
"Warren City, Precinct 10",101,38,18,157,105,262
"Warren City, Precinct 11",3,2,0,5,4,9
"Warren City, Precinct 12",90,28,23,141,82,223
"Warren City, Precinct 13",62,25,5,92,61,153
"Warren City, Precinct 14",196,106,36,338,221,559
"Warren City, Precinct 15",243,91,43,377,179,556
"Warren City, Precinct 17",182,65,33,280,161,441
"Warren City, Precinct 18",58,24,10,92,46,138
"Warren City, Precinct 19",162,63,35,260,233,493
"Warren City, Precinct 20",280,71,41,392,259,651
"Warren City, Precinct 22",267,110,46,423,270,693
"Warren City, Precinct 23",239,73,60,372,241,613
"Warren City, Precinct 24",124,26,15,165,86,251
"Warren City, Precinct 25",149,60,41,250,149,399
"Warren City, Precinct 26",96,33,18,147,107,254
"Warren City, Precinct 27",484,144,87,715,357,"1,072"
"Warren City, Precinct 28",350,168,57,575,312,887
"Warren City, Precinct 31",349,103,60,512,369,881
"Warren City, Precinct 32",313,108,49,470,245,715
"Warren City, Precinct 33",333,133,71,537,279,816
"Warren City, Precinct 34",120,40,37,197,157,354
"Warren City, Precinct 35",336,92,47,475,267,742
"Warren City, Precinct 36",399,205,77,681,427,"1,108"
"Warren City, Precinct 38",315,122,51,488,387,875
"Warren City, Precinct 41",359,132,41,532,318,850
"Warren City, Precinct 43",257,101,77,435,225,660
"Warren City, Precinct 44",237,62,57,356,196,552
"Warren City, Precinct 45",232,81,36,349,233,582
"Warren City, Precinct 46",198,88,31,317,189,506
"Warren City, Precinct 47",361,100,80,541,266,807
"Warren City, Precinct 48",192,58,27,277,139,416
"Warren City, Precinct 49",348,125,65,538,259,797
"Warren City, Precinct 50",257,97,65,419,249,668
"Warren City, Precinct 51",389,160,60,609,279,888
"Warren City, Precinct 52",211,79,45,335,166,501
"Warren City, Precinct 53",178,52,41,271,184,455
"Warren City, Precinct 54",291,124,51,466,224,690
"Warren City, Precinct 55",249,127,48,424,215,639
"Warren City, Precinct 56",145,41,34,220,123,343
"Warren City, Precinct 57",253,95,32,380,194,574
"Warren City, Precinct 58",364,148,50,562,351,913
"Washington Township, Precinct 1",215,95,49,359,198,557
"Washington Township, Precinct 10",290,81,70,441,220,661
"Washington Township, Precinct 11",301,78,56,435,214,649
"Washington Township, Precinct 2",568,143,84,795,359,"1,154"
"Washington Township, Precinct 3",414,161,95,670,399,"1,069"
"Washington Township, Precinct 4",344,83,78,505,249,754
"Washington Township, Precinct 5",525,114,74,713,363,"1,076"
"Washington Township, Precinct 6",514,161,123,798,347,"1,145"
"Washington Township, Precinct 7",441,140,125,706,325,"1,031"
"Washington Township, Precinct 8",400,120,75,595,284,879
"Washington Township, Precinct 9",194,66,41,301,213,514
Totals,"86,246","32,800","18,346","137,392","75,121","212,513"

