Precinct,"Kimberly Bizon
Democratic","Kelly L. Noland
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
"Macomb Township, Precinct 2",99,123,222,452,674
"Macomb Township, Precinct 3",113,65,178,421,599
"Macomb Township, Precinct 4",116,116,232,417,649
"Macomb Township, Precinct 5",145,137,282,495,777
"Macomb Township, Precinct 6",105,106,211,378,589
"Macomb Township, Precinct 7",129,68,197,395,592
"Macomb Township, Precinct 8",116,118,234,420,654
"Macomb Township, Precinct 9",56,49,105,361,466
"Macomb Township, Precinct 10",103,125,228,249,477
"Macomb Township, Precinct 11",134,111,245,516,761
"Macomb Township, Precinct 12",141,151,292,448,740
"Macomb Township, Precinct 13",129,85,214,455,669
"Macomb Township, Precinct 14",127,92,219,558,777
"Macomb Township, Precinct 15",133,97,230,620,850
"Macomb Township, Precinct 16",157,123,280,619,899
"Macomb Township, Precinct 17",176,104,280,500,780
"Macomb Township, Precinct 18",104,117,221,252,473
"Macomb Township, Precinct 19",89,63,152,134,286
"Macomb Township, Precinct 20",123,106,229,454,683
"Macomb Township, Precinct 21",167,97,264,587,851
"Macomb Township, Precinct 22",112,122,234,564,798
"Macomb Township, Precinct 23",107,105,212,561,773
"Macomb Township, Precinct 24",137,163,300,636,936
"Macomb Township, Precinct 25",96,56,152,339,491
"Macomb Township, Precinct 26",67,65,132,318,450
"Macomb Township, Precinct 27",136,108,244,552,796
"Macomb Township, Precinct 28",76,93,169,363,532
"Macomb Township, Precinct 29",141,106,247,325,572
"Macomb Township, Precinct 30",117,101,218,446,664
"Macomb Township, Precinct 31",88,54,142,360,502
"Macomb Township, Precinct 32",97,79,176,458,634
"Macomb Township, Precinct 33",97,64,161,303,464
"Macomb Township, Precinct 34",85,98,183,377,560
"Macomb Township, Precinct 35",159,102,261,355,616
"Macomb Township, Precinct 36",72,93,165,322,487
"Macomb Township, Precinct 37",77,75,152,455,607
"Memphis City, Precinct 1",22,28,50,136,186
"New Baltimore City, Precinct 1",103,74,177,302,479
"New Baltimore City, Precinct 2",62,54,116,258,374
"New Baltimore City, Precinct 3",142,130,272,581,853
"New Baltimore City, Precinct 4",156,122,278,424,702
"New Baltimore City, Precinct 5",102,119,221,405,626
"Ray Township, Precinct 1",38,54,92,522,614
"Ray Township, Precinct 2",73,65,138,697,835
"Richmond City, Precinct 1",130,129,259,578,837
"Richmond City, Precinct 2",94,105,199,442,641
"Richmond Township, Precinct 1",39,44,83,391,474
"Richmond Township, Precinct 2",50,49,99,374,473
"Shelby Township, Precinct 1",108,89,197,829,"1,026"
"Shelby Township, Precinct 2",109,63,172,641,813
"Shelby Township, Precinct 3",45,50,95,270,365
"Shelby Township, Precinct 4",83,75,158,526,684
"Shelby Township, Precinct 5",49,108,157,356,513
"Shelby Township, Precinct 6",77,86,163,277,440
"Shelby Township, Precinct 7",88,98,186,642,828
"Shelby Township, Precinct 8",48,35,83,335,418
"Shelby Township, Precinct 9",64,81,145,237,382
"Shelby Township, Precinct 10",71,67,138,395,533
"Shelby Township, Precinct 11",83,116,199,454,653
"Shelby Township, Precinct 12",64,35,99,461,560
"Shelby Township, Precinct 13",50,44,94,319,413
"Shelby Township, Precinct 14",108,92,200,612,812
"Shelby Township, Precinct 15",111,111,222,653,875
"Shelby Township, Precinct 16",154,97,251,881,"1,132"
"Shelby Township, Precinct 17",112,108,220,656,876
"Shelby Township, Precinct 18",110,92,202,456,658
"Shelby Township, Precinct 19",84,77,161,432,593
"Shelby Township, Precinct 20",73,66,139,352,491
"Shelby Township, Precinct 21",77,82,159,148,307
"Shelby Township, Precinct 22",166,95,261,900,"1,161"
"Shelby Township, Precinct 23",85,82,167,788,955
"Shelby Township, Precinct 24",153,76,229,"1,044","1,273"
"Shelby Township, Precinct 25",113,96,209,666,875
"Shelby Township, Precinct 26",128,123,251,541,792
"Shelby Township, Precinct 27",107,177,284,523,807
"Shelby Township, Precinct 28",169,134,303,641,944
"Shelby Township, Precinct 29",74,55,129,349,478
"Shelby Township, Precinct 30",93,47,140,478,618
"Sterling Heights City, Precinct 29",134,108,242,370,612
"Sterling Heights City, Precinct 30",75,91,166,196,362
"Sterling Heights City, Precinct 34",162,119,281,449,730
"Sterling Heights City, Precinct 35",73,93,166,184,350
"Sterling Heights City, Precinct 36",185,162,347,456,803
"Sterling Heights City, Precinct 37",145,170,315,367,682
"Sterling Heights City, Precinct 38",203,203,406,475,881
"Sterling Heights City, Precinct 39",114,132,246,357,603
"Sterling Heights City, Precinct 40",69,45,114,181,295
"Sterling Heights City, Precinct 41",83,115,198,250,448
"Sterling Heights City, Precinct 42",138,100,238,376,614
"Sterling Heights City, Precinct 43",205,259,464,658,"1,122"
"Sterling Heights City, Precinct 44",128,115,243,365,608
"Sterling Heights City, Precinct 45",178,160,338,443,781
"Utica City, Precinct 1",58,29,87,119,206
"Utica City, Precinct 2",65,80,145,289,434
"Utica City, Precinct 3",102,94,196,260,456
"Washington Township, Precinct 1",67,60,127,430,557
"Washington Township, Precinct 2",137,114,251,903,"1,154"
"Washington Township, Precinct 3",78,77,155,914,"1,069"
"Washington Township, Precinct 4",95,89,184,570,754
"Washington Township, Precinct 5",82,74,156,920,"1,076"
"Washington Township, Precinct 6",107,74,181,964,"1,145"
"Washington Township, Precinct 7",105,81,186,845,"1,031"
"Washington Township, Precinct 8",103,75,178,701,879
"Washington Township, Precinct 9",39,48,87,427,514
"Washington Township, Precinct 10",59,66,125,536,661
"Washington Township, Precinct 11",41,51,92,557,649
Totals,"15,095","14,024","29,119","69,128","98,247"

