Precinct,"Andy Levin
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
"Clinton Township, Precinct 42",341,341,267,608
"Clinton Township, Precinct 43",122,122,213,335
"Clinton Township, Precinct 44",433,433,666,"1,099"
"Clinton Township, Precinct 45",280,280,410,690
"Clinton Township, Precinct 46",541,541,609,"1,150"
"Eastpointe City, Precinct 1",290,290,126,416
"Eastpointe City, Precinct 2",448,448,162,610
"Eastpointe City, Precinct 3",325,325,213,538
"Eastpointe City, Precinct 4",334,334,178,512
"Eastpointe City, Precinct 5",325,325,175,500
"Eastpointe City, Precinct 6",352,352,167,519
"Eastpointe City, Precinct 7",408,408,103,511
"Eastpointe City, Precinct 8",570,570,105,675
"Eastpointe City, Precinct 9",381,381,82,463
"Eastpointe City, Precinct 10",204,204,127,331
"Eastpointe City, Precinct 11",350,350,130,480
"Eastpointe City, Precinct 12",561,561,250,811
"Eastpointe City, Precinct 13",217,217,74,291
"Eastpointe City, Precinct 14",438,438,139,577
"Fraser City, Precinct 1",193,193,228,421
"Fraser City, Precinct 2",265,265,380,645
"Fraser City, Precinct 3",389,389,355,744
"Fraser City, Precinct 4",281,281,292,573
"Fraser City, Precinct 5",96,96,80,176
"Fraser City, Precinct 6",351,351,436,787
"Fraser City, Precinct 7",214,214,195,409
"Village of Grosse Pointe Shores City, Precinct 3",8,8,22,30
"Mount Clemens City, Precinct 1",300,300,86,386
"Mount Clemens City, Precinct 2",359,359,280,639
"Mount Clemens City, Precinct 3",453,453,328,781
"Mount Clemens City, Precinct 4",227,227,152,379
"Mount Clemens City, Precinct 6",532,532,268,800
"Mount Clemens City, Precinct 9",335,335,385,720
"Roseville City, Precinct 1",290,290,263,553
"Roseville City, Precinct 2",470,470,362,832
"Roseville City, Precinct 3",371,371,187,558
"Roseville City, Precinct 4",199,199,137,336
"Roseville City, Precinct 5",284,284,216,500
"Roseville City, Precinct 6",346,346,376,722
"Roseville City, Precinct 7",418,418,322,740
"Roseville City, Precinct 8",405,405,326,731
"Roseville City, Precinct 9",403,403,425,828
"Roseville City, Precinct 10",209,209,194,403
"Roseville City, Precinct 11",299,299,259,558
"Roseville City, Precinct 12",275,275,231,506
"Roseville City, Precinct 13",162,162,134,296
"Roseville City, Precinct 14",228,228,228,456
"Roseville City, Precinct 15",438,438,249,687
"St. Clair Shores City, Precinct 1",536,536,613,"1,149"
"St. Clair Shores City, Precinct 2",490,490,491,981
"St. Clair Shores City, Precinct 3",487,487,391,878
"St. Clair Shores City, Precinct 4",449,449,451,900
"St. Clair Shores City, Precinct 5",482,482,334,816
"St. Clair Shores City, Precinct 6",504,504,272,776
"St. Clair Shores City, Precinct 7",262,262,227,489
"St. Clair Shores City, Precinct 8",366,366,377,743
"St. Clair Shores City, Precinct 9",232,232,255,487
"St. Clair Shores City, Precinct 10",417,417,415,832
"St. Clair Shores City, Precinct 11",178,178,188,366
"St. Clair Shores City, Precinct 12",452,452,540,992
"St. Clair Shores City, Precinct 13",448,448,710,"1,158"
"St. Clair Shores City, Precinct 14",162,162,159,321
"St. Clair Shores City, Precinct 15",438,438,458,896
"St. Clair Shores City, Precinct 16",372,372,445,817
"St. Clair Shores City, Precinct 17",426,426,557,983
"St. Clair Shores City, Precinct 18",309,309,409,718
"St. Clair Shores City, Precinct 19",281,281,334,615
"St. Clair Shores City, Precinct 20",215,215,212,427
"St. Clair Shores City, Precinct 21",312,312,348,660
"St. Clair Shores City, Precinct 22",235,235,319,554
"St. Clair Shores City, Precinct 23",331,331,346,677
"Sterling Heights City, Precinct 1",252,252,204,456
"Sterling Heights City, Precinct 2",401,401,319,720
"Sterling Heights City, Precinct 3",454,454,388,842
"Sterling Heights City, Precinct 4",550,550,452,"1,002"
"Sterling Heights City, Precinct 5",475,475,439,914
"Sterling Heights City, Precinct 6",219,219,299,518
"Sterling Heights City, Precinct 7",357,357,355,712
"Sterling Heights City, Precinct 8",292,292,297,589
"Sterling Heights City, Precinct 9",157,157,174,331
"Sterling Heights City, Precinct 10",356,356,407,763
"Sterling Heights City, Precinct 11",226,226,214,440
"Sterling Heights City, Precinct 12",410,410,440,850
"Sterling Heights City, Precinct 13",259,259,218,477
"Sterling Heights City, Precinct 14",237,237,176,413
"Sterling Heights City, Precinct 15",179,179,250,429
"Sterling Heights City, Precinct 16",227,227,214,441
"Sterling Heights City, Precinct 17",237,237,234,471
"Sterling Heights City, Precinct 18",401,401,377,778
"Sterling Heights City, Precinct 19",402,402,383,785
"Sterling Heights City, Precinct 20",343,343,368,711
"Sterling Heights City, Precinct 21",194,194,217,411
"Sterling Heights City, Precinct 22",217,217,277,494
"Sterling Heights City, Precinct 23",239,239,274,513
"Sterling Heights City, Precinct 24",220,220,279,499
"Sterling Heights City, Precinct 25",416,416,454,870
"Sterling Heights City, Precinct 26",334,334,488,822
"Sterling Heights City, Precinct 27",315,315,385,700
"Sterling Heights City, Precinct 28",321,321,382,703
"Sterling Heights City, Precinct 31",188,188,174,362
"Sterling Heights City, Precinct 32",94,94,91,185
"Sterling Heights City, Precinct 33",265,265,319,584
"Warren City, Precinct 1",364,364,177,541
"Warren City, Precinct 3",378,378,158,536
"Warren City, Precinct 4",265,265,168,433
"Warren City, Precinct 5",301,301,144,445
"Warren City, Precinct 6",319,319,221,540
"Warren City, Precinct 7",185,185,90,275
"Warren City, Precinct 8",176,176,118,294
"Warren City, Precinct 9",211,211,128,339
"Warren City, Precinct 10",190,190,72,262
"Warren City, Precinct 11",6,6,3,9
"Warren City, Precinct 12",141,141,82,223
"Warren City, Precinct 13",80,80,73,153
"Warren City, Precinct 14",350,350,209,559
"Warren City, Precinct 15",341,341,215,556
"Warren City, Precinct 17",243,243,198,441
"Warren City, Precinct 18",89,89,49,138
"Warren City, Precinct 19",283,283,210,493
"Warren City, Precinct 20",386,386,265,651
"Warren City, Precinct 22",348,348,345,693
"Warren City, Precinct 23",362,362,251,613
"Warren City, Precinct 24",143,143,108,251
"Warren City, Precinct 25",195,195,204,399
"Warren City, Precinct 26",176,176,78,254
"Warren City, Precinct 27",527,527,545,"1,072"
"Warren City, Precinct 28",525,525,362,887
"Warren City, Precinct 31",504,504,377,881
"Warren City, Precinct 32",369,369,346,715
"Warren City, Precinct 33",406,406,410,816
"Warren City, Precinct 34",229,229,125,354
"Warren City, Precinct 35",423,423,319,742
"Warren City, Precinct 36",588,588,520,"1,108"
"Warren City, Precinct 38",559,559,316,875
"Warren City, Precinct 41",485,485,365,850
"Warren City, Precinct 43",372,372,288,660
"Warren City, Precinct 44",339,339,213,552
"Warren City, Precinct 45",339,339,243,582
"Warren City, Precinct 46",291,291,215,506
"Warren City, Precinct 47",403,403,404,807
"Warren City, Precinct 48",272,272,144,416
"Warren City, Precinct 49",400,400,397,797
"Warren City, Precinct 50",346,346,322,668
"Warren City, Precinct 51",440,440,448,888
"Warren City, Precinct 52",223,223,278,501
"Warren City, Precinct 53",226,226,229,455
"Warren City, Precinct 54",318,318,372,690
"Warren City, Precinct 55",329,329,310,639
"Warren City, Precinct 56",165,165,178,343
"Warren City, Precinct 57",287,287,287,574
"Warren City, Precinct 58",437,437,476,913
Totals,"60,116","60,116","54,150","114,266"

