Precinct,"Carl J. Marlinga
Democratic","Rhonda Powell
Democratic","Angela Rogensues
Democratic","Huwaida Arraf
Democratic","Henry Yanez
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
"Fraser City, Precinct 7",104,30,20,21,8,183,181,364
"Village of Grosse Pointe Shores City, Precinct 3",5,0,0,0,0,5,33,38
"Harrison Township, Precinct 1",97,29,46,22,12,206,323,529
"Harrison Township, Precinct 2",179,63,34,33,18,327,424,751
"Harrison Township, Precinct 3",143,16,26,26,8,219,468,687
"Harrison Township, Precinct 4",136,33,24,30,16,239,434,673
"Harrison Township, Precinct 5",110,21,16,12,13,172,669,841
"Harrison Township, Precinct 6",134,35,33,26,12,240,444,684
"Harrison Township, Precinct 7",156,24,24,25,13,242,546,788
"Harrison Township, Precinct 8",100,37,17,29,4,187,203,390
"Harrison Township, Precinct 9",105,17,27,14,7,170,528,698
"Harrison Township, Precinct 10",121,26,23,13,8,191,423,614
"Macomb Township, Precinct 1",108,29,42,30,11,220,352,572
"Macomb Township, Precinct 2",80,34,24,35,12,185,255,440
"Macomb Township, Precinct 3",159,24,37,43,26,289,388,677
"Macomb Township, Precinct 4",100,25,15,6,17,163,234,397
"Macomb Township, Precinct 10",150,47,43,48,18,306,500,806
"Macomb Township, Precinct 11",101,22,41,31,30,225,393,618
"Macomb Township, Precinct 15",101,30,25,22,25,203,542,745
"Macomb Township, Precinct 16",118,24,20,33,20,215,397,612
"Mount Clemens City, Precinct 1",31,182,10,19,2,244,47,291
"Mount Clemens City, Precinct 2",126,45,25,64,9,269,205,474
"Mount Clemens City, Precinct 3",127,59,18,60,20,284,267,551
"Mount Clemens City, Precinct 4",62,27,20,27,7,143,123,266
"Mount Clemens City, Precinct 6",138,139,24,40,9,350,189,539
"Mount Clemens City, Precinct 9",139,55,28,15,15,252,302,554
"Roseville City, Precinct 1",96,20,26,41,10,193,227,420
"Roseville City, Precinct 2",124,30,34,36,11,235,306,541
"Roseville City, Precinct 3",103,82,25,31,2,243,141,384
"Roseville City, Precinct 4",73,22,16,34,3,148,142,290
"Roseville City, Precinct 5",100,41,26,34,4,205,194,399
"Roseville City, Precinct 6",66,25,27,27,7,152,181,333
"Roseville City, Precinct 7",97,42,19,31,4,193,173,366
"Roseville City, Precinct 8",138,25,28,42,16,249,234,483
"Roseville City, Precinct 9",164,59,49,24,5,301,339,640
"Roseville City, Precinct 10",70,31,11,26,3,141,174,315
"Roseville City, Precinct 11",110,20,37,27,14,208,216,424
"Roseville City, Precinct 12",97,42,23,19,10,191,157,348
"Roseville City, Precinct 13",113,42,16,29,7,207,157,364
"Roseville City, Precinct 14",98,32,23,22,4,179,199,378
"Roseville City, Precinct 15",130,60,46,26,9,271,214,485
"Roseville City, Precinct 16",63,24,25,21,2,135,137,272
"Roseville City, Precinct 17",61,14,10,15,4,104,100,204
"Roseville City, Precinct 18",40,38,9,13,2,102,32,134
"Shelby Township, Precinct 1",68,13,18,7,5,111,327,438
"Shelby Township, Precinct 2",111,22,34,21,14,202,492,694
"Shelby Township, Precinct 3",46,12,17,16,4,95,215,310
"Shelby Township, Precinct 4",103,13,15,17,11,159,421,580
"Shelby Township, Precinct 5",107,20,9,28,8,172,264,436
"Shelby Township, Precinct 6",77,19,22,11,6,135,201,336
"Shelby Township, Precinct 7",115,19,29,20,16,199,477,676
"Shelby Township, Precinct 8",57,8,19,13,4,101,258,359
"Shelby Township, Precinct 9",49,18,28,15,11,121,171,292
"Shelby Township, Precinct 10",102,12,20,22,5,161,340,501
"Shelby Township, Precinct 11",116,33,24,17,13,203,375,578
"Shelby Township, Precinct 12",67,13,13,4,3,100,361,461
"Shelby Township, Precinct 13",68,10,18,5,5,106,259,365
"Shelby Township, Precinct 14",106,33,19,27,10,195,525,720
"Shelby Township, Precinct 15",128,17,26,31,8,210,516,726
"Shelby Township, Precinct 16",203,24,35,27,8,297,723,"1,020"
"Shelby Township, Precinct 17",80,15,12,21,2,130,264,394
"Shelby Township, Precinct 18",129,22,39,18,11,219,387,606
"Shelby Township, Precinct 19",85,20,19,17,5,146,363,509
"Shelby Township, Precinct 20",73,17,14,22,7,133,267,400
"Shelby Township, Precinct 21",40,37,20,12,2,111,110,221
"Shelby Township, Precinct 22",168,65,42,32,9,316,693,"1,009"
"Shelby Township, Precinct 23",102,23,23,23,9,180,676,856
"Shelby Township, Precinct 24",167,13,18,25,22,245,842,"1,087"
"Shelby Township, Precinct 25",128,16,28,16,14,202,517,719
"Shelby Township, Precinct 26",212,32,37,17,12,310,440,750
"Shelby Township, Precinct 27",128,49,33,20,15,245,400,645
"Shelby Township, Precinct 28",229,23,42,25,22,341,533,874
"Shelby Township, Precinct 29",68,16,11,13,7,115,256,371
"Shelby Township, Precinct 30",98,24,23,19,8,172,387,559
"Shelby Township, Precinct 31",57,12,19,12,2,102,337,439
"Shelby Township, Precinct 32",35,20,15,8,2,80,240,320
"St. Clair Shores City, Precinct 1",180,113,48,31,17,389,258,647
"St. Clair Shores City, Precinct 2",214,93,51,51,29,438,397,835
"St. Clair Shores City, Precinct 3",254,54,84,54,11,457,636,"1,093"
"St. Clair Shores City, Precinct 4",184,50,48,66,19,367,364,731
"St. Clair Shores City, Precinct 5",194,67,42,63,14,380,431,811
"St. Clair Shores City, Precinct 6",118,32,28,42,10,230,190,420
"St. Clair Shores City, Precinct 7",226,50,30,57,21,384,421,805
"St. Clair Shores City, Precinct 8",88,32,25,19,7,171,247,418
"St. Clair Shores City, Precinct 9",178,42,54,41,10,325,366,691
"St. Clair Shores City, Precinct 10",222,51,48,47,18,386,539,925
"St. Clair Shores City, Precinct 11",214,38,35,42,11,340,347,687
"St. Clair Shores City, Precinct 12",249,47,67,46,21,430,681,"1,111"
"St. Clair Shores City, Precinct 13",182,30,59,39,13,323,403,726
"St. Clair Shores City, Precinct 14",189,39,39,42,11,320,406,726
"St. Clair Shores City, Precinct 15",206,34,35,51,13,339,506,845
"St. Clair Shores City, Precinct 16",188,41,32,37,7,305,444,749
"St. Clair Shores City, Precinct 17",217,49,46,44,10,366,550,916
"St. Clair Shores City, Precinct 18",244,46,54,29,9,382,499,881
"St. Clair Shores City, Precinct 19",134,22,29,35,11,231,372,603
"St. Clair Shores City, Precinct 20",161,23,36,27,10,257,367,624
"St. Clair Shores City, Precinct 21",119,24,19,28,4,194,309,503
"Sterling Heights City, Precinct 1",69,33,31,32,38,203,179,382
"Sterling Heights City, Precinct 2",113,37,40,48,54,292,273,565
"Sterling Heights City, Precinct 3",97,31,20,29,28,205,255,460
"Sterling Heights City, Precinct 4",116,30,25,53,43,267,238,505
"Sterling Heights City, Precinct 5",106,30,19,40,22,217,197,414
"Sterling Heights City, Precinct 6",63,39,21,34,24,181,185,366
"Sterling Heights City, Precinct 7",85,25,30,17,39,196,279,475
"Sterling Heights City, Precinct 8",104,25,9,25,23,186,240,426
"Sterling Heights City, Precinct 9",128,28,33,40,49,278,309,587
"Sterling Heights City, Precinct 10",144,25,26,27,31,253,324,577
"Sterling Heights City, Precinct 11",173,28,26,35,64,326,444,770
"Sterling Heights City, Precinct 12",71,23,32,29,37,192,202,394
"Sterling Heights City, Precinct 13",114,29,25,21,38,227,346,573
"Sterling Heights City, Precinct 14",179,30,20,36,48,313,436,749
"Sterling Heights City, Precinct 15",122,24,19,39,27,231,333,564
"Sterling Heights City, Precinct 16",110,44,43,42,43,282,280,562
"Sterling Heights City, Precinct 17",45,25,21,19,13,123,167,290
"Sterling Heights City, Precinct 18",71,17,23,20,71,202,345,547
"Sterling Heights City, Precinct 19",79,22,19,23,24,167,163,330
"Sterling Heights City, Precinct 20",73,32,17,19,44,185,194,379
"Sterling Heights City, Precinct 21",68,30,20,23,80,221,288,509
"Sterling Heights City, Precinct 22",107,27,33,15,79,261,295,556
"Sterling Heights City, Precinct 23",86,32,10,25,93,246,316,562
"Sterling Heights City, Precinct 24",121,31,18,20,95,285,397,682
"Sterling Heights City, Precinct 25",46,16,19,9,26,116,161,277
"Sterling Heights City, Precinct 26",76,17,31,18,137,279,272,551
"Sterling Heights City, Precinct 27",64,11,28,15,78,196,324,520
"Sterling Heights City, Precinct 28",73,16,23,20,108,240,353,593
"Sterling Heights City, Precinct 29",99,19,23,26,98,265,345,610
"Sterling Heights City, Precinct 30",113,13,29,20,106,281,468,749
"Sterling Heights City, Precinct 31",70,25,17,19,129,260,335,595
"Sterling Heights City, Precinct 32",52,22,20,17,104,215,284,499
"Sterling Heights City, Precinct 33",47,13,12,14,43,129,183,312
"Sterling Heights City, Precinct 34",82,25,26,55,100,288,327,615
"Sterling Heights City, Precinct 35",102,28,25,26,106,287,330,617
"Sterling Heights City, Precinct 36",102,25,30,19,121,297,373,670
"Sterling Heights City, Precinct 37",69,12,17,16,70,184,218,402
"Sterling Heights City, Precinct 38",97,32,17,24,105,275,359,634
"Sterling Heights City, Precinct 39",80,27,18,17,78,220,327,547
"Sterling Heights City, Precinct 40",73,43,14,25,60,215,184,399
"Sterling Heights City, Precinct 41",41,13,17,6,57,134,150,284
"Sterling Heights City, Precinct 42",113,41,51,34,104,343,322,665
"Sterling Heights City, Precinct 43",134,52,27,45,133,391,404,795
"Utica City, Precinct 1",47,5,15,16,4,87,100,187
"Utica City, Precinct 2",60,19,25,18,6,128,251,379
"Utica City, Precinct 3",76,31,44,11,6,168,200,368
"Warren City, Precinct 1",77,60,45,47,14,243,112,355
"Warren City, Precinct 2",98,52,39,38,14,241,127,368
"Warren City, Precinct 3",100,41,37,63,7,248,171,419
"Warren City, Precinct 4",118,69,26,36,11,260,146,406
"Warren City, Precinct 5",96,58,41,68,9,272,179,451
"Warren City, Precinct 6",44,28,24,17,6,119,70,189
"Warren City, Precinct 7",32,53,19,17,5,126,95,221
"Warren City, Precinct 8",60,33,27,21,5,146,96,242
"Warren City, Precinct 9",51,32,17,14,4,118,80,198
"Warren City, Precinct 10",2,0,0,0,1,3,1,4
"Warren City, Precinct 11",44,26,20,17,5,112,63,175
"Warren City, Precinct 12",34,5,10,4,3,56,68,124
"Warren City, Precinct 13",108,75,33,39,5,260,222,482
"Warren City, Precinct 14",74,29,13,11,3,130,88,218
"Warren City, Precinct 15",75,51,26,13,8,173,101,274
"Warren City, Precinct 16",56,29,25,18,4,132,133,265
"Warren City, Precinct 17",25,23,12,7,5,72,43,115
"Warren City, Precinct 18",77,36,41,88,6,248,189,437
"Warren City, Precinct 19",166,53,58,54,6,337,291,628
"Warren City, Precinct 20",109,74,51,27,22,283,275,558
"Warren City, Precinct 21",114,71,59,31,9,284,243,527
"Warren City, Precinct 22",51,28,20,17,5,121,98,219
"Warren City, Precinct 23",77,29,27,20,7,160,161,321
"Warren City, Precinct 24",59,36,12,3,2,112,71,183
"Warren City, Precinct 25",103,48,38,15,16,220,276,496
"Warren City, Precinct 26",88,36,42,14,15,195,231,426
"Warren City, Precinct 27",182,75,74,31,34,396,296,692
"Warren City, Precinct 28",186,72,54,38,23,373,349,722
"Warren City, Precinct 29",162,40,55,30,18,305,305,610
"Warren City, Precinct 30",159,47,59,31,10,306,389,695
"Warren City, Precinct 31",60,25,32,29,8,154,128,282
"Warren City, Precinct 32",121,54,43,50,27,295,280,575
"Warren City, Precinct 33",81,27,30,40,11,189,141,330
"Warren City, Precinct 34",89,75,21,30,9,224,141,365
"Warren City, Precinct 35",57,28,32,27,13,157,163,320
"Warren City, Precinct 36",135,41,65,48,17,306,313,619
"Warren City, Precinct 37",131,48,60,48,56,343,294,637
"Warren City, Precinct 38",109,32,32,39,30,242,251,493
"Warren City, Precinct 39",114,52,36,27,36,265,174,439
"Warren City, Precinct 40",116,58,51,40,7,272,223,495
"Warren City, Precinct 41",80,30,40,38,14,202,177,379
"Warren City, Precinct 42",152,30,52,57,26,317,345,662
"Warren City, Precinct 43",90,55,41,39,12,237,146,383
"Warren City, Precinct 44",178,55,54,33,34,354,369,723
"Warren City, Precinct 45",116,54,33,26,16,245,306,551
"Warren City, Precinct 46",147,43,89,20,54,353,382,735
"Warren City, Precinct 47",60,20,19,18,48,165,214,379
"Warren City, Precinct 48",70,22,41,19,22,174,215,389
"Warren City, Precinct 49",152,34,31,25,17,259,341,600
"Warren City, Precinct 50",116,38,53,31,7,245,262,507
"Warren City, Precinct 51",57,25,39,22,12,155,145,300
"Warren City, Precinct 52",101,30,28,28,16,203,284,487
"Warren City, Precinct 53",165,41,73,37,27,343,435,778
Totals,"28,498","10,097","7,797","6,941","5,426","58,759","72,607","131,366"

