Precinct,"Gretchen Whitmer
Democratic","Total Votes Cast",Overvotes/Undervotes,"Total Ballots Cast"
"Macomb Township, Precinct 25",115,115,274,389
"Macomb Township, Precinct 26",132,132,263,395
"Macomb Township, Precinct 27",222,222,442,664
"Macomb Township, Precinct 28",136,136,328,464
"Macomb Township, Precinct 29",237,237,556,793
"Macomb Township, Precinct 30",182,182,395,577
"Macomb Township, Precinct 31",137,137,275,412
"Macomb Township, Precinct 32",296,296,573,869
"Macomb Township, Precinct 33",146,146,270,416
"Macomb Township, Precinct 34",97,97,282,379
"Macomb Township, Precinct 35",159,159,368,527
"Memphis City, Precinct 1",35,35,144,179
"Mount Clemens City, Precinct 1",235,235,56,291
"Mount Clemens City, Precinct 2",269,269,205,474
"Mount Clemens City, Precinct 3",287,287,264,551
"Mount Clemens City, Precinct 4",139,139,127,266
"Mount Clemens City, Precinct 6",351,351,188,539
"Mount Clemens City, Precinct 9",258,258,296,554
"New Baltimore City, Precinct 1",119,119,273,392
"New Baltimore City, Precinct 2",90,90,252,342
"New Baltimore City, Precinct 3",202,202,539,741
"New Baltimore City, Precinct 4",208,208,419,627
"New Baltimore City, Precinct 5",172,172,433,605
"Ray Township, Precinct 1",93,93,419,512
"Ray Township, Precinct 2",137,137,490,627
"Richmond City, Precinct 1",215,215,514,729
"Richmond City, Precinct 2",152,152,397,549
"Richmond Township, Precinct 1",60,60,338,398
"Richmond Township, Precinct 2",95,95,356,451
"Roseville City, Precinct 1",201,201,219,420
"Roseville City, Precinct 2",236,236,305,541
"Roseville City, Precinct 3",248,248,136,384
"Roseville City, Precinct 4",151,151,139,290
"Roseville City, Precinct 5",202,202,197,399
"Roseville City, Precinct 6",151,151,182,333
"Roseville City, Precinct 7",193,193,173,366
"Roseville City, Precinct 8",251,251,232,483
"Roseville City, Precinct 9",305,305,335,640
"Roseville City, Precinct 10",146,146,169,315
"Roseville City, Precinct 11",218,218,206,424
"Roseville City, Precinct 12",191,191,157,348
"Roseville City, Precinct 13",205,205,159,364
"Roseville City, Precinct 14",185,185,193,378
"Roseville City, Precinct 15",271,271,214,485
"Roseville City, Precinct 16",142,142,130,272
"Roseville City, Precinct 17",105,105,99,204
"Roseville City, Precinct 18",102,102,32,134
"Shelby Township, Precinct 1",109,109,329,438
"Shelby Township, Precinct 2",206,206,488,694
"Shelby Township, Precinct 3",96,96,214,310
"Shelby Township, Precinct 4",157,157,423,580
"Shelby Township, Precinct 5",179,179,257,436
"Shelby Township, Precinct 6",136,136,200,336
"Shelby Township, Precinct 7",203,203,473,676
"Shelby Township, Precinct 8",103,103,256,359
"Shelby Township, Precinct 9",123,123,169,292
"Shelby Township, Precinct 10",167,167,334,501
"Shelby Township, Precinct 11",208,208,370,578
"Shelby Township, Precinct 12",109,109,352,461
"Shelby Township, Precinct 13",108,108,257,365
"Shelby Township, Precinct 14",199,199,521,720
"Shelby Township, Precinct 15",215,215,511,726
"Shelby Township, Precinct 16",293,293,727,"1,020"
"Shelby Township, Precinct 17",130,130,264,394
"Shelby Township, Precinct 18",230,230,376,606
"Shelby Township, Precinct 19",145,145,364,509
"Shelby Township, Precinct 20",137,137,263,400
"Shelby Township, Precinct 21",113,113,108,221
"Shelby Township, Precinct 22",320,320,689,"1,009"
"Shelby Township, Precinct 23",182,182,674,856
"Shelby Township, Precinct 24",253,253,834,"1,087"
"Shelby Township, Precinct 25",207,207,512,719
"Shelby Township, Precinct 26",309,309,441,750
"Shelby Township, Precinct 27",251,251,394,645
"Shelby Township, Precinct 28",348,348,526,874
"Shelby Township, Precinct 29",114,114,257,371
"Shelby Township, Precinct 30",178,178,381,559
"Shelby Township, Precinct 31",104,104,335,439
"Shelby Township, Precinct 32",86,86,234,320
"St. Clair Shores City, Precinct 1",406,406,241,647
"St. Clair Shores City, Precinct 2",447,447,388,835
"St. Clair Shores City, Precinct 3",467,467,626,"1,093"
"St. Clair Shores City, Precinct 4",378,378,353,731
"St. Clair Shores City, Precinct 5",399,399,412,811
"St. Clair Shores City, Precinct 6",226,226,194,420
"St. Clair Shores City, Precinct 7",390,390,415,805
"St. Clair Shores City, Precinct 8",179,179,239,418
"St. Clair Shores City, Precinct 9",331,331,360,691
"St. Clair Shores City, Precinct 10",401,401,524,925
"St. Clair Shores City, Precinct 11",345,345,342,687
"St. Clair Shores City, Precinct 12",442,442,669,"1,111"
"St. Clair Shores City, Precinct 13",333,333,393,726
"St. Clair Shores City, Precinct 14",325,325,401,726
"St. Clair Shores City, Precinct 15",342,342,503,845
"St. Clair Shores City, Precinct 16",310,310,439,749
"St. Clair Shores City, Precinct 17",381,381,535,916
"St. Clair Shores City, Precinct 18",393,393,488,881
"St. Clair Shores City, Precinct 19",234,234,369,603
"St. Clair Shores City, Precinct 20",260,260,364,624
"St. Clair Shores City, Precinct 21",200,200,303,503
"Sterling Heights City, Precinct 1",213,213,169,382
"Sterling Heights City, Precinct 2",296,296,269,565
"Sterling Heights City, Precinct 3",217,217,243,460
"Sterling Heights City, Precinct 4",263,263,242,505
"Sterling Heights City, Precinct 5",223,223,191,414
"Sterling Heights City, Precinct 6",186,186,180,366
"Sterling Heights City, Precinct 7",197,197,278,475
"Sterling Heights City, Precinct 8",184,184,242,426
"Sterling Heights City, Precinct 9",284,284,303,587
"Sterling Heights City, Precinct 10",255,255,322,577
"Sterling Heights City, Precinct 11",331,331,439,770
"Sterling Heights City, Precinct 12",199,199,195,394
"Sterling Heights City, Precinct 13",224,224,349,573
"Sterling Heights City, Precinct 14",322,322,427,749
"Sterling Heights City, Precinct 15",236,236,328,564
"Sterling Heights City, Precinct 16",285,285,277,562
"Sterling Heights City, Precinct 17",125,125,165,290
"Sterling Heights City, Precinct 18",202,202,345,547
"Sterling Heights City, Precinct 19",168,168,162,330
"Sterling Heights City, Precinct 20",194,194,185,379
"Sterling Heights City, Precinct 21",222,222,287,509
"Sterling Heights City, Precinct 22",265,265,291,556
"Sterling Heights City, Precinct 23",246,246,316,562
"Sterling Heights City, Precinct 24",290,290,392,682
"Sterling Heights City, Precinct 25",118,118,159,277
"Sterling Heights City, Precinct 26",278,278,273,551
"Sterling Heights City, Precinct 27",196,196,324,520
"Sterling Heights City, Precinct 28",242,242,351,593
"Sterling Heights City, Precinct 29",263,263,347,610
"Sterling Heights City, Precinct 30",281,281,468,749
"Sterling Heights City, Precinct 31",263,263,332,595
"Sterling Heights City, Precinct 32",220,220,279,499
"Sterling Heights City, Precinct 33",128,128,184,312
"Sterling Heights City, Precinct 34",285,285,330,615
"Sterling Heights City, Precinct 35",293,293,324,617
"Sterling Heights City, Precinct 36",293,293,377,670
"Sterling Heights City, Precinct 37",186,186,216,402
"Sterling Heights City, Precinct 38",278,278,356,634
"Sterling Heights City, Precinct 39",221,221,326,547
"Sterling Heights City, Precinct 40",224,224,175,399
"Sterling Heights City, Precinct 41",136,136,148,284
"Sterling Heights City, Precinct 42",348,348,317,665
"Sterling Heights City, Precinct 43",402,402,393,795
"Utica City, Precinct 1",87,87,100,187
"Utica City, Precinct 2",126,126,253,379
"Utica City, Precinct 3",169,169,199,368
"Warren City, Precinct 1",250,250,105,355
"Warren City, Precinct 2",240,240,128,368
"Warren City, Precinct 3",252,252,167,419
"Warren City, Precinct 4",267,267,139,406
"Warren City, Precinct 5",265,265,186,451
"Warren City, Precinct 6",121,121,68,189
"Warren City, Precinct 7",125,125,96,221
"Warren City, Precinct 8",146,146,96,242
"Warren City, Precinct 9",123,123,75,198
"Warren City, Precinct 10",3,3,1,4
"Warren City, Precinct 11",113,113,62,175
"Warren City, Precinct 12",57,57,67,124
"Warren City, Precinct 13",273,273,209,482
"Warren City, Precinct 14",130,130,88,218
"Warren City, Precinct 15",179,179,95,274
"Warren City, Precinct 16",129,129,136,265
"Warren City, Precinct 17",77,77,38,115
"Warren City, Precinct 18",251,251,186,437
"Warren City, Precinct 19",348,348,280,628
"Warren City, Precinct 20",289,289,269,558
"Warren City, Precinct 21",297,297,230,527
"Warren City, Precinct 22",120,120,99,219
"Warren City, Precinct 23",164,164,157,321
"Warren City, Precinct 24",116,116,67,183
"Warren City, Precinct 25",221,221,275,496
"Warren City, Precinct 26",198,198,228,426
"Warren City, Precinct 27",401,401,291,692
"Warren City, Precinct 28",382,382,340,722
"Warren City, Precinct 29",308,308,302,610
"Warren City, Precinct 30",317,317,378,695
"Warren City, Precinct 31",158,158,124,282
"Warren City, Precinct 32",308,308,267,575
"Warren City, Precinct 33",189,189,141,330
"Warren City, Precinct 34",232,232,133,365
"Warren City, Precinct 35",159,159,161,320
"Warren City, Precinct 36",316,316,303,619
"Warren City, Precinct 37",356,356,281,637
"Warren City, Precinct 38",250,250,243,493
"Warren City, Precinct 39",271,271,168,439
"Warren City, Precinct 40",285,285,210,495
"Warren City, Precinct 41",208,208,171,379
"Warren City, Precinct 42",321,321,341,662
"Warren City, Precinct 43",248,248,135,383
"Warren City, Precinct 44",354,354,369,723
"Warren City, Precinct 45",254,254,297,551
"Warren City, Precinct 46",359,359,376,735
"Warren City, Precinct 47",170,170,209,379
"Warren City, Precinct 48",173,173,216,389
"Warren City, Precinct 49",259,259,341,600
"Warren City, Precinct 50",247,247,260,507
"Warren City, Precinct 51",155,155,145,300
"Warren City, Precinct 52",213,213,274,487
"Warren City, Precinct 53",351,351,427,778
"Washington Township, Precinct 1",122,122,260,382
"Washington Township, Precinct 2",180,180,421,601
"Washington Township, Precinct 3",204,204,609,813
"Washington Township, Precinct 4",146,146,386,532
"Washington Township, Precinct 5",134,134,626,760
"Washington Township, Precinct 6",207,207,760,967
"Washington Township, Precinct 7",152,152,661,813
"Washington Township, Precinct 8",208,208,500,708
"Washington Township, Precinct 9",82,82,307,389
"Washington Township, Precinct 10",154,154,388,542
"Washington Township, Precinct 11",113,113,433,546
"Washington Township, Precinct 12",70,70,258,328
Totals,"73,235","73,235","102,301","175,536"

