Contest,Candidate,Party,Precinct,Votes
Governor for State (DEM),Gretchen Whitmer,,Deerfield Township Precinct 2,64
Governor for State (DEM),Write-In (WRITE-IN),,Deerfield Township Precinct 2,0
Governor for State (DEM),Gretchen Whitmer,,Denver Township Precinct 1,42
Governor for State (DEM),Write-In (WRITE-IN),,Denver Township Precinct 1,0
Governor for State (DEM),Gretchen Whitmer,,Fremont Township Precinct 1,62
Governor for State (DEM),Write-In (WRITE-IN),,Fremont Township Precinct 1,0
Governor for State (DEM),Gretchen Whitmer,,Gilmore Township Precinct 1,70
Governor for State (DEM),Write-In (WRITE-IN),,Gilmore Township Precinct 1,0
Governor for State (DEM),Gretchen Whitmer,,Isabella Township Precinct 1,139
Governor for State (DEM),Write-In (WRITE-IN),,Isabella Township Precinct 1,0
Governor for State (DEM),Gretchen Whitmer,,Lincoln Township Precinct 1,108
Governor for State (DEM),Write-In (WRITE-IN),,Lincoln Township Precinct 1,0
Governor for State (DEM),Gretchen Whitmer,,Nottawa Township Precinct 1,104
Governor for State (DEM),Write-In (WRITE-IN),,Nottawa Township Precinct 1,0
Governor for State (DEM),Gretchen Whitmer,,Rolland Township Precinct 1,62
Governor for State (DEM),Write-In (WRITE-IN),,Rolland Township Precinct 1,0
Governor for State (DEM),Gretchen Whitmer,,Sherman Township Precinct 1,85
Governor for State (DEM),Write-In (WRITE-IN),,Sherman Township Precinct 1,0
Governor for State (DEM),Gretchen Whitmer,,Sherman Township Precinct 2,81
Governor for State (DEM),Write-In (WRITE-IN),,Sherman Township Precinct 2,0
Governor for State (DEM),Gretchen Whitmer,,Union Charter Township Precinct 1,204
Governor for State (DEM),Write-In (WRITE-IN),,Union Charter Township Precinct 1,0
Governor for State (DEM),Gretchen Whitmer,,Union Charter Township Precinct 2,206
Governor for State (DEM),Write-In (WRITE-IN),,Union Charter Township Precinct 2,1
Governor for State (DEM),Gretchen Whitmer,,Union Charter Township Precinct 3,161
Governor for State (DEM),Write-In (WRITE-IN),,Union Charter Township Precinct 3,0
Governor for State (DEM),Gretchen Whitmer,,Vernon Township Precinct 1,55
Governor for State (DEM),Write-In (WRITE-IN),,Vernon Township Precinct 1,0
Governor for State (DEM),Gretchen Whitmer,,Wise Township Precinct 1,64
Governor for State (DEM),Write-In (WRITE-IN),,Wise Township Precinct 1,0
Representative in Congress 2nd District (DEM),Jerry Hilliard,,Broomfield Township Precinct 1,91
Representative in Congress 2nd District (DEM),Write-In (WRITE-IN),,Broomfield Township Precinct 1,0
Representative in Congress 2nd District (DEM),Jerry Hilliard,,Chippewa Township Precinct 1,139
Representative in Congress 2nd District (DEM),Write-In (WRITE-IN),,Chippewa Township Precinct 1,1
Representative in Congress 2nd District (DEM),Jerry Hilliard,,Chippewa Township Precinct 2,83
Representative in Congress 2nd District (DEM),Write-In (WRITE-IN),,Chippewa Township Precinct 2,0
Representative in Congress 2nd District (DEM),Jerry Hilliard,,City of Clare Precinct 1,0
Representative in Congress 2nd District (DEM),Write-In (WRITE-IN),,City of Clare Precinct 1,0
Representative in Congress 2nd District (DEM),Jerry Hilliard,,City of Mt. Pleasant Precinct 1,182
Representative in Congress 2nd District (DEM),Write-In (WRITE-IN),,City of Mt. Pleasant Precinct 1,0
Representative in Congress 2nd District (DEM),Jerry Hilliard,,City of Mt. Pleasant Precinct 2,275
Representative in Congress 2nd District (DEM),Write-In (WRITE-IN),,City of Mt. Pleasant Precinct 2,2
Representative in Congress 2nd District (DEM),Jerry Hilliard,,City of Mt. Pleasant Precinct 3,348
Representative in Congress 2nd District (DEM),Write-In (WRITE-IN),,City of Mt. Pleasant Precinct 3,1
Representative in Congress 2nd District (DEM),Jerry Hilliard,,City of Mt. Pleasant Precinct 4,201
Representative in Congress 2nd District (DEM),Write-In (WRITE-IN),,City of Mt. Pleasant Precinct 4,1
Representative in Congress 2nd District (DEM),Jerry Hilliard,,City of Mt. Pleasant Precinct 5,271
Representative in Congress 2nd District (DEM),Write-In (WRITE-IN),,City of Mt. Pleasant Precinct 5,1
Representative in Congress 2nd District (DEM),Jerry Hilliard,,Coe Township Precinct 1,97
Representative in Congress 2nd District (DEM),Write-In (WRITE-IN),,Coe Township Precinct 1,2
Representative in Congress 2nd District (DEM),Jerry Hilliard,,Coe Township Precinct 2,82
Representative in Congress 2nd District (DEM),Write-In (WRITE-IN),,Coe Township Precinct 2,0
Representative in Congress 2nd District (DEM),Jerry Hilliard,,Coldwater Township Precinct 1,30
Representative in Congress 2nd District (DEM),Write-In (WRITE-IN),,Coldwater Township Precinct 1,0
Representative in Congress 2nd District (DEM),Jerry Hilliard,,Deerfield Township Precinct 1,184
Representative in Congress 2nd District (DEM),Write-In (WRITE-IN),,Deerfield Township Precinct 1,0
Representative in Congress 2nd District (DEM),Jerry Hilliard,,Deerfield Township Precinct 2,62
Representative in Congress 2nd District (DEM),Write-In (WRITE-IN),,Deerfield Township Precinct 2,0
Representative in Congress 2nd District (DEM),Jerry Hilliard,,Denver Township Precinct 1,42
Representative in Congress 2nd District (DEM),Write-In (WRITE-IN),,Denver Township Precinct 1,0
Representative in Congress 2nd District (DEM),Jerry Hilliard,,Fremont Township Precinct 1,61
Representative in Congress 2nd District (DEM),Write-In (WRITE-IN),,Fremont Township Precinct 1,0
Representative in Congress 2nd District (DEM),Jerry Hilliard,,Gilmore Township Precinct 1,64
Representative in Congress 2nd District (DEM),Write-In (WRITE-IN),,Gilmore Township Precinct 1,0
Representative in Congress 2nd District (DEM),Jerry Hilliard,,Isabella Township Precinct 1,137
Representative in Congress 2nd District (DEM),Write-In (WRITE-IN),,Isabella Township Precinct 1,0
Representative in Congress 2nd District (DEM),Jerry Hilliard,,Lincoln Township Precinct 1,105
Representative in Congress 2nd District (DEM),Write-In (WRITE-IN),,Lincoln Township Precinct 1,0
Representative in Congress 2nd District (DEM),Jerry Hilliard,,Nottawa Township Precinct 1,95
Representative in Congress 2nd District (DEM),Write-In (WRITE-IN),,Nottawa Township Precinct 1,0
Representative in Congress 2nd District (DEM),Jerry Hilliard,,Rolland Township Precinct 1,60
Representative in Congress 2nd District (DEM),Write-In (WRITE-IN),,Rolland Township Precinct 1,0
Representative in Congress 2nd District (DEM),Jerry Hilliard,,Sherman Township Precinct 1,85
Representative in Congress 2nd District (DEM),Write-In (WRITE-IN),,Sherman Township Precinct 1,0
Representative in Congress 2nd District (DEM),Jerry Hilliard,,Sherman Township Precinct 2,80
Representative in Congress 2nd District (DEM),Write-In (WRITE-IN),,Sherman Township Precinct 2,0
Representative in Congress 2nd District (DEM),Jerry Hilliard,,Union Charter Township Precinct 1,198
Representative in Congress 2nd District (DEM),Write-In (WRITE-IN),,Union Charter Township Precinct 1,0
Representative in Congress 2nd District (DEM),Jerry Hilliard,,Union Charter Township Precinct 2,198
Representative in Congress 2nd District (DEM),Write-In (WRITE-IN),,Union Charter Township Precinct 2,0
Representative in Congress 2nd District (DEM),Jerry Hilliard,,Union Charter Township Precinct 3,152
Representative in Congress 2nd District (DEM),Write-In (WRITE-IN),,Union Charter Township Precinct 3,0
Representative in Congress 2nd District (DEM),Jerry Hilliard,,Vernon Township Precinct 1,53
Representative in Congress 2nd District (DEM),Write-In (WRITE-IN),,Vernon Township Precinct 1,0
Representative in Congress 2nd District (DEM),Jerry Hilliard,,Wise Township Precinct 1,61
Representative in Congress 2nd District (DEM),Write-In (WRITE-IN),,Wise Township Precinct 1,0
State Senator 34th District (DEM),Christine Gerace,,Broomfield Township Precinct 1,89
State Senator 34th District (DEM),Write-In (WRITE-IN),,Broomfield Township Precinct 1,0
State Senator 34th District (DEM),Christine Gerace,,Chippewa Township Precinct 1,137
State Senator 34th District (DEM),Write-In (WRITE-IN),,Chippewa Township Precinct 1,0
State Senator 34th District (DEM),Christine Gerace,,Chippewa Township Precinct 2,83
State Senator 34th District (DEM),Write-In (WRITE-IN),,Chippewa Township Precinct 2,0
State Senator 34th District (DEM),Christine Gerace,,City of Clare Precinct 1,0
State Senator 34th District (DEM),Write-In (WRITE-IN),,City of Clare Precinct 1,0
State Senator 34th District (DEM),Christine Gerace,,City of Mt. Pleasant Precinct 1,180
State Senator 34th District (DEM),Write-In (WRITE-IN),,City of Mt. Pleasant Precinct 1,0
State Senator 34th District (DEM),Christine Gerace,,City of Mt. Pleasant Precinct 2,277
State Senator 34th District (DEM),Write-In (WRITE-IN),,City of Mt. Pleasant Precinct 2,0
State Senator 34th District (DEM),Christine Gerace,,City of Mt. Pleasant Precinct 3,349
State Senator 34th District (DEM),Write-In (WRITE-IN),,City of Mt. Pleasant Precinct 3,0
State Senator 34th District (DEM),Christine Gerace,,City of Mt. Pleasant Precinct 4,201
State Senator 34th District (DEM),Write-In (WRITE-IN),,City of Mt. Pleasant Precinct 4,0
State Senator 34th District (DEM),Christine Gerace,,City of Mt. Pleasant Precinct 5,271
State Senator 34th District (DEM),Write-In (WRITE-IN),,City of Mt. Pleasant Precinct 5,0
State Senator 34th District (DEM),Christine Gerace,,Coe Township Precinct 1,97
State Senator 34th District (DEM),Write-In (WRITE-IN),,Coe Township Precinct 1,2
State Senator 34th District (DEM),Christine Gerace,,Coe Township Precinct 2,82
State Senator 34th District (DEM),Write-In (WRITE-IN),,Coe Township Precinct 2,0
State Senator 34th District (DEM),Christine Gerace,,Coldwater Township Precinct 1,30
State Senator 34th District (DEM),Write-In (WRITE-IN),,Coldwater Township Precinct 1,0
State Senator 34th District (DEM),Christine Gerace,,Deerfield Township Precinct 1,183
State Senator 34th District (DEM),Write-In (WRITE-IN),,Deerfield Township Precinct 1,0
State Senator 34th District (DEM),Christine Gerace,,Deerfield Township Precinct 2,62
State Senator 34th District (DEM),Write-In (WRITE-IN),,Deerfield Township Precinct 2,0
State Senator 34th District (DEM),Christine Gerace,,Denver Township Precinct 1,42
State Senator 34th District (DEM),Write-In (WRITE-IN),,Denver Township Precinct 1,0
State Senator 34th District (DEM),Christine Gerace,,Fremont Township Precinct 1,59
State Senator 34th District (DEM),Write-In (WRITE-IN),,Fremont Township Precinct 1,0
State Senator 34th District (DEM),Christine Gerace,,Gilmore Township Precinct 1,63
State Senator 34th District (DEM),Write-In (WRITE-IN),,Gilmore Township Precinct 1,0
State Senator 34th District (DEM),Christine Gerace,,Isabella Township Precinct 1,138
State Senator 34th District (DEM),Write-In (WRITE-IN),,Isabella Township Precinct 1,0
State Senator 34th District (DEM),Christine Gerace,,Lincoln Township Precinct 1,104
State Senator 34th District (DEM),Write-In (WRITE-IN),,Lincoln Township Precinct 1,0
State Senator 34th District (DEM),Christine Gerace,,Nottawa Township Precinct 1,93
State Senator 34th District (DEM),Write-In (WRITE-IN),,Nottawa Township Precinct 1,0
State Senator 34th District (DEM),Christine Gerace,,Rolland Township Precinct 1,61
State Senator 34th District (DEM),Write-In (WRITE-IN),,Rolland Township Precinct 1,0
State Senator 34th District (DEM),Christine Gerace,,Sherman Township Precinct 1,83
State Senator 34th District (DEM),Write-In (WRITE-IN),,Sherman Township Precinct 1,0
State Senator 34th District (DEM),Christine Gerace,,Sherman Township Precinct 2,80
State Senator 34th District (DEM),Write-In (WRITE-IN),,Sherman Township Precinct 2,0
State Senator 34th District (DEM),Christine Gerace,,Union Charter Township Precinct 1,196
State Senator 34th District (DEM),Write-In (WRITE-IN),,Union Charter Township Precinct 1,0
State Senator 34th District (DEM),Christine Gerace,,Union Charter Township Precinct 2,200
State Senator 34th District (DEM),Write-In (WRITE-IN),,Union Charter Township Precinct 2,0
State Senator 34th District (DEM),Christine Gerace,,Union Charter Township Precinct 3,153
State Senator 34th District (DEM),Write-In (WRITE-IN),,Union Charter Township Precinct 3,0
State Senator 34th District (DEM),Christine Gerace,,Vernon Township Precinct 1,54
State Senator 34th District (DEM),Write-In (WRITE-IN),,Vernon Township Precinct 1,0
State Senator 34th District (DEM),Christine Gerace,,Wise Township Precinct 1,61
State Senator 34th District (DEM),Write-In (WRITE-IN),,Wise Township Precinct 1,0
Rep in State Legislature 92nd District (DEM),Anthony D. Feig,,Broomfield Township Precinct 1,89
Rep in State Legislature 92nd District (DEM),Write-In (WRITE-IN),,Broomfield Township Precinct 1,0
Rep in State Legislature 92nd District (DEM),Anthony D. Feig,,Chippewa Township Precinct 1,136
Rep in State Legislature 92nd District (DEM),Write-In (WRITE-IN),,Chippewa Township Precinct 1,0
Rep in State Legislature 92nd District (DEM),Anthony D. Feig,,Chippewa Township Precinct 2,83
Rep in State Legislature 92nd District (DEM),Write-In (WRITE-IN),,Chippewa Township Precinct 2,0
Rep in State Legislature 92nd District (DEM),Anthony D. Feig,,City of Clare Precinct 1,0
Rep in State Legislature 92nd District (DEM),Write-In (WRITE-IN),,City of Clare Precinct 1,0
Rep in State Legislature 92nd District (DEM),Anthony D. Feig,,City of Mt. Pleasant Precinct 1,180
Rep in State Legislature 92nd District (DEM),Write-In (WRITE-IN),,City of Mt. Pleasant Precinct 1,0
Rep in State Legislature 92nd District (DEM),Anthony D. Feig,,City of Mt. Pleasant Precinct 2,278
Rep in State Legislature 92nd District (DEM),Write-In (WRITE-IN),,City of Mt. Pleasant Precinct 2,2
Rep in State Legislature 92nd District (DEM),Anthony D. Feig,,City of Mt. Pleasant Precinct 3,350
Rep in State Legislature 92nd District (DEM),Write-In (WRITE-IN),,City of Mt. Pleasant Precinct 3,0
Rep in State Legislature 92nd District (DEM),Anthony D. Feig,,City of Mt. Pleasant Precinct 4,200
Rep in State Legislature 92nd District (DEM),Write-In (WRITE-IN),,City of Mt. Pleasant Precinct 4,0
Rep in State Legislature 92nd District (DEM),Anthony D. Feig,,City of Mt. Pleasant Precinct 5,270
Rep in State Legislature 92nd District (DEM),Write-In (WRITE-IN),,City of Mt. Pleasant Precinct 5,1
Rep in State Legislature 92nd District (DEM),Anthony D. Feig,,Coe Township Precinct 1,97
Rep in State Legislature 92nd District (DEM),Write-In (WRITE-IN),,Coe Township Precinct 1,2
Rep in State Legislature 92nd District (DEM),Anthony D. Feig,,Coe Township Precinct 2,80
Rep in State Legislature 92nd District (DEM),Write-In (WRITE-IN),,Coe Township Precinct 2,0
Rep in State Legislature 92nd District (DEM),Anthony D. Feig,,Coldwater Township Precinct 1,30
Rep in State Legislature 92nd District (DEM),Write-In (WRITE-IN),,Coldwater Township Precinct 1,0
Rep in State Legislature 92nd District (DEM),Anthony D. Feig,,Deerfield Township Precinct 1,179
Rep in State Legislature 92nd District (DEM),Write-In (WRITE-IN),,Deerfield Township Precinct 1,0
Rep in State Legislature 92nd District (DEM),Anthony D. Feig,,Deerfield Township Precinct 2,60
Rep in State Legislature 92nd District (DEM),Write-In (WRITE-IN),,Deerfield Township Precinct 2,0
Rep in State Legislature 92nd District (DEM),Anthony D. Feig,,Denver Township Precinct 1,41
Rep in State Legislature 92nd District (DEM),Write-In (WRITE-IN),,Denver Township Precinct 1,0
Rep in State Legislature 92nd District (DEM),Anthony D. Feig,,Fremont Township Precinct 1,60
Rep in State Legislature 92nd District (DEM),Write-In (WRITE-IN),,Fremont Township Precinct 1,0
Rep in State Legislature 92nd District (DEM),Anthony D. Feig,,Gilmore Township Precinct 1,64
Rep in State Legislature 92nd District (DEM),Write-In (WRITE-IN),,Gilmore Township Precinct 1,0
Rep in State Legislature 92nd District (DEM),Anthony D. Feig,,Isabella Township Precinct 1,138
Rep in State Legislature 92nd District (DEM),Write-In (WRITE-IN),,Isabella Township Precinct 1,0
Rep in State Legislature 92nd District (DEM),Anthony D. Feig,,Lincoln Township Precinct 1,104
Rep in State Legislature 92nd District (DEM),Write-In (WRITE-IN),,Lincoln Township Precinct 1,0
Rep in State Legislature 92nd District (DEM),Anthony D. Feig,,Nottawa Township Precinct 1,92
Rep in State Legislature 92nd District (DEM),Write-In (WRITE-IN),,Nottawa Township Precinct 1,0
Rep in State Legislature 92nd District (DEM),Anthony D. Feig,,Rolland Township Precinct 1,59
Rep in State Legislature 92nd District (DEM),Write-In (WRITE-IN),,Rolland Township Precinct 1,0
Rep in State Legislature 92nd District (DEM),Anthony D. Feig,,Sherman Township Precinct 1,82
Rep in State Legislature 92nd District (DEM),Write-In (WRITE-IN),,Sherman Township Precinct 1,0
Rep in State Legislature 92nd District (DEM),Anthony D. Feig,,Sherman Township Precinct 2,80
Rep in State Legislature 92nd District (DEM),Write-In (WRITE-IN),,Sherman Township Precinct 2,0
Rep in State Legislature 92nd District (DEM),Anthony D. Feig,,Union Charter Township Precinct 1,197
Rep in State Legislature 92nd District (DEM),Write-In (WRITE-IN),,Union Charter Township Precinct 1,0
Rep in State Legislature 92nd District (DEM),Anthony D. Feig,,Union Charter Township Precinct 2,199
Rep in State Legislature 92nd District (DEM),Write-In (WRITE-IN),,Union Charter Township Precinct 2,1
Rep in State Legislature 92nd District (DEM),Anthony D. Feig,,Union Charter Township Precinct 3,152
Rep in State Legislature 92nd District (DEM),Write-In (WRITE-IN),,Union Charter Township Precinct 3,0
Rep in State Legislature 92nd District (DEM),Anthony D. Feig,,Vernon Township Precinct 1,54
Rep in State Legislature 92nd District (DEM),Write-In (WRITE-IN),,Vernon Township Precinct 1,0
Rep in State Legislature 92nd District (DEM),Anthony D. Feig,,Wise Township Precinct 1,61
Rep in State Legislature 92nd District (DEM),Write-In (WRITE-IN),,Wise Township Precinct 1,0
County Road Commissioner (DEM),Melinda Hovey Salchert,,Broomfield Township Precinct 1,85
County Road Commissioner (DEM),Write-In (WRITE-IN),,Broomfield Township Precinct 1,1
County Road Commissioner (DEM),Melinda Hovey Salchert,,Chippewa Township Precinct 1,124
County Road Commissioner (DEM),Write-In (WRITE-IN),,Chippewa Township Precinct 1,2
County Road Commissioner (DEM),Melinda Hovey Salchert,,Chippewa Township Precinct 2,80
County Road Commissioner (DEM),Write-In (WRITE-IN),,Chippewa Township Precinct 2,0
County Road Commissioner (DEM),Melinda Hovey Salchert,,City of Clare Precinct 1,0
County Road Commissioner (DEM),Write-In (WRITE-IN),,City of Clare Precinct 1,0
County Road Commissioner (DEM),Melinda Hovey Salchert,,City of Mt. Pleasant Precinct 1,172
County Road Commissioner (DEM),Write-In (WRITE-IN),,City of Mt. Pleasant Precinct 1,0
County Road Commissioner (DEM),Melinda Hovey Salchert,,City of Mt. Pleasant Precinct 2,267
County Road Commissioner (DEM),Write-In (WRITE-IN),,City of Mt. Pleasant Precinct 2,0
County Road Commissioner (DEM),Melinda Hovey Salchert,,City of Mt. Pleasant Precinct 3,326
County Road Commissioner (DEM),Write-In (WRITE-IN),,City of Mt. Pleasant Precinct 3,2
County Road Commissioner (DEM),Melinda Hovey Salchert,,City of Mt. Pleasant Precinct 4,184
County Road Commissioner (DEM),Write-In (WRITE-IN),,City of Mt. Pleasant Precinct 4,1
County Road Commissioner (DEM),Melinda Hovey Salchert,,City of Mt. Pleasant Precinct 5,240
County Road Commissioner (DEM),Write-In (WRITE-IN),,City of Mt. Pleasant Precinct 5,1
County Road Commissioner (DEM),Melinda Hovey Salchert,,Coe Township Precinct 1,94
County Road Commissioner (DEM),Write-In (WRITE-IN),,Coe Township Precinct 1,2
County Road Commissioner (DEM),Melinda Hovey Salchert,,Coe Township Precinct 2,78
County Road Commissioner (DEM),Write-In (WRITE-IN),,Coe Township Precinct 2,0
County Road Commissioner (DEM),Melinda Hovey Salchert,,Coldwater Township Precinct 1,29
County Road Commissioner (DEM),Write-In (WRITE-IN),,Coldwater Township Precinct 1,0
County Road Commissioner (DEM),Melinda Hovey Salchert,,Deerfield Township Precinct 1,172
County Road Commissioner (DEM),Write-In (WRITE-IN),,Deerfield Township Precinct 1,0
County Road Commissioner (DEM),Melinda Hovey Salchert,,Deerfield Township Precinct 2,55
County Road Commissioner (DEM),Write-In (WRITE-IN),,Deerfield Township Precinct 2,1
County Road Commissioner (DEM),Melinda Hovey Salchert,,Denver Township Precinct 1,40
County Road Commissioner (DEM),Write-In (WRITE-IN),,Denver Township Precinct 1,0
County Road Commissioner (DEM),Melinda Hovey Salchert,,Fremont Township Precinct 1,59
County Road Commissioner (DEM),Write-In (WRITE-IN),,Fremont Township Precinct 1,0
County Road Commissioner (DEM),Melinda Hovey Salchert,,Gilmore Township Precinct 1,62
County Road Commissioner (DEM),Write-In (WRITE-IN),,Gilmore Township Precinct 1,0
County Road Commissioner (DEM),Melinda Hovey Salchert,,Isabella Township Precinct 1,121
County Road Commissioner (DEM),Write-In (WRITE-IN),,Isabella Township Precinct 1,0
County Road Commissioner (DEM),Melinda Hovey Salchert,,Lincoln Township Precinct 1,91
County Road Commissioner (DEM),Write-In (WRITE-IN),,Lincoln Township Precinct 1,0
County Road Commissioner (DEM),Melinda Hovey Salchert,,Nottawa Township Precinct 1,93
County Road Commissioner (DEM),Write-In (WRITE-IN),,Nottawa Township Precinct 1,1
County Road Commissioner (DEM),Melinda Hovey Salchert,,Rolland Township Precinct 1,59
County Road Commissioner (DEM),Write-In (WRITE-IN),,Rolland Township Precinct 1,2
County Road Commissioner (DEM),Melinda Hovey Salchert,,Sherman Township Precinct 1,81
County Road Commissioner (DEM),Write-In (WRITE-IN),,Sherman Township Precinct 1,1
County Road Commissioner (DEM),Melinda Hovey Salchert,,Sherman Township Precinct 2,76
County Road Commissioner (DEM),Write-In (WRITE-IN),,Sherman Township Precinct 2,0
County Road Commissioner (DEM),Melinda Hovey Salchert,,Union Charter Township Precinct 1,190
County Road Commissioner (DEM),Write-In (WRITE-IN),,Union Charter Township Precinct 1,0
County Road Commissioner (DEM),Melinda Hovey Salchert,,Union Charter Township Precinct 2,193
County Road Commissioner (DEM),Write-In (WRITE-IN),,Union Charter Township Precinct 2,0
County Road Commissioner (DEM),Melinda Hovey Salchert,,Union Charter Township Precinct 3,146
County Road Commissioner (DEM),Write-In (WRITE-IN),,Union Charter Township Precinct 3,0
County Road Commissioner (DEM),Melinda Hovey Salchert,,Vernon Township Precinct 1,54
County Road Commissioner (DEM),Write-In (WRITE-IN),,Vernon Township Precinct 1,0
County Road Commissioner (DEM),Melinda Hovey Salchert,,Wise Township Precinct 1,60
County Road Commissioner (DEM),Write-In (WRITE-IN),,Wise Township Precinct 1,0
County Commissioner 5th District (DEM),James S. Moreno,,City of Mt. Pleasant Precinct 1,124
County Commissioner 5th District (DEM),David Verwey,,City of Mt. Pleasant Precinct 1,48
County Commissioner 5th District (DEM),Write-In (WRITE-IN),,City of Mt. Pleasant Precinct 1,0
County Commissioner 5th District (DEM),James S. Moreno,,City of Mt. Pleasant Precinct 2,192
County Commissioner 5th District (DEM),David Verwey,,City of Mt. Pleasant Precinct 2,87
County Commissioner 5th District (DEM),Write-In (WRITE-IN),,City of Mt. Pleasant Precinct 2,0
County Commissioner 5th District (DEM),James S. Moreno,,City of Mt. Pleasant Precinct 3,237
County Commissioner 5th District (DEM),David Verwey,,City of Mt. Pleasant Precinct 3,91
County Commissioner 5th District (DEM),Write-In (WRITE-IN),,City of Mt. Pleasant Precinct 3,0
Precinct Delegate for City of Mt. Pleasant  Precinct 1 (DEM),Write-In (WRITE-IN),,City of Mt. Pleasant Precinct 1,9
Governor for State (REP),Tudor M. Dixon,,Broomfield Township Precinct 1,114
Governor for State (REP),Ryan D. Kelley,,Broomfield Township Precinct 1,55
Governor for State (REP),Ralph Rebandt,,Broomfield Township Precinct 1,5
Governor for State (REP),Kevin Rinke,,Broomfield Township Precinct 1,74
Governor for State (REP),Garrett Soldano,,Broomfield Township Precinct 1,68
Governor for State (REP),Write-In (WRITE-IN),,Broomfield Township Precinct 1,6
Governor for State (REP),Tudor M. Dixon,,Chippewa Township Precinct 1,62
Governor for State (REP),Ryan D. Kelley,,Chippewa Township Precinct 1,73
Governor for State (REP),Ralph Rebandt,,Chippewa Township Precinct 1,10
Governor for State (REP),Kevin Rinke,,Chippewa Township Precinct 1,52
Governor for State (REP),Garrett Soldano,,Chippewa Township Precinct 1,35
Governor for State (REP),Write-In (WRITE-IN),,Chippewa Township Precinct 1,3
Governor for State (REP),Tudor M. Dixon,,Chippewa Township Precinct 2,58
Governor for State (REP),Ryan D. Kelley,,Chippewa Township Precinct 2,30
Governor for State (REP),Ralph Rebandt,,Chippewa Township Precinct 2,1
Governor for State (REP),Kevin Rinke,,Chippewa Township Precinct 2,39
Governor for State (REP),Garrett Soldano,,Chippewa Township Precinct 2,12
Governor for State (REP),Write-In (WRITE-IN),,Chippewa Township Precinct 2,3
Governor for State (REP),Tudor M. Dixon,,City of Clare Precinct 1,0
Governor for State (REP),Ryan D. Kelley,,City of Clare Precinct 1,0
Governor for State (REP),Ralph Rebandt,,City of Clare Precinct 1,0
Governor for State (REP),Kevin Rinke,,City of Clare Precinct 1,0
Governor for State (REP),Garrett Soldano,,City of Clare Precinct 1,0
Governor for State (REP),Write-In (WRITE-IN),,City of Clare Precinct 1,0
Governor for State (REP),Tudor M. Dixon,,City of Mt. Pleasant Precinct 1,79
Governor for State (REP),Ryan D. Kelley,,City of Mt. Pleasant Precinct 1,34
Governor for State (REP),Ralph Rebandt,,City of Mt. Pleasant Precinct 1,7
Governor for State (REP),Kevin Rinke,,City of Mt. Pleasant Precinct 1,32
Governor for State (REP),Garrett Soldano,,City of Mt. Pleasant Precinct 1,22
Governor for State (REP),Write-In (WRITE-IN),,City of Mt. Pleasant Precinct 1,4
Governor for State (REP),Tudor M. Dixon,,City of Mt. Pleasant Precinct 2,51
Governor for State (REP),Ryan D. Kelley,,City of Mt. Pleasant Precinct 2,33
Governor for State (REP),Ralph Rebandt,,City of Mt. Pleasant Precinct 2,11
Governor for State (REP),Kevin Rinke,,City of Mt. Pleasant Precinct 2,39
Governor for State (REP),Garrett Soldano,,City of Mt. Pleasant Precinct 2,16
Governor for State (REP),Write-In (WRITE-IN),,City of Mt. Pleasant Precinct 2,4
