Contest,Candidate,Party,Precinct,Votes
Governor (DEM),Write-In (WRITE-IN),,Plainfield Township Precinct 2,0
Governor (DEM),Gretchen Whitmer,Dem,Reno Township Precinct 1,42
Governor (DEM),Write-In (WRITE-IN),,Reno Township Precinct 1,0
Governor (DEM),Gretchen Whitmer,Dem,Sherman Township Precinct 1,23
Governor (DEM),Write-In (WRITE-IN),,Sherman Township Precinct 1,0
Governor (DEM),Gretchen Whitmer,Dem,Tawas Township Precinct 1,108
Governor (DEM),Write-In (WRITE-IN),,Tawas Township Precinct 1,0
Governor (DEM),Gretchen Whitmer,Dem,Wilber Township Precinct 1,89
Governor (DEM),Write-In (WRITE-IN),,Wilber Township Precinct 1,1
Rep in Congress 1st District(DEM),Bob Lorinser,Dem,Wilber Township Precinct 1,89
Rep in Congress 1st District(DEM),Write-In (WRITE-IN),,Wilber Township Precinct 1,0
Rep in Congress 1st District(DEM),Bob Lorinser,Dem,Tawas Township Precinct 1,103
Rep in Congress 1st District(DEM),Write-In (WRITE-IN),,Tawas Township Precinct 1,0
Rep in Congress 1st District(DEM),Bob Lorinser,Dem,Sherman Township Precinct 1,22
Rep in Congress 1st District(DEM),Write-In (WRITE-IN),,Sherman Township Precinct 1,0
Rep in Congress 1st District(DEM),Bob Lorinser,Dem,Reno Township Precinct 1,36
Rep in Congress 1st District(DEM),Write-In (WRITE-IN),,Reno Township Precinct 1,0
Rep in Congress 1st District(DEM),Bob Lorinser,Dem,Plainfield Township Precinct 2,208
Rep in Congress 1st District(DEM),Write-In (WRITE-IN),,Plainfield Township Precinct 2,0
Rep in Congress 1st District(DEM),Bob Lorinser,Dem,Plainfield Township Precinct 1,106
Rep in Congress 1st District(DEM),Write-In (WRITE-IN),,Plainfield Township Precinct 1,0
Rep in Congress 1st District(DEM),Bob Lorinser,Dem,Oscoda Township Precinct 4,160
Rep in Congress 1st District(DEM),Write-In (WRITE-IN),,Oscoda Township Precinct 4,0
Rep in Congress 1st District(DEM),Bob Lorinser,Dem,Oscoda Township Precinct 3,136
Rep in Congress 1st District(DEM),Write-In (WRITE-IN),,Oscoda Township Precinct 3,0
Rep in Congress 1st District(DEM),Bob Lorinser,Dem,Oscoda Township Precinct 2,67
Rep in Congress 1st District(DEM),Write-In (WRITE-IN),,Oscoda Township Precinct 2,0
Rep in Congress 1st District(DEM),Bob Lorinser,Dem,Oscoda Township Precinct 1,219
Rep in Congress 1st District(DEM),Write-In (WRITE-IN),,Oscoda Township Precinct 1,0
Rep in Congress 1st District(DEM),Bob Lorinser,Dem,Grant Township Precinct 1,93
Rep in Congress 1st District(DEM),Write-In (WRITE-IN),,Grant Township Precinct 1,0
Rep in Congress 1st District(DEM),Bob Lorinser,Dem,City of Whittemore Precinct 1,14
Rep in Congress 1st District(DEM),Write-In (WRITE-IN),,City of Whittemore Precinct 1,0
Rep in Congress 1st District(DEM),Bob Lorinser,Dem,City of Tawas City Precinct 1,116
Rep in Congress 1st District(DEM),Write-In (WRITE-IN),,City of Tawas City Precinct 1,0
Rep in Congress 1st District(DEM),Bob Lorinser,Dem,City of East Tawas Precinct 1,192
Rep in Congress 1st District(DEM),Write-In (WRITE-IN),,City of East Tawas Precinct 1,0
Rep in Congress 1st District(DEM),Bob Lorinser,Dem,Burleigh Township Precinct 1,38
Rep in Congress 1st District(DEM),Write-In (WRITE-IN),,Burleigh Township Precinct 1,0
Rep in Congress 1st District(DEM),Bob Lorinser,Dem,Baldwin Township Precinct 1,144
Rep in Congress 1st District(DEM),Write-In (WRITE-IN),,Baldwin Township Precinct 1,0
Rep in Congress 1st District(DEM),Bob Lorinser,Dem,AuSable Township Precinct 1,192
Rep in Congress 1st District(DEM),Write-In (WRITE-IN),,AuSable Township Precinct 1,1
Rep in Congress 1st District(DEM),Bob Lorinser,Dem,Alabaster Township Precinct 1,40
Rep in Congress 1st District(DEM),Write-In (WRITE-IN),,Alabaster Township Precinct 1,0
State Senator 36th District (DEM),Joel A. Sheltrown,Dem,Alabaster Township Precinct 1,42
State Senator 36th District (DEM),Write-In (WRITE-IN),,Alabaster Township Precinct 1,0
State Senator 36th District (DEM),Joel A. Sheltrown,Dem,AuSable Township Precinct 1,199
State Senator 36th District (DEM),Write-In (WRITE-IN),,AuSable Township Precinct 1,0
State Senator 36th District (DEM),Joel A. Sheltrown,Dem,Baldwin Township Precinct 1,149
State Senator 36th District (DEM),Write-In (WRITE-IN),,Baldwin Township Precinct 1,0
State Senator 36th District (DEM),Joel A. Sheltrown,Dem,Burleigh Township Precinct 1,39
State Senator 36th District (DEM),Write-In (WRITE-IN),,Burleigh Township Precinct 1,0
State Senator 36th District (DEM),Joel A. Sheltrown,Dem,City of East Tawas Precinct 1,197
State Senator 36th District (DEM),Write-In (WRITE-IN),,City of East Tawas Precinct 1,0
State Senator 36th District (DEM),Joel A. Sheltrown,Dem,City of Tawas City Precinct 1,118
State Senator 36th District (DEM),Write-In (WRITE-IN),,City of Tawas City Precinct 1,0
State Senator 36th District (DEM),Joel A. Sheltrown,Dem,City of Whittemore Precinct 1,14
State Senator 36th District (DEM),Write-In (WRITE-IN),,City of Whittemore Precinct 1,0
State Senator 36th District (DEM),Joel A. Sheltrown,Dem,Grant Township Precinct 1,92
State Senator 36th District (DEM),Write-In (WRITE-IN),,Grant Township Precinct 1,0
State Senator 36th District (DEM),Joel A. Sheltrown,Dem,Oscoda Township Precinct 1,220
State Senator 36th District (DEM),Write-In (WRITE-IN),,Oscoda Township Precinct 1,1
State Senator 36th District (DEM),Joel A. Sheltrown,Dem,Oscoda Township Precinct 2,67
State Senator 36th District (DEM),Write-In (WRITE-IN),,Oscoda Township Precinct 2,0
State Senator 36th District (DEM),Joel A. Sheltrown,Dem,Oscoda Township Precinct 3,136
State Senator 36th District (DEM),Write-In (WRITE-IN),,Oscoda Township Precinct 3,0
State Senator 36th District (DEM),Joel A. Sheltrown,Dem,Oscoda Township Precinct 4,163
State Senator 36th District (DEM),Write-In (WRITE-IN),,Oscoda Township Precinct 4,0
State Senator 36th District (DEM),Joel A. Sheltrown,Dem,Plainfield Township Precinct 1,108
State Senator 36th District (DEM),Write-In (WRITE-IN),,Plainfield Township Precinct 1,0
State Senator 36th District (DEM),Joel A. Sheltrown,Dem,Plainfield Township Precinct 2,215
State Senator 36th District (DEM),Write-In (WRITE-IN),,Plainfield Township Precinct 2,0
State Senator 36th District (DEM),Joel A. Sheltrown,Dem,Reno Township Precinct 1,40
State Senator 36th District (DEM),Write-In (WRITE-IN),,Reno Township Precinct 1,0
State Senator 36th District (DEM),Joel A. Sheltrown,Dem,Sherman Township Precinct 1,23
State Senator 36th District (DEM),Write-In (WRITE-IN),,Sherman Township Precinct 1,0
State Senator 36th District (DEM),Joel A. Sheltrown,Dem,Tawas Township Precinct 1,109
State Senator 36th District (DEM),Write-In (WRITE-IN),,Tawas Township Precinct 1,0
State Senator 36th District (DEM),Joel A. Sheltrown,Dem,Wilber Township Precinct 1,90
State Senator 36th District (DEM),Write-In (WRITE-IN),,Wilber Township Precinct 1,0
Rep in State Legislature 99th District (DEM),Kenneth A. Kish,Dem,Wilber Township Precinct 1,88
Rep in State Legislature 99th District (DEM),Write-In (WRITE-IN),,Wilber Township Precinct 1,0
Rep in State Legislature 99th District (DEM),Kenneth A. Kish,Dem,Tawas Township Precinct 1,102
Rep in State Legislature 99th District (DEM),Write-In (WRITE-IN),,Tawas Township Precinct 1,0
Rep in State Legislature 99th District (DEM),Kenneth A. Kish,Dem,Sherman Township Precinct 1,19
Rep in State Legislature 99th District (DEM),Write-In (WRITE-IN),,Sherman Township Precinct 1,0
Rep in State Legislature 99th District (DEM),Kenneth A. Kish,Dem,Reno Township Precinct 1,35
Rep in State Legislature 99th District (DEM),Write-In (WRITE-IN),,Reno Township Precinct 1,0
Rep in State Legislature 99th District (DEM),Kenneth A. Kish,Dem,Plainfield Township Precinct 2,208
Rep in State Legislature 99th District (DEM),Write-In (WRITE-IN),,Plainfield Township Precinct 2,1
Rep in State Legislature 99th District (DEM),Kenneth A. Kish,Dem,Plainfield Township Precinct 1,105
Rep in State Legislature 99th District (DEM),Write-In (WRITE-IN),,Plainfield Township Precinct 1,0
Rep in State Legislature 99th District (DEM),Kenneth A. Kish,Dem,Oscoda Township Precinct 4,160
Rep in State Legislature 99th District (DEM),Write-In (WRITE-IN),,Oscoda Township Precinct 4,0
Rep in State Legislature 99th District (DEM),Kenneth A. Kish,Dem,Oscoda Township Precinct 3,134
Rep in State Legislature 99th District (DEM),Write-In (WRITE-IN),,Oscoda Township Precinct 3,1
Rep in State Legislature 99th District (DEM),Kenneth A. Kish,Dem,Oscoda Township Precinct 2,67
Rep in State Legislature 99th District (DEM),Write-In (WRITE-IN),,Oscoda Township Precinct 2,0
Rep in State Legislature 99th District (DEM),Kenneth A. Kish,Dem,Oscoda Township Precinct 1,217
Rep in State Legislature 99th District (DEM),Write-In (WRITE-IN),,Oscoda Township Precinct 1,0
Rep in State Legislature 99th District (DEM),Kenneth A. Kish,Dem,Grant Township Precinct 1,92
Rep in State Legislature 99th District (DEM),Write-In (WRITE-IN),,Grant Township Precinct 1,0
Rep in State Legislature 99th District (DEM),Kenneth A. Kish,Dem,City of Whittemore Precinct 1,14
Rep in State Legislature 99th District (DEM),Write-In (WRITE-IN),,City of Whittemore Precinct 1,0
Rep in State Legislature 99th District (DEM),Kenneth A. Kish,Dem,City of Tawas City Precinct 1,113
Rep in State Legislature 99th District (DEM),Write-In (WRITE-IN),,City of Tawas City Precinct 1,0
Rep in State Legislature 99th District (DEM),Kenneth A. Kish,Dem,City of East Tawas Precinct 1,191
Rep in State Legislature 99th District (DEM),Write-In (WRITE-IN),,City of East Tawas Precinct 1,0
Rep in State Legislature 99th District (DEM),Kenneth A. Kish,Dem,Burleigh Township Precinct 1,37
Rep in State Legislature 99th District (DEM),Write-In (WRITE-IN),,Burleigh Township Precinct 1,0
Rep in State Legislature 99th District (DEM),Kenneth A. Kish,Dem,Baldwin Township Precinct 1,143
Rep in State Legislature 99th District (DEM),Write-In (WRITE-IN),,Baldwin Township Precinct 1,0
Rep in State Legislature 99th District (DEM),Kenneth A. Kish,Dem,AuSable Township Precinct 1,190
Rep in State Legislature 99th District (DEM),Write-In (WRITE-IN),,AuSable Township Precinct 1,1
Rep in State Legislature 99th District (DEM),Kenneth A. Kish,Dem,Alabaster Township Precinct 1,41
Rep in State Legislature 99th District (DEM),Write-In (WRITE-IN),,Alabaster Township Precinct 1,0
County Commissioner 5th District (DEM),Write-In (WRITE-IN),,Alabaster Township Precinct 1,7
County Commissioner 5th District (DEM),Write-In (WRITE-IN),,Baldwin Township Precinct 1,4
County Commissioner 5th District (DEM),Write-In (WRITE-IN),,Burleigh Township Precinct 1,5
County Commissioner 5th District (DEM),Write-In (WRITE-IN),,City of Tawas City Precinct 1,4
County Commissioner 5th District (DEM),Write-In (WRITE-IN),,City of Whittemore Precinct 1,4
County Commissioner 5th District (DEM),Write-In (WRITE-IN),,Grant Township Precinct 1,2
County Commissioner 5th District (DEM),Write-In (WRITE-IN),,Reno Township Precinct 1,5
County Commissioner 5th District (DEM),Write-In (WRITE-IN),,Sherman Township Precinct 1,3
County Commissioner 5th District (DEM),Write-In (WRITE-IN),,Tawas Township Precinct 1,24
Township Trustee for Alabaster Township Partial Term (DEM),Harold W. Coles  II,Dem,Alabaster Township Precinct 1,37
Township Trustee for Alabaster Township Partial Term (DEM),Write-In (WRITE-IN),,Alabaster Township Precinct 1,0
Precinct Delegate for Alabaster Township  Precinct 1 (DEM),Write-In (WRITE-IN),,Alabaster Township Precinct 1,10
Governor (REP),Tudor M. Dixon,Rep,Wilber Township Precinct 1,50
Governor (REP),Ryan D. Kelley,Rep,Wilber Township Precinct 1,35
Governor (REP),Ralph Rebandt,Rep,Wilber Township Precinct 1,11
Governor (REP),Kevin Rinke,Rep,Wilber Township Precinct 1,40
Governor (REP),Garrett Soldano,Rep,Wilber Township Precinct 1,38
Governor (REP),Write-In (WRITE-IN),,Wilber Township Precinct 1,2
Governor (REP),Tudor M. Dixon,Rep,Tawas Township Precinct 1,108
Governor (REP),Ryan D. Kelley,Rep,Tawas Township Precinct 1,59
Governor (REP),Ralph Rebandt,Rep,Tawas Township Precinct 1,12
Governor (REP),Kevin Rinke,Rep,Tawas Township Precinct 1,99
Governor (REP),Garrett Soldano,Rep,Tawas Township Precinct 1,70
Governor (REP),Write-In (WRITE-IN),,Tawas Township Precinct 1,4
Governor (REP),Tudor M. Dixon,Rep,Sherman Township Precinct 1,26
Governor (REP),Ryan D. Kelley,Rep,Sherman Township Precinct 1,23
Governor (REP),Ralph Rebandt,Rep,Sherman Township Precinct 1,3
Governor (REP),Kevin Rinke,Rep,Sherman Township Precinct 1,15
Governor (REP),Garrett Soldano,Rep,Sherman Township Precinct 1,12
Governor (REP),Write-In (WRITE-IN),,Sherman Township Precinct 1,1
Governor (REP),Tudor M. Dixon,Rep,Reno Township Precinct 1,16
Governor (REP),Ryan D. Kelley,Rep,Reno Township Precinct 1,22
Governor (REP),Ralph Rebandt,Rep,Reno Township Precinct 1,2
Governor (REP),Kevin Rinke,Rep,Reno Township Precinct 1,30
Governor (REP),Garrett Soldano,Rep,Reno Township Precinct 1,14
Governor (REP),Write-In (WRITE-IN),,Reno Township Precinct 1,0
Governor (REP),Tudor M. Dixon,Rep,Plainfield Township Precinct 2,157
Governor (REP),Ryan D. Kelley,Rep,Plainfield Township Precinct 2,83
Governor (REP),Ralph Rebandt,Rep,Plainfield Township Precinct 2,14
Governor (REP),Kevin Rinke,Rep,Plainfield Township Precinct 2,118
Governor (REP),Garrett Soldano,Rep,Plainfield Township Precinct 2,58
Governor (REP),Write-In (WRITE-IN),,Plainfield Township Precinct 2,7
Governor (REP),Tudor M. Dixon,Rep,Plainfield Township Precinct 1,55
Governor (REP),Ryan D. Kelley,Rep,Plainfield Township Precinct 1,48
Governor (REP),Ralph Rebandt,Rep,Plainfield Township Precinct 1,10
Governor (REP),Kevin Rinke,Rep,Plainfield Township Precinct 1,70
Governor (REP),Garrett Soldano,Rep,Plainfield Township Precinct 1,37
Governor (REP),Write-In (WRITE-IN),,Plainfield Township Precinct 1,7
Governor (REP),Tudor M. Dixon,Rep,Oscoda Township Precinct 4,77
Governor (REP),Ryan D. Kelley,Rep,Oscoda Township Precinct 4,40
Governor (REP),Ralph Rebandt,Rep,Oscoda Township Precinct 4,10
Governor (REP),Kevin Rinke,Rep,Oscoda Township Precinct 4,82
Governor (REP),Garrett Soldano,Rep,Oscoda Township Precinct 4,42
Governor (REP),Write-In (WRITE-IN),,Oscoda Township Precinct 4,3
Governor (REP),Tudor M. Dixon,Rep,Oscoda Township Precinct 3,85
Governor (REP),Ryan D. Kelley,Rep,Oscoda Township Precinct 3,48
Governor (REP),Ralph Rebandt,Rep,Oscoda Township Precinct 3,15
Governor (REP),Kevin Rinke,Rep,Oscoda Township Precinct 3,82
Governor (REP),Garrett Soldano,Rep,Oscoda Township Precinct 3,36
Governor (REP),Write-In (WRITE-IN),,Oscoda Township Precinct 3,4
Governor (REP),Tudor M. Dixon,Rep,Oscoda Township Precinct 2,35
Governor (REP),Ryan D. Kelley,Rep,Oscoda Township Precinct 2,31
Governor (REP),Ralph Rebandt,Rep,Oscoda Township Precinct 2,6
Governor (REP),Kevin Rinke,Rep,Oscoda Township Precinct 2,17
Governor (REP),Garrett Soldano,Rep,Oscoda Township Precinct 2,13
Governor (REP),Write-In (WRITE-IN),,Oscoda Township Precinct 2,2
Governor (REP),Tudor M. Dixon,Rep,Oscoda Township Precinct 1,128
Governor (REP),Ryan D. Kelley,Rep,Oscoda Township Precinct 1,76
Governor (REP),Ralph Rebandt,Rep,Oscoda Township Precinct 1,14
Governor (REP),Kevin Rinke,Rep,Oscoda Township Precinct 1,96
Governor (REP),Garrett Soldano,Rep,Oscoda Township Precinct 1,39
Governor (REP),Write-In (WRITE-IN),,Oscoda Township Precinct 1,4
Governor (REP),Tudor M. Dixon,Rep,Grant Township Precinct 1,102
Governor (REP),Ryan D. Kelley,Rep,Grant Township Precinct 1,69
Governor (REP),Ralph Rebandt,Rep,Grant Township Precinct 1,9
Governor (REP),Kevin Rinke,Rep,Grant Township Precinct 1,86
Governor (REP),Garrett Soldano,Rep,Grant Township Precinct 1,81
Governor (REP),Write-In (WRITE-IN),,Grant Township Precinct 1,5
Governor (REP),Tudor M. Dixon,Rep,City of Whittemore Precinct 1,12
Governor (REP),Ryan D. Kelley,Rep,City of Whittemore Precinct 1,7
Governor (REP),Ralph Rebandt,Rep,City of Whittemore Precinct 1,2
Governor (REP),Kevin Rinke,Rep,City of Whittemore Precinct 1,9
Governor (REP),Garrett Soldano,Rep,City of Whittemore Precinct 1,13
Governor (REP),Write-In (WRITE-IN),,City of Whittemore Precinct 1,1
Governor (REP),Tudor M. Dixon,Rep,City of Tawas City Precinct 1,90
Governor (REP),Ryan D. Kelley,Rep,City of Tawas City Precinct 1,64
Governor (REP),Ralph Rebandt,Rep,City of Tawas City Precinct 1,9
Governor (REP),Kevin Rinke,Rep,City of Tawas City Precinct 1,51
Governor (REP),Garrett Soldano,Rep,City of Tawas City Precinct 1,34
Governor (REP),Write-In (WRITE-IN),,City of Tawas City Precinct 1,2
Governor (REP),Tudor M. Dixon,Rep,City of East Tawas Precinct 1,199
Governor (REP),Ryan D. Kelley,Rep,City of East Tawas Precinct 1,110
Governor (REP),Ralph Rebandt,Rep,City of East Tawas Precinct 1,21
Governor (REP),Kevin Rinke,Rep,City of East Tawas Precinct 1,109
Governor (REP),Garrett Soldano,Rep,City of East Tawas Precinct 1,79
Governor (REP),Write-In (WRITE-IN),,City of East Tawas Precinct 1,4
Governor (REP),Tudor M. Dixon,Rep,Burleigh Township Precinct 1,24
Governor (REP),Ryan D. Kelley,Rep,Burleigh Township Precinct 1,22
Governor (REP),Ralph Rebandt,Rep,Burleigh Township Precinct 1,0
Governor (REP),Kevin Rinke,Rep,Burleigh Township Precinct 1,26
Governor (REP),Garrett Soldano,Rep,Burleigh Township Precinct 1,24
Governor (REP),Write-In (WRITE-IN),,Burleigh Township Precinct 1,0
Governor (REP),Tudor M. Dixon,Rep,Baldwin Township Precinct 1,96
Governor (REP),Ryan D. Kelley,Rep,Baldwin Township Precinct 1,61
Governor (REP),Ralph Rebandt,Rep,Baldwin Township Precinct 1,13
Governor (REP),Kevin Rinke,Rep,Baldwin Township Precinct 1,69
Governor (REP),Garrett Soldano,Rep,Baldwin Township Precinct 1,60
Governor (REP),Write-In (WRITE-IN),,Baldwin Township Precinct 1,0
Governor (REP),Tudor M. Dixon,Rep,AuSable Township Precinct 1,86
Governor (REP),Ryan D. Kelley,Rep,AuSable Township Precinct 1,71
Governor (REP),Ralph Rebandt,Rep,AuSable Township Precinct 1,8
Governor (REP),Kevin Rinke,Rep,AuSable Township Precinct 1,69
Governor (REP),Garrett Soldano,Rep,AuSable Township Precinct 1,36
Governor (REP),Write-In (WRITE-IN),,AuSable Township Precinct 1,0
Governor (REP),Tudor M. Dixon,Rep,Alabaster Township Precinct 1,49
Governor (REP),Ryan D. Kelley,Rep,Alabaster Township Precinct 1,18
Governor (REP),Ralph Rebandt,Rep,Alabaster Township Precinct 1,0
Governor (REP),Kevin Rinke,Rep,Alabaster Township Precinct 1,35
Governor (REP),Garrett Soldano,Rep,Alabaster Township Precinct 1,14
Governor (REP),Write-In (WRITE-IN),,Alabaster Township Precinct 1,4
Rep in Congress 1st District (REP),Jack Bergman,Rep,Wilber Township Precinct 1,147
Rep in Congress 1st District (REP),Write-In (WRITE-IN),,Wilber Township Precinct 1,0
Rep in Congress 1st District (REP),Jack Bergman,Rep,Tawas Township Precinct 1,286
Rep in Congress 1st District (REP),Write-In (WRITE-IN),,Tawas Township Precinct 1,0
Rep in Congress 1st District (REP),Jack Bergman,Rep,Sherman Township Precinct 1,66
Rep in Congress 1st District (REP),Write-In (WRITE-IN),,Sherman Township Precinct 1,0
Rep in Congress 1st District (REP),Jack Bergman,Rep,Reno Township Precinct 1,70
Rep in Congress 1st District (REP),Write-In (WRITE-IN),,Reno Township Precinct 1,2
Rep in Congress 1st District (REP),Jack Bergman,Rep,Plainfield Township Precinct 2,385
Rep in Congress 1st District (REP),Write-In (WRITE-IN),,Plainfield Township Precinct 2,1
Rep in Congress 1st District (REP),Jack Bergman,Rep,Plainfield Township Precinct 1,186
Rep in Congress 1st District (REP),Write-In (WRITE-IN),,Plainfield Township Precinct 1,0
Rep in Congress 1st District (REP),Jack Bergman,Rep,Oscoda Township Precinct 4,219
Rep in Congress 1st District (REP),Write-In (WRITE-IN),,Oscoda Township Precinct 4,0
Rep in Congress 1st District (REP),Jack Bergman,Rep,Oscoda Township Precinct 3,235
Rep in Congress 1st District (REP),Write-In (WRITE-IN),,Oscoda Township Precinct 3,0
Rep in Congress 1st District (REP),Jack Bergman,Rep,Oscoda Township Precinct 2,92
Rep in Congress 1st District (REP),Write-In (WRITE-IN),,Oscoda Township Precinct 2,0
Rep in Congress 1st District (REP),Jack Bergman,Rep,Oscoda Township Precinct 1,319
Rep in Congress 1st District (REP),Write-In (WRITE-IN),,Oscoda Township Precinct 1,3
Rep in Congress 1st District (REP),Jack Bergman,Rep,Grant Township Precinct 1,290
Rep in Congress 1st District (REP),Write-In (WRITE-IN),,Grant Township Precinct 1,1
Rep in Congress 1st District (REP),Jack Bergman,Rep,City of Whittemore Precinct 1,34
Rep in Congress 1st District (REP),Write-In (WRITE-IN),,City of Whittemore Precinct 1,0
Rep in Congress 1st District (REP),Jack Bergman,Rep,City of Tawas City Precinct 1,207
Rep in Congress 1st District (REP),Write-In (WRITE-IN),,City of Tawas City Precinct 1,2
Rep in Congress 1st District (REP),Jack Bergman,Rep,City of East Tawas Precinct 1,441
Rep in Congress 1st District (REP),Write-In (WRITE-IN),,City of East Tawas Precinct 1,2
Rep in Congress 1st District (REP),Jack Bergman,Rep,Burleigh Township Precinct 1,77
Rep in Congress 1st District (REP),Write-In (WRITE-IN),,Burleigh Township Precinct 1,1
Rep in Congress 1st District (REP),Jack Bergman,Rep,Baldwin Township Precinct 1,257
Rep in Congress 1st District (REP),Write-In (WRITE-IN),,Baldwin Township Precinct 1,0
Rep in Congress 1st District (REP),Jack Bergman,Rep,AuSable Township Precinct 1,239
Rep in Congress 1st District (REP),Write-In (WRITE-IN),,AuSable Township Precinct 1,1
Rep in Congress 1st District (REP),Jack Bergman,Rep,Alabaster Township Precinct 1,105
Rep in Congress 1st District (REP),Write-In (WRITE-IN),,Alabaster Township Precinct 1,0
State Senator 36th District (REP),Michele Hoitenga,Rep,Wilber Township Precinct 1,145
State Senator 36th District (REP),Write-In (WRITE-IN),,Wilber Township Precinct 1,0
State Senator 36th District (REP),Michele Hoitenga,Rep,Tawas Township Precinct 1,285
State Senator 36th District (REP),Write-In (WRITE-IN),,Tawas Township Precinct 1,0
State Senator 36th District (REP),Michele Hoitenga,Rep,Sherman Township Precinct 1,63
State Senator 36th District (REP),Write-In (WRITE-IN),,Sherman Township Precinct 1,1
State Senator 36th District (REP),Michele Hoitenga,Rep,Reno Township Precinct 1,71
State Senator 36th District (REP),Write-In (WRITE-IN),,Reno Township Precinct 1,1
State Senator 36th District (REP),Michele Hoitenga,Rep,Plainfield Township Precinct 2,379
State Senator 36th District (REP),Write-In (WRITE-IN),,Plainfield Township Precinct 2,1
State Senator 36th District (REP),Michele Hoitenga,Rep,Plainfield Township Precinct 1,185
State Senator 36th District (REP),Write-In (WRITE-IN),,Plainfield Township Precinct 1,1
State Senator 36th District (REP),Michele Hoitenga,Rep,Oscoda Township Precinct 4,215
State Senator 36th District (REP),Write-In (WRITE-IN),,Oscoda Township Precinct 4,1
State Senator 36th District (REP),Michele Hoitenga,Rep,Oscoda Township Precinct 3,236
State Senator 36th District (REP),Write-In (WRITE-IN),,Oscoda Township Precinct 3,0
State Senator 36th District (REP),Michele Hoitenga,Rep,Oscoda Township Precinct 2,89
State Senator 36th District (REP),Write-In (WRITE-IN),,Oscoda Township Precinct 2,0
State Senator 36th District (REP),Michele Hoitenga,Rep,Oscoda Township Precinct 1,311
State Senator 36th District (REP),Write-In (WRITE-IN),,Oscoda Township Precinct 1,3
State Senator 36th District (REP),Michele Hoitenga,Rep,Grant Township Precinct 1,282
State Senator 36th District (REP),Write-In (WRITE-IN),,Grant Township Precinct 1,1
State Senator 36th District (REP),Michele Hoitenga,Rep,City of Whittemore Precinct 1,33
State Senator 36th District (REP),Write-In (WRITE-IN),,City of Whittemore Precinct 1,1
State Senator 36th District (REP),Michele Hoitenga,Rep,City of Tawas City Precinct 1,206
State Senator 36th District (REP),Write-In (WRITE-IN),,City of Tawas City Precinct 1,2
State Senator 36th District (REP),Michele Hoitenga,Rep,City of East Tawas Precinct 1,444
State Senator 36th District (REP),Write-In (WRITE-IN),,City of East Tawas Precinct 1,2
State Senator 36th District (REP),Michele Hoitenga,Rep,Burleigh Township Precinct 1,75
State Senator 36th District (REP),Write-In (WRITE-IN),,Burleigh Township Precinct 1,1
State Senator 36th District (REP),Michele Hoitenga,Rep,Baldwin Township Precinct 1,249
State Senator 36th District (REP),Write-In (WRITE-IN),,Baldwin Township Precinct 1,1
State Senator 36th District (REP),Michele Hoitenga,Rep,AuSable Township Precinct 1,235
State Senator 36th District (REP),Write-In (WRITE-IN),,AuSable Township Precinct 1,2
State Senator 36th District (REP),Michele Hoitenga,Rep,Alabaster Township Precinct 1,102
State Senator 36th District (REP),Write-In (WRITE-IN),,Alabaster Township Precinct 1,0
Rep in State Legislature 99th District (REP),Mike Hoadley,Rep,Alabaster Township Precinct 1,92
