Contest,Ballot Item ID,Precinct,Candidate/Choice,Party,Total Votes
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Coleman Precinct 1,No,,110
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 1,Yes,,339
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 1,No,,165
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 2,Yes,,253
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 2,No,,131
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 3,Yes,,226
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 3,No,,130
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 4A,Yes,,113
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 4A,No,,74
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 5,Yes,,167
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 5,No,,106
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 6,Yes,,221
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 6,No,,94
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 7,Yes,,602
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 7,No,,228
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 8,Yes,,292
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 8,No,,146
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 9,Yes,,380
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 9,No,,211
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 10,Yes,,468
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 10,No,,257
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 11,Yes,,529
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 11,No,,269
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 12,Yes,,159
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 12,No,,70
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 13,Yes,,500
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 13,No,,227
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 14,Yes,,431
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 14,No,,179
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 15,Yes,,471
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 15,No,,247
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 16,Yes,,312
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 16,No,,119
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 17,Yes,,372
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 17,No,,160
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 18,Yes,,425
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 18,No,,215
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 19,Yes,,428
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,City of Midland Precinct 19,No,,196
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Edenville Township Precinct 1,Yes,,268
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Edenville Township Precinct 1,No,,342
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Geneva Township Precinct 1,Yes,,109
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Geneva Township Precinct 1,No,,191
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Greendale Township Precinct 1,Yes,,85
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Greendale Township Precinct 1,No,,121
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Homer Township Precinct 1,Yes,,194
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Homer Township Precinct 1,No,,155
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Homer Township Precinct 2,Yes,,148
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Homer Township Precinct 2,No,,176
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Homer Township Precinct 3,Yes,,216
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Homer Township Precinct 3,No,,188
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Hope Township Precinct 1,Yes,,146
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Hope Township Precinct 1,No,,204
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Ingersoll Township Precinct 1,Yes,,146
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Ingersoll Township Precinct 1,No,,194
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Ingersoll Township Precinct 2,Yes,,65
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Ingersoll Township Precinct 2,No,,97
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Jerome Township Precinct 1,Yes,,257
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Jerome Township Precinct 1,No,,290
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Jerome Township Precinct 2,Yes,,243
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Jerome Township Precinct 2,No,,289
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Larkin Township Precinct 1,Yes,,335
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Larkin Township Precinct 1,No,,234
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Larkin Township Precinct 2,Yes,,258
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Larkin Township Precinct 2,No,,206
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Larkin Township Precinct 3,Yes,,288
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Larkin Township Precinct 3,No,,170
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Lee Township Precinct 1,Yes,,195
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Lee Township Precinct 1,No,,260
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Lee Township Precinct 2,Yes,,144
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Lee Township Precinct 2,No,,190
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Lincoln Township Precinct 1,Yes,,337
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Lincoln Township Precinct 1,No,,352
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Midland Township Precinct 1,Yes,,283
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Midland Township Precinct 1,No,,226
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Mills Township Precinct 1,Yes,,164
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Mills Township Precinct 1,No,,258
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Mt. Haley Township Precinct 1,Yes,,45
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Mt. Haley Township Precinct 1,No,,59
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Porter Township Precinct 1,Yes,,6
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Porter Township Precinct 1,No,,6
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Warren Township Precinct 1,Yes,,155
Midland ESA Bonding Proposal,01000000-263e-b21a-430f-08dd2376bd55,Warren Township Precinct 1,No,,316
Precinct Delegate for Homer Township  Precinct 2 (DEM),01000000-263e-b21a-e1ea-08dd2376bdf4,Homer Township Precinct 2,Write-In,Democrat,20
County Commissioner 1st District - Bay (REP),01000000-263e-b21a-500c-08dd2376bd86,City of Midland Precinct 4B,Kathy Niemiec,Republican,14
County Commissioner 1st District - Bay (REP),01000000-263e-b21a-500c-08dd2376bd86,City of Midland Precinct 4B,Write-In,Republican,0
County Commissioner 2nd District (DEM),01000000-263e-b21a-8dfe-08dd2376bdab,City of Midland Precinct 12,Write-In,Democrat,14
County Commissioner 2nd District (DEM),01000000-263e-b21a-8dfe-08dd2376bdab,Hope Township Precinct 1,Write-In,Democrat,18
County Commissioner 2nd District (DEM),01000000-263e-b21a-8dfe-08dd2376bdab,Larkin Township Precinct 1,Write-In,Democrat,18
County Commissioner 2nd District (DEM),01000000-263e-b21a-8dfe-08dd2376bdab,Larkin Township Precinct 2,Write-In,Democrat,15
County Commissioner 2nd District (DEM),01000000-263e-b21a-8dfe-08dd2376bdab,Larkin Township Precinct 3,Write-In,Democrat,15
County Commissioner 2nd District (DEM),01000000-263e-b21a-8dfe-08dd2376bdab,Lincoln Township Precinct 1,Write-In,Democrat,19
County Commissioner 2nd District (DEM),01000000-263e-b21a-8dfe-08dd2376bdab,Mills Township Precinct 1,Write-In,Democrat,13
Precinct Delegate for City of Midland  Precinct 18 (DEM),01000000-263e-b21a-e67d-08dd2376bdcc,City of Midland Precinct 18,Greg Mayville,Democrat,187
Precinct Delegate for City of Midland  Precinct 18 (DEM),01000000-263e-b21a-e67d-08dd2376bdcc,City of Midland Precinct 18,Write-In,Democrat,1
Precinct Delegate for City of Midland  Precinct 1 (REP),01000000-263e-b21a-cda9-08dd2376bd68,City of Midland Precinct 1,Luke Q. Malace,Republican,160
Precinct Delegate for City of Midland  Precinct 1 (REP),01000000-263e-b21a-cda9-08dd2376bd68,City of Midland Precinct 1,Jeremy Rodgers,Republican,172
Precinct Delegate for City of Midland  Precinct 1 (REP),01000000-263e-b21a-cda9-08dd2376bd68,City of Midland Precinct 1,Olivia Rodgers,Republican,153
Precinct Delegate for City of Midland  Precinct 1 (REP),01000000-263e-b21a-cda9-08dd2376bd68,City of Midland Precinct 1,Write-In,Republican,10
Precinct Delegate for City of Midland  Precinct 8 (REP),01000000-263e-b21a-f243-08dd2376bd9c,City of Midland Precinct 8,Matthew B. Ivan,Republican,217
Precinct Delegate for City of Midland  Precinct 8 (REP),01000000-263e-b21a-f243-08dd2376bd9c,City of Midland Precinct 8,Write-In,Republican,4
Precinct Delegate for Larkin Township  Precinct 2 (DEM),01000000-263e-b21a-b3c7-08dd2376be35,Larkin Township Precinct 2,Write-In,Democrat,17
County Clerk for Bay County (DEM),01000000-263e-b21a-6338-08dd2376bd7a,City of Midland Precinct 4B,Edward Czuprynski,Democrat,1
County Clerk for Bay County (DEM),01000000-263e-b21a-6338-08dd2376bd7a,City of Midland Precinct 4B,Kathleen Zanotti,Democrat,4
County Clerk for Bay County (DEM),01000000-263e-b21a-6338-08dd2376bd7a,City of Midland Precinct 4B,Write-In,Democrat,0
County Road Commissioner - Bay (REP),01000000-263e-b21a-345a-08dd2376bd84,City of Midland Precinct 4B,Michael Greania,Republican,6
County Road Commissioner - Bay (REP),01000000-263e-b21a-345a-08dd2376bd84,City of Midland Precinct 4B,Kevin Shark,Republican,8
County Road Commissioner - Bay (REP),01000000-263e-b21a-345a-08dd2376bd84,City of Midland Precinct 4B,Write-In,Republican,0
Precinct Delegate for City of Midland  Precinct 14 (DEM),01000000-263e-b21a-c473-08dd2376bdbb,City of Midland Precinct 14,Write-In,Democrat,13
Precinct Delegate for Lee Township  Precinct 2 (REP),01000000-263e-b21a-476e-08dd2376be4a,Lee Township Precinct 2,Laura Dawson,Republican,225
Precinct Delegate for Lee Township  Precinct 2 (REP),01000000-263e-b21a-476e-08dd2376be4a,Lee Township Precinct 2,Dawn M. Dubay,Republican,127
Precinct Delegate for Lee Township  Precinct 2 (REP),01000000-263e-b21a-476e-08dd2376be4a,Lee Township Precinct 2,Carolyn A. Langlois,Republican,130
Precinct Delegate for Lee Township  Precinct 2 (REP),01000000-263e-b21a-476e-08dd2376be4a,Lee Township Precinct 2,Write-In,Republican,3
Precinct Delegate for City of Midland  Precinct 10 (REP),01000000-263e-b21a-0251-08dd2376bda5,City of Midland Precinct 10,Ashton Bortz,Republican,151
Precinct Delegate for City of Midland  Precinct 10 (REP),01000000-263e-b21a-0251-08dd2376bda5,City of Midland Precinct 10,James H. Geisler,Republican,225
Precinct Delegate for City of Midland  Precinct 10 (REP),01000000-263e-b21a-0251-08dd2376bda5,City of Midland Precinct 10,Roy C. Green,Republican,179
Precinct Delegate for City of Midland  Precinct 10 (REP),01000000-263e-b21a-0251-08dd2376bda5,City of Midland Precinct 10,John F. Lynn,Republican,154
Precinct Delegate for City of Midland  Precinct 10 (REP),01000000-263e-b21a-0251-08dd2376bda5,City of Midland Precinct 10,Roxann Lynn,Republican,180
Precinct Delegate for City of Midland  Precinct 10 (REP),01000000-263e-b21a-0251-08dd2376bda5,City of Midland Precinct 10,Michael Maloney,Republican,130
Precinct Delegate for City of Midland  Precinct 10 (REP),01000000-263e-b21a-0251-08dd2376bda5,City of Midland Precinct 10,Erica Pina,Republican,141
Precinct Delegate for City of Midland  Precinct 10 (REP),01000000-263e-b21a-0251-08dd2376bda5,City of Midland Precinct 10,Write-In,Republican,7
Precinct Delegate for Lincoln Township  Precinct 1 (REP),01000000-263e-b21a-2300-08dd2376be4f,Lincoln Township Precinct 1,Matthew Buczek,Republican,265
Precinct Delegate for Lincoln Township  Precinct 1 (REP),01000000-263e-b21a-2300-08dd2376be4f,Lincoln Township Precinct 1,Melissa Buczek,Republican,245
Precinct Delegate for Lincoln Township  Precinct 1 (REP),01000000-263e-b21a-2300-08dd2376be4f,Lincoln Township Precinct 1,Rosemary Roberts,Republican,236
Precinct Delegate for Lincoln Township  Precinct 1 (REP),01000000-263e-b21a-2300-08dd2376be4f,Lincoln Township Precinct 1,Anne VanHulle,Republican,237
Precinct Delegate for Lincoln Township  Precinct 1 (REP),01000000-263e-b21a-2300-08dd2376be4f,Lincoln Township Precinct 1,Write-In,Republican,5
Precinct Delegate for Edenville Township  Precinct 1 (DEM),01000000-263e-b21a-5547-08dd2376bdd6,Edenville Township Precinct 1,Write-In,Democrat,16
Precinct Delegate for Lee Township  Precinct 2 (DEM),01000000-263e-b21a-e576-08dd2376be47,Lee Township Precinct 2,Write-In,Democrat,12
Precinct Delegate for Homer Township  Precinct 1 (REP),01000000-263e-b21a-9eca-08dd2376bdf2,Homer Township Precinct 1,Robert E. Bourne,Republican,120
Precinct Delegate for Homer Township  Precinct 1 (REP),01000000-263e-b21a-9eca-08dd2376bdf2,Homer Township Precinct 1,Gregory E. Crawford,Republican,145
Precinct Delegate for Homer Township  Precinct 1 (REP),01000000-263e-b21a-9eca-08dd2376bdf2,Homer Township Precinct 1,Write-In,Republican,7
Precinct Delegate for Larkin Township  Precinct 1 (REP),01000000-263e-b21a-7540-08dd2376be33,Larkin Township Precinct 1,Brenda Cesaretti,Republican,347
Precinct Delegate for Larkin Township  Precinct 1 (REP),01000000-263e-b21a-7540-08dd2376be33,Larkin Township Precinct 1,Write-In,Republican,0
County Road Commissioner - Bay (DEM),01000000-263e-b21a-543d-08dd2376bd7c,City of Midland Precinct 4B,Jacob Hilliker,Democrat,5
County Road Commissioner - Bay (DEM),01000000-263e-b21a-543d-08dd2376bd7c,City of Midland Precinct 4B,Write-In,Democrat,0
Precinct Delegate for City of Midland  Precinct 6 (REP),01000000-263e-b21a-48a6-08dd2376bd94,City of Midland Precinct 6,Alan D. Gooch,Republican,83
Precinct Delegate for City of Midland  Precinct 6 (REP),01000000-263e-b21a-48a6-08dd2376bd94,City of Midland Precinct 6,Elizabeth A. Gooch,Republican,100
Precinct Delegate for City of Midland  Precinct 6 (REP),01000000-263e-b21a-48a6-08dd2376bd94,City of Midland Precinct 6,Amanda Oster,Republican,87
Precinct Delegate for City of Midland  Precinct 6 (REP),01000000-263e-b21a-48a6-08dd2376bd94,City of Midland Precinct 6,Write-In,Republican,9
Precinct Delegate for Larkin Township  Precinct 1 (DEM),01000000-263e-b21a-334f-08dd2376be31,Larkin Township Precinct 1,Bonnie Jill Haver-Crissman,Democrat,98
Precinct Delegate for Larkin Township  Precinct 1 (DEM),01000000-263e-b21a-334f-08dd2376be31,Larkin Township Precinct 1,Write-In,Democrat,0
Precinct Delegate for City of Midland  Precinct 7 (REP),01000000-263e-b21a-63e1-08dd2376bd98,City of Midland Precinct 7,Daniel Broderick,Republican,150
Precinct Delegate for City of Midland  Precinct 7 (REP),01000000-263e-b21a-63e1-08dd2376bd98,City of Midland Precinct 7,Richard M. Handlon,Republican,150
Precinct Delegate for City of Midland  Precinct 7 (REP),01000000-263e-b21a-63e1-08dd2376bd98,City of Midland Precinct 7,Elaine C. Manley,Republican,128
Precinct Delegate for City of Midland  Precinct 7 (REP),01000000-263e-b21a-63e1-08dd2376bd98,City of Midland Precinct 7,Laura Moolenaar,Republican,221
Precinct Delegate for City of Midland  Precinct 7 (REP),01000000-263e-b21a-63e1-08dd2376bd98,City of Midland Precinct 7,Robert Moolenaar,Republican,208
Precinct Delegate for City of Midland  Precinct 7 (REP),01000000-263e-b21a-63e1-08dd2376bd98,City of Midland Precinct 7,Scott D. Noesen,Republican,209
Precinct Delegate for City of Midland  Precinct 7 (REP),01000000-263e-b21a-63e1-08dd2376bd98,City of Midland Precinct 7,Tom O'Brien,Republican,153
Precinct Delegate for City of Midland  Precinct 7 (REP),01000000-263e-b21a-63e1-08dd2376bd98,City of Midland Precinct 7,Judith Ann Rapanos,Republican,207
Precinct Delegate for City of Midland  Precinct 7 (REP),01000000-263e-b21a-63e1-08dd2376bd98,City of Midland Precinct 7,Write-In,Republican,14
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Coleman Precinct 1,Tudor M. Dixon,Republican,53
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Coleman Precinct 1,Ryan D. Kelley,Republican,36
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Coleman Precinct 1,Ralph Rebandt,Republican,10
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Coleman Precinct 1,Kevin Rinke,Republican,32
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Coleman Precinct 1,Garrett Soldano,Republican,29
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Coleman Precinct 1,Write-In,Republican,1
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 1,Tudor M. Dixon,Republican,113
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 1,Ryan D. Kelley,Republican,42
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 1,Ralph Rebandt,Republican,14
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 1,Kevin Rinke,Republican,73
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 1,Garrett Soldano,Republican,74
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 1,Write-In,Republican,2
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 2,Tudor M. Dixon,Republican,93
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 2,Ryan D. Kelley,Republican,32
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 2,Ralph Rebandt,Republican,9
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 2,Kevin Rinke,Republican,55
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 2,Garrett Soldano,Republican,39
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 2,Write-In,Republican,1
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 3,Tudor M. Dixon,Republican,82
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 3,Ryan D. Kelley,Republican,37
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 3,Ralph Rebandt,Republican,16
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 3,Kevin Rinke,Republican,73
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 3,Garrett Soldano,Republican,29
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 3,Write-In,Republican,1
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 4A,Tudor M. Dixon,Republican,30
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 4A,Ryan D. Kelley,Republican,25
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 4A,Ralph Rebandt,Republican,4
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 4A,Kevin Rinke,Republican,29
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 4A,Garrett Soldano,Republican,31
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 4A,Write-In,Republican,0
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 4B,Tudor M. Dixon,Republican,8
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 4B,Ryan D. Kelley,Republican,3
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 4B,Ralph Rebandt,Republican,0
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 4B,Kevin Rinke,Republican,1
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 4B,Garrett Soldano,Republican,5
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 4B,Write-In,Republican,0
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 5,Tudor M. Dixon,Republican,74
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 5,Ryan D. Kelley,Republican,36
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 5,Ralph Rebandt,Republican,7
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 5,Kevin Rinke,Republican,37
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 5,Garrett Soldano,Republican,28
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 5,Write-In,Republican,2
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 6,Tudor M. Dixon,Republican,77
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 6,Ryan D. Kelley,Republican,24
Governor (REP),01000000-263e-b21a-a68d-08dd2376bd38,City of Midland Precinct 6,Ralph Rebandt,Republican,20
