Contest,Candidate,Party,Precinct,Votes
Representative in State Legislature 100th District (DEM),Write-in,DEM,"Cedar Township, Precinct 1",0
Representative in State Legislature 100th District (DEM),Jamie McClendon,DEM,"Evart Township, Precinct 1",23
Representative in State Legislature 100th District (DEM),Tracy Ruell,DEM,"Evart Township, Precinct 1",62
Representative in State Legislature 100th District (DEM),Write-in,DEM,"Evart Township, Precinct 1",0
Representative in State Legislature 100th District (DEM),Jamie McClendon,DEM,"Hartwick Township, Precinct 1",5
Representative in State Legislature 100th District (DEM),Tracy Ruell,DEM,"Hartwick Township, Precinct 1",15
Representative in State Legislature 100th District (DEM),Write-in,DEM,"Hartwick Township, Precinct 1",0
Representative in State Legislature 100th District (DEM),Jamie McClendon,DEM,"Hersey Township, Precinct 1",23
Representative in State Legislature 100th District (DEM),Tracy Ruell,DEM,"Hersey Township, Precinct 1",62
Representative in State Legislature 100th District (DEM),Write-in,DEM,"Hersey Township, Precinct 1",0
Representative in State Legislature 100th District (DEM),Jamie McClendon,DEM,"Highland Township, Precinct 1",5
Representative in State Legislature 100th District (DEM),Tracy Ruell,DEM,"Highland Township, Precinct 1",18
Representative in State Legislature 100th District (DEM),Write-in,DEM,"Highland Township, Precinct 1",0
Representative in State Legislature 100th District (DEM),Jamie McClendon,DEM,"Leroy Township, Precinct 1",14
Representative in State Legislature 100th District (DEM),Tracy Ruell,DEM,"Leroy Township, Precinct 1",28
Representative in State Legislature 100th District (DEM),Write-in,DEM,"Leroy Township, Precinct 1",0
Representative in State Legislature 100th District (DEM),Jamie McClendon,DEM,"Lincoln Township, Precinct 1",15
Representative in State Legislature 100th District (DEM),Tracy Ruell,DEM,"Lincoln Township, Precinct 1",36
Representative in State Legislature 100th District (DEM),Write-in,DEM,"Lincoln Township, Precinct 1",0
Representative in State Legislature 100th District (DEM),Jamie McClendon,DEM,"Marion Township, Precinct 1",11
Representative in State Legislature 100th District (DEM),Tracy Ruell,DEM,"Marion Township, Precinct 1",33
Representative in State Legislature 100th District (DEM),Write-in,DEM,"Marion Township, Precinct 1",0
Representative in State Legislature 100th District (DEM),Jamie McClendon,DEM,"Middle Branch Township, Precinct 1",7
Representative in State Legislature 100th District (DEM),Tracy Ruell,DEM,"Middle Branch Township, Precinct 1",20
Representative in State Legislature 100th District (DEM),Write-in,DEM,"Middle Branch Township, Precinct 1",0
Representative in State Legislature 100th District (DEM),Jamie McClendon,DEM,"Orient Township, Precinct 1",13
Representative in State Legislature 100th District (DEM),Tracy Ruell,DEM,"Orient Township, Precinct 1",17
Representative in State Legislature 100th District (DEM),Write-in,DEM,"Orient Township, Precinct 1",0
Representative in State Legislature 100th District (DEM),Jamie McClendon,DEM,"Osceola Township, Precinct 1",9
Representative in State Legislature 100th District (DEM),Tracy Ruell,DEM,"Osceola Township, Precinct 1",24
Representative in State Legislature 100th District (DEM),Write-in,DEM,"Osceola Township, Precinct 1",0
Representative in State Legislature 100th District (DEM),Jamie McClendon,DEM,"Richmond Township, Precinct 1",19
Representative in State Legislature 100th District (DEM),Tracy Ruell,DEM,"Richmond Township, Precinct 1",63
Representative in State Legislature 100th District (DEM),Write-in,DEM,"Richmond Township, Precinct 1",0
Representative in State Legislature 100th District (DEM),Jamie McClendon,DEM,"Rose Lake Township, Precinct 1",17
Representative in State Legislature 100th District (DEM),Tracy Ruell,DEM,"Rose Lake Township, Precinct 1",43
Representative in State Legislature 100th District (DEM),Write-in,DEM,"Rose Lake Township, Precinct 1",0
Representative in State Legislature 100th District (DEM),Jamie McClendon,DEM,"Sherman Township, Precinct 1",11
Representative in State Legislature 100th District (DEM),Tracy Ruell,DEM,"Sherman Township, Precinct 1",25
Representative in State Legislature 100th District (DEM),Write-in,DEM,"Sherman Township, Precinct 1",0
Representative in State Legislature 100th District (DEM),Jamie McClendon,DEM,"Sylvan Township, Precinct 1",11
Representative in State Legislature 100th District (DEM),Tracy Ruell,DEM,"Sylvan Township, Precinct 1",35
Representative in State Legislature 100th District (DEM),Write-in,DEM,"Sylvan Township, Precinct 1",0
Representative in State Legislature 100th District (DEM),Jamie McClendon,DEM,"City of Evart, Precinct 1",8
Representative in State Legislature 100th District (DEM),Tracy Ruell,DEM,"City of Evart, Precinct 1",44
Representative in State Legislature 100th District (DEM),Write-in,DEM,"City of Evart, Precinct 1",1
Representative in State Legislature 100th District (DEM),Jamie McClendon,DEM,"City of Reed City, Precinct 1",25
Representative in State Legislature 100th District (DEM),Tracy Ruell,DEM,"City of Reed City, Precinct 1",79
Representative in State Legislature 100th District (DEM),Write-in,DEM,"City of Reed City, Precinct 1",0
County Prosecuting Attorney (DEM),Write-in,DEM,"Burdell Township, Precinct 1",5
County Prosecuting Attorney (DEM),Write-in,DEM,"Cedar Township, Precinct 1",3
County Prosecuting Attorney (DEM),Write-in,DEM,"Evart Township, Precinct 1",13
County Prosecuting Attorney (DEM),Write-in,DEM,"Hartwick Township, Precinct 1",1
County Prosecuting Attorney (DEM),Write-in,DEM,"Hersey Township, Precinct 1",9
County Prosecuting Attorney (DEM),Write-in,DEM,"Highland Township, Precinct 1",2
County Prosecuting Attorney (DEM),Write-in,DEM,"Leroy Township, Precinct 1",4
County Prosecuting Attorney (DEM),Write-in,DEM,"Lincoln Township, Precinct 1",5
County Prosecuting Attorney (DEM),Write-in,DEM,"Marion Township, Precinct 1",5
County Prosecuting Attorney (DEM),Write-in,DEM,"Middle Branch Township, Precinct 1",4
County Prosecuting Attorney (DEM),Write-in,DEM,"Orient Township, Precinct 1",4
County Prosecuting Attorney (DEM),Write-in,DEM,"Osceola Township, Precinct 1",1
County Prosecuting Attorney (DEM),Write-in,DEM,"Richmond Township, Precinct 1",3
County Prosecuting Attorney (DEM),Write-in,DEM,"Rose Lake Township, Precinct 1",8
County Prosecuting Attorney (DEM),Write-in,DEM,"Sherman Township, Precinct 1",3
County Prosecuting Attorney (DEM),Write-in,DEM,"Sylvan Township, Precinct 1",2
County Prosecuting Attorney (DEM),Write-in,DEM,"City of Evart, Precinct 1",4
County Prosecuting Attorney (DEM),Write-in,DEM,"City of Reed City, Precinct 1",14
County Sheriff (DEM),Write-in,DEM,"Burdell Township, Precinct 1",3
County Sheriff (DEM),Write-in,DEM,"Cedar Township, Precinct 1",3
County Sheriff (DEM),Write-in,DEM,"Evart Township, Precinct 1",13
County Sheriff (DEM),Write-in,DEM,"Hartwick Township, Precinct 1",1
County Sheriff (DEM),Write-in,DEM,"Hersey Township, Precinct 1",9
County Sheriff (DEM),Write-in,DEM,"Highland Township, Precinct 1",2
County Sheriff (DEM),Write-in,DEM,"Leroy Township, Precinct 1",4
County Sheriff (DEM),Write-in,DEM,"Lincoln Township, Precinct 1",5
County Sheriff (DEM),Write-in,DEM,"Marion Township, Precinct 1",4
County Sheriff (DEM),Write-in,DEM,"Middle Branch Township, Precinct 1",4
County Sheriff (DEM),Write-in,DEM,"Orient Township, Precinct 1",5
County Sheriff (DEM),Write-in,DEM,"Osceola Township, Precinct 1",1
County Sheriff (DEM),Write-in,DEM,"Richmond Township, Precinct 1",3
County Sheriff (DEM),Write-in,DEM,"Rose Lake Township, Precinct 1",8
County Sheriff (DEM),Write-in,DEM,"Sherman Township, Precinct 1",3
County Sheriff (DEM),Write-in,DEM,"Sylvan Township, Precinct 1",2
County Sheriff (DEM),Write-in,DEM,"City of Evart, Precinct 1",4
County Sheriff (DEM),Write-in,DEM,"City of Reed City, Precinct 1",13
County Clerk (DEM),Write-in,DEM,"Burdell Township, Precinct 1",4
County Clerk (DEM),Write-in,DEM,"Cedar Township, Precinct 1",3
County Clerk (DEM),Write-in,DEM,"Evart Township, Precinct 1",13
County Clerk (DEM),Write-in,DEM,"Hartwick Township, Precinct 1",1
County Clerk (DEM),Write-in,DEM,"Hersey Township, Precinct 1",10
County Clerk (DEM),Write-in,DEM,"Highland Township, Precinct 1",2
County Clerk (DEM),Write-in,DEM,"Leroy Township, Precinct 1",4
County Clerk (DEM),Write-in,DEM,"Lincoln Township, Precinct 1",5
County Clerk (DEM),Write-in,DEM,"Marion Township, Precinct 1",3
County Clerk (DEM),Write-in,DEM,"Middle Branch Township, Precinct 1",4
County Clerk (DEM),Write-in,DEM,"Orient Township, Precinct 1",3
County Clerk (DEM),Write-in,DEM,"Osceola Township, Precinct 1",1
County Clerk (DEM),Write-in,DEM,"Richmond Township, Precinct 1",3
County Clerk (DEM),Write-in,DEM,"Rose Lake Township, Precinct 1",8
County Clerk (DEM),Write-in,DEM,"Sherman Township, Precinct 1",2
County Clerk (DEM),Write-in,DEM,"Sylvan Township, Precinct 1",2
County Clerk (DEM),Write-in,DEM,"City of Evart, Precinct 1",4
County Clerk (DEM),Write-in,DEM,"City of Reed City, Precinct 1",13
County Treasurer (DEM),Write-in,DEM,"Burdell Township, Precinct 1",4
County Treasurer (DEM),Write-in,DEM,"Cedar Township, Precinct 1",2
County Treasurer (DEM),Write-in,DEM,"Evart Township, Precinct 1",12
County Treasurer (DEM),Write-in,DEM,"Hartwick Township, Precinct 1",1
County Treasurer (DEM),Write-in,DEM,"Hersey Township, Precinct 1",10
County Treasurer (DEM),Write-in,DEM,"Highland Township, Precinct 1",2
County Treasurer (DEM),Write-in,DEM,"Leroy Township, Precinct 1",4
County Treasurer (DEM),Write-in,DEM,"Lincoln Township, Precinct 1",5
County Treasurer (DEM),Write-in,DEM,"Marion Township, Precinct 1",3
County Treasurer (DEM),Write-in,DEM,"Middle Branch Township, Precinct 1",4
County Treasurer (DEM),Write-in,DEM,"Orient Township, Precinct 1",3
County Treasurer (DEM),Write-in,DEM,"Osceola Township, Precinct 1",1
County Treasurer (DEM),Write-in,DEM,"Richmond Township, Precinct 1",3
County Treasurer (DEM),Write-in,DEM,"Rose Lake Township, Precinct 1",8
County Treasurer (DEM),Write-in,DEM,"Sherman Township, Precinct 1",2
County Treasurer (DEM),Write-in,DEM,"Sylvan Township, Precinct 1",2
County Treasurer (DEM),Write-in,DEM,"City of Evart, Precinct 1",4
County Treasurer (DEM),Write-in,DEM,"City of Reed City, Precinct 1",13
County Register of Deeds (DEM),Write-in,DEM,"Burdell Township, Precinct 1",3
County Register of Deeds (DEM),Write-in,DEM,"Cedar Township, Precinct 1",3
County Register of Deeds (DEM),Write-in,DEM,"Evart Township, Precinct 1",13
County Register of Deeds (DEM),Write-in,DEM,"Hartwick Township, Precinct 1",1
County Register of Deeds (DEM),Write-in,DEM,"Hersey Township, Precinct 1",10
County Register of Deeds (DEM),Write-in,DEM,"Highland Township, Precinct 1",2
County Register of Deeds (DEM),Write-in,DEM,"Leroy Township, Precinct 1",4
County Register of Deeds (DEM),Write-in,DEM,"Lincoln Township, Precinct 1",5
County Register of Deeds (DEM),Write-in,DEM,"Marion Township, Precinct 1",3
County Register of Deeds (DEM),Write-in,DEM,"Middle Branch Township, Precinct 1",4
County Register of Deeds (DEM),Write-in,DEM,"Orient Township, Precinct 1",3
County Register of Deeds (DEM),Write-in,DEM,"Osceola Township, Precinct 1",1
County Register of Deeds (DEM),Write-in,DEM,"Richmond Township, Precinct 1",3
County Register of Deeds (DEM),Write-in,DEM,"Rose Lake Township, Precinct 1",8
County Register of Deeds (DEM),Write-in,DEM,"Sherman Township, Precinct 1",2
County Register of Deeds (DEM),Write-in,DEM,"Sylvan Township, Precinct 1",2
County Register of Deeds (DEM),Write-in,DEM,"City of Evart, Precinct 1",4
County Register of Deeds (DEM),Write-in,DEM,"City of Reed City, Precinct 1",12
County Road Commissioner (DEM),Write-in,DEM,"Burdell Township, Precinct 1",5
County Road Commissioner (DEM),Write-in,DEM,"Cedar Township, Precinct 1",5
County Road Commissioner (DEM),Write-in,DEM,"Evart Township, Precinct 1",14
County Road Commissioner (DEM),Write-in,DEM,"Hartwick Township, Precinct 1",1
County Road Commissioner (DEM),Write-in,DEM,"Hersey Township, Precinct 1",12
County Road Commissioner (DEM),Write-in,DEM,"Highland Township, Precinct 1",2
County Road Commissioner (DEM),Write-in,DEM,"Leroy Township, Precinct 1",4
County Road Commissioner (DEM),Write-in,DEM,"Lincoln Township, Precinct 1",8
County Road Commissioner (DEM),Write-in,DEM,"Marion Township, Precinct 1",4
County Road Commissioner (DEM),Write-in,DEM,"Middle Branch Township, Precinct 1",5
County Road Commissioner (DEM),Write-in,DEM,"Orient Township, Precinct 1",5
County Road Commissioner (DEM),Write-in,DEM,"Osceola Township, Precinct 1",1
County Road Commissioner (DEM),Write-in,DEM,"Richmond Township, Precinct 1",4
County Road Commissioner (DEM),Write-in,DEM,"Rose Lake Township, Precinct 1",12
County Road Commissioner (DEM),Write-in,DEM,"Sherman Township, Precinct 1",5
County Road Commissioner (DEM),Write-in,DEM,"Sylvan Township, Precinct 1",4
County Road Commissioner (DEM),Write-in,DEM,"City of Evart, Precinct 1",7
County Road Commissioner (DEM),Write-in,DEM,"City of Reed City, Precinct 1",20
County Drain Commissioner (DEM),Write-in,DEM,"Burdell Township, Precinct 1",5
County Drain Commissioner (DEM),Write-in,DEM,"Cedar Township, Precinct 1",3
County Drain Commissioner (DEM),Write-in,DEM,"Evart Township, Precinct 1",14
County Drain Commissioner (DEM),Write-in,DEM,"Hartwick Township, Precinct 1",1
County Drain Commissioner (DEM),Write-in,DEM,"Hersey Township, Precinct 1",11
County Drain Commissioner (DEM),Write-in,DEM,"Highland Township, Precinct 1",1
County Drain Commissioner (DEM),Write-in,DEM,"Leroy Township, Precinct 1",4
County Drain Commissioner (DEM),Write-in,DEM,"Lincoln Township, Precinct 1",5
County Drain Commissioner (DEM),Write-in,DEM,"Marion Township, Precinct 1",4
County Drain Commissioner (DEM),Write-in,DEM,"Middle Branch Township, Precinct 1",3
County Drain Commissioner (DEM),Write-in,DEM,"Orient Township, Precinct 1",3
County Drain Commissioner (DEM),Write-in,DEM,"Osceola Township, Precinct 1",1
County Drain Commissioner (DEM),Write-in,DEM,"Richmond Township, Precinct 1",5
County Drain Commissioner (DEM),Write-in,DEM,"Rose Lake Township, Precinct 1",8
County Drain Commissioner (DEM),Write-in,DEM,"Sherman Township, Precinct 1",2
County Drain Commissioner (DEM),Write-in,DEM,"Sylvan Township, Precinct 1",2
County Drain Commissioner (DEM),Write-in,DEM,"City of Evart, Precinct 1",4
County Drain Commissioner (DEM),Write-in,DEM,"City of Reed City, Precinct 1",13
County Surveyor (DEM),Write-in,DEM,"Burdell Township, Precinct 1",5
County Surveyor (DEM),Write-in,DEM,"Cedar Township, Precinct 1",3
County Surveyor (DEM),Write-in,DEM,"Evart Township, Precinct 1",14
County Surveyor (DEM),Write-in,DEM,"Hartwick Township, Precinct 1",1
County Surveyor (DEM),Write-in,DEM,"Hersey Township, Precinct 1",9
County Surveyor (DEM),Write-in,DEM,"Highland Township, Precinct 1",1
County Surveyor (DEM),Write-in,DEM,"Leroy Township, Precinct 1",4
County Surveyor (DEM),Write-in,DEM,"Lincoln Township, Precinct 1",5
County Surveyor (DEM),Write-in,DEM,"Marion Township, Precinct 1",3
County Surveyor (DEM),Write-in,DEM,"Middle Branch Township, Precinct 1",3
County Surveyor (DEM),Write-in,DEM,"Orient Township, Precinct 1",4
County Surveyor (DEM),Write-in,DEM,"Osceola Township, Precinct 1",1
County Surveyor (DEM),Write-in,DEM,"Richmond Township, Precinct 1",5
County Surveyor (DEM),Write-in,DEM,"Rose Lake Township, Precinct 1",8
County Surveyor (DEM),Write-in,DEM,"Sherman Township, Precinct 1",2
County Surveyor (DEM),Write-in,DEM,"Sylvan Township, Precinct 1",2
County Surveyor (DEM),Write-in,DEM,"City of Evart, Precinct 1",4
County Surveyor (DEM),Write-in,DEM,"City of Reed City, Precinct 1",13
County Commissioner 1st District (DEM),Write-in,DEM,"Burdell Township, Precinct 1",0
County Commissioner 1st District (DEM),Write-in,DEM,"Leroy Township, Precinct 1",4
County Commissioner 1st District (DEM),Write-in,DEM,"Lincoln Township, Precinct 1",5
County Commissioner 2nd District (DEM),Write-in,DEM,"Burdell Township, Precinct 1",4
County Commissioner 2nd District (DEM),Write-in,DEM,"Rose Lake Township, Precinct 1",8
County Commissioner 2nd District (DEM),Write-in,DEM,"Sherman Township, Precinct 1",2
County Commissioner 3rd District (DEM),Write-in,DEM,"Hartwick Township, Precinct 1",1
County Commissioner 3rd District (DEM),Write-in,DEM,"Highland Township, Precinct 1",1
County Commissioner 3rd District (DEM),Write-in,DEM,"Marion Township, Precinct 1",3
County Commissioner 4th District (DEM),Write-in,DEM,"Middle Branch Township, Precinct 1",3
County Commissioner 4th District (DEM),Write-in,DEM,"Orient Township, Precinct 1",3
County Commissioner 4th District (DEM),Write-in,DEM,"Osceola Township, Precinct 1",1
County Commissioner 4th District (DEM),Write-in,DEM,"Sylvan Township, Precinct 1",2
County Commissioner 5th District (DEM),Write-in,DEM,"Evart Township, Precinct 1",14
County Commissioner 5th District (DEM),Write-in,DEM,"Osceola Township, Precinct 1",0
County Commissioner 5th District (DEM),Write-in,DEM,"City of Evart, Precinct 1",4
County Commissioner 6th District (DEM),Write-in,DEM,"Cedar Township, Precinct 1",2
County Commissioner 6th District (DEM),Write-in,DEM,"Hersey Township, Precinct 1",11
County Commissioner 6th District (DEM),Write-in,DEM,"Richmond Township, Precinct 1",1
County Commissioner 7th District (DEM),Write-in,DEM,"Richmond Township, Precinct 1",4
County Commissioner 7th District (DEM),Write-in,DEM,"City of Reed City, Precinct 1",13
Burdell Township Supervisor (DEM),Write-in,DEM,"Burdell Township, Precinct 1",4
Burdell Township Clerk (DEM),Write-in,DEM,"Burdell Township, Precinct 1",4
Burdell Township Treasurer (DEM),Write-in,DEM,"Burdell Township, Precinct 1",3
Burdell Township Trustee (DEM),Write-in,DEM,"Burdell Township, Precinct 1",5
Cedar Township Supervisor (DEM),Write-in,DEM,"Cedar Township, Precinct 1",2
Cedar Township Clerk (DEM),Write-in,DEM,"Cedar Township, Precinct 1",2
Cedar Township Treasurer (DEM),Write-in,DEM,"Cedar Township, Precinct 1",2
Cedar Township Trustee (DEM),Write-in,DEM,"Cedar Township, Precinct 1",4
Evart Township Supervisor (DEM),Write-in,DEM,"Evart Township, Precinct 1",13
Evart Township Clerk (DEM),Denise L. Custer,DEM,"Evart Township, Precinct 1",68
Evart Township Clerk (DEM),Write-in,DEM,"Evart Township, Precinct 1",1
Evart Township Treasurer (DEM),Write-in,DEM,"Evart Township, Precinct 1",13
Evart Township Trustee (DEM),Write-in,DEM,"Evart Township, Precinct 1",15
Hartwick Township Supervisor (DEM),Randal VanBuren,DEM,"Hartwick Township, Precinct 1",20
Hartwick Township Supervisor (DEM),Write-in,DEM,"Hartwick Township, Precinct 1",0
Hartwick Township Clerk (DEM),Write-in,DEM,"Hartwick Township, Precinct 1",1
Hartwick Township Treasurer (DEM),Write-in,DEM,"Hartwick Township, Precinct 1",1
Hartwick Township Trustee (DEM),Write-in,DEM,"Hartwick Township, Precinct 1",0
Hersey Township Supervisor (DEM),Jason Daday,DEM,"Hersey Township, Precinct 1",74
Hersey Township Supervisor (DEM),Write-in,DEM,"Hersey Township, Precinct 1",1
Hersey Township Clerk (DEM),Write-in,DEM,"Hersey Township, Precinct 1",9
Hersey Township Treasurer (DEM),Write-in,DEM,"Hersey Township, Precinct 1",9
Hersey Township Trustee (DEM),Write-in,DEM,"Hersey Township, Precinct 1",12
Highland Township Supervisor (DEM),Write-in,DEM,"Highland Township, Precinct 1",1
Highland Township Clerk (DEM),Write-in,DEM,"Highland Township, Precinct 1",1
Highland Township Treasurer (DEM),Write-in,DEM,"Highland Township, Precinct 1",1
Highland Township Trustee (DEM),Write-in,DEM,"Highland Township, Precinct 1",1
Leroy Township Supervisor (DEM),Write-in,DEM,"Leroy Township, Precinct 1",4
Leroy Township Clerk (DEM),Write-in,DEM,"Leroy Township, Precinct 1",4
Leroy Township Treasurer (DEM),Write-in,DEM,"Leroy Township, Precinct 1",4
Leroy Township Trustee (DEM),Write-in,DEM,"Leroy Township, Precinct 1",5
Lincoln Township Supervisor (DEM),Write-in,DEM,"Lincoln Township, Precinct 1",5
