Contest,Candidate,Party,Precinct,Votes
United States Senator (DEM),Hill Harper,DEM,"City of Midland, Precinct 10",48
United States Senator (DEM),Elissa Slotkin,DEM,"City of Midland, Precinct 10",457
United States Senator (DEM),Write-in,DEM,"City of Midland, Precinct 10",1
United States Senator (DEM),Hill Harper,DEM,"Edenville Township, Precinct 1",22
United States Senator (DEM),Elissa Slotkin,DEM,"Edenville Township, Precinct 1",97
United States Senator (DEM),Write-in,DEM,"Edenville Township, Precinct 1",0
United States Senator (DEM),Hill Harper,DEM,"Geneva Township, Precinct 1",10
United States Senator (DEM),Elissa Slotkin,DEM,"Geneva Township, Precinct 1",61
United States Senator (DEM),Write-in,DEM,"Geneva Township, Precinct 1",0
United States Senator (DEM),Hill Harper,DEM,"Greendale Township, Precinct 1",14
United States Senator (DEM),Elissa Slotkin,DEM,"Greendale Township, Precinct 1",49
United States Senator (DEM),Write-in,DEM,"Greendale Township, Precinct 1",0
United States Senator (DEM),Hill Harper,DEM,"Homer Township, Precinct 1",16
United States Senator (DEM),Elissa Slotkin,DEM,"Homer Township, Precinct 1",99
United States Senator (DEM),Write-in,DEM,"Homer Township, Precinct 1",0
United States Senator (DEM),Hill Harper,DEM,"Homer Township, Precinct 2",11
United States Senator (DEM),Elissa Slotkin,DEM,"Homer Township, Precinct 2",68
United States Senator (DEM),Write-in,DEM,"Homer Township, Precinct 2",0
United States Senator (DEM),Hill Harper,DEM,"Homer Township, Precinct 3",12
United States Senator (DEM),Elissa Slotkin,DEM,"Homer Township, Precinct 3",118
United States Senator (DEM),Write-in,DEM,"Homer Township, Precinct 3",0
United States Senator (DEM),Hill Harper,DEM,"Hope Township, Precinct 1",16
United States Senator (DEM),Elissa Slotkin,DEM,"Hope Township, Precinct 1",66
United States Senator (DEM),Write-in,DEM,"Hope Township, Precinct 1",0
United States Senator (DEM),Hill Harper,DEM,"Ingersoll Township, Precinct 1",8
United States Senator (DEM),Elissa Slotkin,DEM,"Ingersoll Township, Precinct 1",94
United States Senator (DEM),Write-in,DEM,"Ingersoll Township, Precinct 1",0
United States Senator (DEM),Hill Harper,DEM,"Ingersoll Township, Precinct 2",12
United States Senator (DEM),Elissa Slotkin,DEM,"Ingersoll Township, Precinct 2",80
United States Senator (DEM),Write-in,DEM,"Ingersoll Township, Precinct 2",0
United States Senator (DEM),Hill Harper,DEM,"Jasper Township, Precinct 1",8
United States Senator (DEM),Elissa Slotkin,DEM,"Jasper Township, Precinct 1",46
United States Senator (DEM),Write-in,DEM,"Jasper Township, Precinct 1",0
United States Senator (DEM),Hill Harper,DEM,"Jerome Township, Precinct 1",35
United States Senator (DEM),Elissa Slotkin,DEM,"Jerome Township, Precinct 1",156
United States Senator (DEM),Write-in,DEM,"Jerome Township, Precinct 1",1
United States Senator (DEM),Hill Harper,DEM,"Jerome Township, Precinct 2",16
United States Senator (DEM),Elissa Slotkin,DEM,"Jerome Township, Precinct 2",133
United States Senator (DEM),Write-in,DEM,"Jerome Township, Precinct 2",1
United States Senator (DEM),Hill Harper,DEM,"Larkin Township, Precinct 1",14
United States Senator (DEM),Elissa Slotkin,DEM,"Larkin Township, Precinct 1",140
United States Senator (DEM),Write-in,DEM,"Larkin Township, Precinct 1",1
United States Senator (DEM),Hill Harper,DEM,"Larkin Township, Precinct 2",18
United States Senator (DEM),Elissa Slotkin,DEM,"Larkin Township, Precinct 2",116
United States Senator (DEM),Write-in,DEM,"Larkin Township, Precinct 2",0
United States Senator (DEM),Hill Harper,DEM,"Larkin Township, Precinct 3",21
United States Senator (DEM),Elissa Slotkin,DEM,"Larkin Township, Precinct 3",114
United States Senator (DEM),Write-in,DEM,"Larkin Township, Precinct 3",0
United States Senator (DEM),Hill Harper,DEM,"Lee Township, Precinct 1",16
United States Senator (DEM),Elissa Slotkin,DEM,"Lee Township, Precinct 1",76
United States Senator (DEM),Write-in,DEM,"Lee Township, Precinct 1",0
United States Senator (DEM),Hill Harper,DEM,"Lee Township, Precinct 2",20
United States Senator (DEM),Elissa Slotkin,DEM,"Lee Township, Precinct 2",75
United States Senator (DEM),Write-in,DEM,"Lee Township, Precinct 2",0
United States Senator (DEM),Hill Harper,DEM,"Lincoln Township, Precinct 1",15
United States Senator (DEM),Elissa Slotkin,DEM,"Lincoln Township, Precinct 1",179
United States Senator (DEM),Write-in,DEM,"Lincoln Township, Precinct 1",0
United States Senator (DEM),Hill Harper,DEM,"Midland Township, Precinct 1",29
United States Senator (DEM),Elissa Slotkin,DEM,"Midland Township, Precinct 1",145
United States Senator (DEM),Write-in,DEM,"Midland Township, Precinct 1",0
United States Senator (DEM),Hill Harper,DEM,"Mills Township, Precinct 1",12
United States Senator (DEM),Elissa Slotkin,DEM,"Mills Township, Precinct 1",86
United States Senator (DEM),Write-in,DEM,"Mills Township, Precinct 1",0
United States Senator (DEM),Hill Harper,DEM,"Mt. Haley Township, Precinct 1",12
United States Senator (DEM),Elissa Slotkin,DEM,"Mt. Haley Township, Precinct 1",91
United States Senator (DEM),Write-in,DEM,"Mt. Haley Township, Precinct 1",0
United States Senator (DEM),Hill Harper,DEM,"Porter Township, Precinct 1",6
United States Senator (DEM),Elissa Slotkin,DEM,"Porter Township, Precinct 1",62
United States Senator (DEM),Write-in,DEM,"Porter Township, Precinct 1",0
United States Senator (DEM),Hill Harper,DEM,"Warren Township, Precinct 1",19
United States Senator (DEM),Elissa Slotkin,DEM,"Warren Township, Precinct 1",94
United States Senator (DEM),Write-in,DEM,"Warren Township, Precinct 1",0
Representative in Congress 2nd District (DEM),Michael Lynch,DEM,"City of Coleman, Precinct 1",59
Representative in Congress 2nd District (DEM),Write-in,DEM,"City of Coleman, Precinct 1",0
Representative in Congress 2nd District (DEM),Michael Lynch,DEM,"Edenville Township, Precinct 1",111
Representative in Congress 2nd District (DEM),Write-in,DEM,"Edenville Township, Precinct 1",0
Representative in Congress 2nd District (DEM),Michael Lynch,DEM,"Geneva Township, Precinct 1",68
Representative in Congress 2nd District (DEM),Write-in,DEM,"Geneva Township, Precinct 1",0
Representative in Congress 2nd District (DEM),Michael Lynch,DEM,"Greendale Township, Precinct 1",60
Representative in Congress 2nd District (DEM),Write-in,DEM,"Greendale Township, Precinct 1",0
Representative in Congress 2nd District (DEM),Michael Lynch,DEM,"Jasper Township, Precinct 1",52
Representative in Congress 2nd District (DEM),Write-in,DEM,"Jasper Township, Precinct 1",0
Representative in Congress 2nd District (DEM),Michael Lynch,DEM,"Warren Township, Precinct 1",104
Representative in Congress 2nd District (DEM),Write-in,DEM,"Warren Township, Precinct 1",0
Representative in Congress 8th District (DEM),Matt Collier,DEM,"City of Midland, Precinct 1",41
Representative in Congress 8th District (DEM),Kristen McDonald Rivet,DEM,"City of Midland, Precinct 1",289
Representative in Congress 8th District (DEM),Pamela Pugh,DEM,"City of Midland, Precinct 1",27
Representative in Congress 8th District (DEM),Write-in,DEM,"City of Midland, Precinct 1",0
Representative in Congress 8th District (DEM),Matt Collier,DEM,"City of Midland, Precinct 2A",28
Representative in Congress 8th District (DEM),Kristen McDonald Rivet,DEM,"City of Midland, Precinct 2A",195
Representative in Congress 8th District (DEM),Pamela Pugh,DEM,"City of Midland, Precinct 2A",17
Representative in Congress 8th District (DEM),Write-in,DEM,"City of Midland, Precinct 2A",0
Representative in Congress 8th District (DEM),Matt Collier,DEM,"City of Midland, Precinct 2B",0
Representative in Congress 8th District (DEM),Kristen McDonald Rivet,DEM,"City of Midland, Precinct 2B",5
Representative in Congress 8th District (DEM),Pamela Pugh,DEM,"City of Midland, Precinct 2B",2
Representative in Congress 8th District (DEM),Write-in,DEM,"City of Midland, Precinct 2B",0
Representative in Congress 8th District (DEM),Matt Collier,DEM,"City of Midland, Precinct 3",34
Representative in Congress 8th District (DEM),Kristen McDonald Rivet,DEM,"City of Midland, Precinct 3",285
Representative in Congress 8th District (DEM),Pamela Pugh,DEM,"City of Midland, Precinct 3",22
Representative in Congress 8th District (DEM),Write-in,DEM,"City of Midland, Precinct 3",0
Representative in Congress 8th District (DEM),Matt Collier,DEM,"City of Midland, Precinct 4",14
Representative in Congress 8th District (DEM),Kristen McDonald Rivet,DEM,"City of Midland, Precinct 4",497
Representative in Congress 8th District (DEM),Pamela Pugh,DEM,"City of Midland, Precinct 4",35
Representative in Congress 8th District (DEM),Write-in,DEM,"City of Midland, Precinct 4",0
Representative in Congress 8th District (DEM),Matt Collier,DEM,"City of Midland, Precinct 5",27
Representative in Congress 8th District (DEM),Kristen McDonald Rivet,DEM,"City of Midland, Precinct 5",311
Representative in Congress 8th District (DEM),Pamela Pugh,DEM,"City of Midland, Precinct 5",35
Representative in Congress 8th District (DEM),Write-in,DEM,"City of Midland, Precinct 5",0
Representative in Congress 8th District (DEM),Matt Collier,DEM,"City of Midland, Precinct 6",48
Representative in Congress 8th District (DEM),Kristen McDonald Rivet,DEM,"City of Midland, Precinct 6",398
Representative in Congress 8th District (DEM),Pamela Pugh,DEM,"City of Midland, Precinct 6",39
Representative in Congress 8th District (DEM),Write-in,DEM,"City of Midland, Precinct 6",0
Representative in Congress 8th District (DEM),Matt Collier,DEM,"City of Midland, Precinct 7",35
Representative in Congress 8th District (DEM),Kristen McDonald Rivet,DEM,"City of Midland, Precinct 7",445
Representative in Congress 8th District (DEM),Pamela Pugh,DEM,"City of Midland, Precinct 7",39
Representative in Congress 8th District (DEM),Write-in,DEM,"City of Midland, Precinct 7",0
Representative in Congress 8th District (DEM),Matt Collier,DEM,"City of Midland, Precinct 8",31
Representative in Congress 8th District (DEM),Kristen McDonald Rivet,DEM,"City of Midland, Precinct 8",410
Representative in Congress 8th District (DEM),Pamela Pugh,DEM,"City of Midland, Precinct 8",39
Representative in Congress 8th District (DEM),Write-in,DEM,"City of Midland, Precinct 8",0
Representative in Congress 8th District (DEM),Matt Collier,DEM,"City of Midland, Precinct 9",34
Representative in Congress 8th District (DEM),Kristen McDonald Rivet,DEM,"City of Midland, Precinct 9",433
Representative in Congress 8th District (DEM),Pamela Pugh,DEM,"City of Midland, Precinct 9",31
Representative in Congress 8th District (DEM),Write-in,DEM,"City of Midland, Precinct 9",0
Representative in Congress 8th District (DEM),Matt Collier,DEM,"City of Midland, Precinct 10",34
Representative in Congress 8th District (DEM),Kristen McDonald Rivet,DEM,"City of Midland, Precinct 10",452
Representative in Congress 8th District (DEM),Pamela Pugh,DEM,"City of Midland, Precinct 10",31
Representative in Congress 8th District (DEM),Write-in,DEM,"City of Midland, Precinct 10",0
Representative in Congress 8th District (DEM),Matt Collier,DEM,"Homer Township, Precinct 1",13
Representative in Congress 8th District (DEM),Kristen McDonald Rivet,DEM,"Homer Township, Precinct 1",100
Representative in Congress 8th District (DEM),Pamela Pugh,DEM,"Homer Township, Precinct 1",9
Representative in Congress 8th District (DEM),Write-in,DEM,"Homer Township, Precinct 1",0
Representative in Congress 8th District (DEM),Matt Collier,DEM,"Homer Township, Precinct 2",9
Representative in Congress 8th District (DEM),Kristen McDonald Rivet,DEM,"Homer Township, Precinct 2",66
Representative in Congress 8th District (DEM),Pamela Pugh,DEM,"Homer Township, Precinct 2",5
Representative in Congress 8th District (DEM),Write-in,DEM,"Homer Township, Precinct 2",0
Representative in Congress 8th District (DEM),Matt Collier,DEM,"Homer Township, Precinct 3",11
Representative in Congress 8th District (DEM),Kristen McDonald Rivet,DEM,"Homer Township, Precinct 3",119
Representative in Congress 8th District (DEM),Pamela Pugh,DEM,"Homer Township, Precinct 3",8
Representative in Congress 8th District (DEM),Write-in,DEM,"Homer Township, Precinct 3",0
Representative in Congress 8th District (DEM),Matt Collier,DEM,"Hope Township, Precinct 1",28
Representative in Congress 8th District (DEM),Kristen McDonald Rivet,DEM,"Hope Township, Precinct 1",45
Representative in Congress 8th District (DEM),Pamela Pugh,DEM,"Hope Township, Precinct 1",7
Representative in Congress 8th District (DEM),Write-in,DEM,"Hope Township, Precinct 1",0
Representative in Congress 8th District (DEM),Matt Collier,DEM,"Ingersoll Township, Precinct 1",15
Representative in Congress 8th District (DEM),Kristen McDonald Rivet,DEM,"Ingersoll Township, Precinct 1",80
Representative in Congress 8th District (DEM),Pamela Pugh,DEM,"Ingersoll Township, Precinct 1",8
Representative in Congress 8th District (DEM),Write-in,DEM,"Ingersoll Township, Precinct 1",0
Representative in Congress 8th District (DEM),Matt Collier,DEM,"Ingersoll Township, Precinct 2",7
Representative in Congress 8th District (DEM),Kristen McDonald Rivet,DEM,"Ingersoll Township, Precinct 2",80
Representative in Congress 8th District (DEM),Pamela Pugh,DEM,"Ingersoll Township, Precinct 2",4
Representative in Congress 8th District (DEM),Write-in,DEM,"Ingersoll Township, Precinct 2",0
Representative in Congress 8th District (DEM),Matt Collier,DEM,"Jerome Township, Precinct 1",39
Representative in Congress 8th District (DEM),Kristen McDonald Rivet,DEM,"Jerome Township, Precinct 1",138
Representative in Congress 8th District (DEM),Pamela Pugh,DEM,"Jerome Township, Precinct 1",20
Representative in Congress 8th District (DEM),Write-in,DEM,"Jerome Township, Precinct 1",2
Representative in Congress 8th District (DEM),Matt Collier,DEM,"Jerome Township, Precinct 2",22
Representative in Congress 8th District (DEM),Kristen McDonald Rivet,DEM,"Jerome Township, Precinct 2",119
Representative in Congress 8th District (DEM),Pamela Pugh,DEM,"Jerome Township, Precinct 2",13
Representative in Congress 8th District (DEM),Write-in,DEM,"Jerome Township, Precinct 2",1
Representative in Congress 8th District (DEM),Matt Collier,DEM,"Larkin Township, Precinct 1",16
Representative in Congress 8th District (DEM),Kristen McDonald Rivet,DEM,"Larkin Township, Precinct 1",129
Representative in Congress 8th District (DEM),Pamela Pugh,DEM,"Larkin Township, Precinct 1",15
Representative in Congress 8th District (DEM),Write-in,DEM,"Larkin Township, Precinct 1",0
Representative in Congress 8th District (DEM),Matt Collier,DEM,"Larkin Township, Precinct 2",14
Representative in Congress 8th District (DEM),Kristen McDonald Rivet,DEM,"Larkin Township, Precinct 2",113
Representative in Congress 8th District (DEM),Pamela Pugh,DEM,"Larkin Township, Precinct 2",10
Representative in Congress 8th District (DEM),Write-in,DEM,"Larkin Township, Precinct 2",0
Representative in Congress 8th District (DEM),Matt Collier,DEM,"Larkin Township, Precinct 3",12
Representative in Congress 8th District (DEM),Kristen McDonald Rivet,DEM,"Larkin Township, Precinct 3",111
Representative in Congress 8th District (DEM),Pamela Pugh,DEM,"Larkin Township, Precinct 3",13
Representative in Congress 8th District (DEM),Write-in,DEM,"Larkin Township, Precinct 3",0
Representative in Congress 8th District (DEM),Matt Collier,DEM,"Lee Township, Precinct 1",10
Representative in Congress 8th District (DEM),Kristen McDonald Rivet,DEM,"Lee Township, Precinct 1",79
Representative in Congress 8th District (DEM),Pamela Pugh,DEM,"Lee Township, Precinct 1",9
Representative in Congress 8th District (DEM),Write-in,DEM,"Lee Township, Precinct 1",0
Representative in Congress 8th District (DEM),Matt Collier,DEM,"Lee Township, Precinct 2",18
Representative in Congress 8th District (DEM),Kristen McDonald Rivet,DEM,"Lee Township, Precinct 2",69
Representative in Congress 8th District (DEM),Pamela Pugh,DEM,"Lee Township, Precinct 2",6
Representative in Congress 8th District (DEM),Write-in,DEM,"Lee Township, Precinct 2",0
Representative in Congress 8th District (DEM),Matt Collier,DEM,"Lincoln Township, Precinct 1",23
Representative in Congress 8th District (DEM),Kristen McDonald Rivet,DEM,"Lincoln Township, Precinct 1",162
Representative in Congress 8th District (DEM),Pamela Pugh,DEM,"Lincoln Township, Precinct 1",11
Representative in Congress 8th District (DEM),Write-in,DEM,"Lincoln Township, Precinct 1",1
Representative in Congress 8th District (DEM),Matt Collier,DEM,"Midland Township, Precinct 1",14
Representative in Congress 8th District (DEM),Kristen McDonald Rivet,DEM,"Midland Township, Precinct 1",153
Representative in Congress 8th District (DEM),Pamela Pugh,DEM,"Midland Township, Precinct 1",11
Representative in Congress 8th District (DEM),Write-in,DEM,"Midland Township, Precinct 1",0
Representative in Congress 8th District (DEM),Matt Collier,DEM,"Mills Township, Precinct 1",6
Representative in Congress 8th District (DEM),Kristen McDonald Rivet,DEM,"Mills Township, Precinct 1",88
Representative in Congress 8th District (DEM),Pamela Pugh,DEM,"Mills Township, Precinct 1",7
Representative in Congress 8th District (DEM),Write-in,DEM,"Mills Township, Precinct 1",1
Representative in Congress 8th District (DEM),Matt Collier,DEM,"Mt. Haley Township, Precinct 1",14
Representative in Congress 8th District (DEM),Kristen McDonald Rivet,DEM,"Mt. Haley Township, Precinct 1",85
Representative in Congress 8th District (DEM),Pamela Pugh,DEM,"Mt. Haley Township, Precinct 1",4
Representative in Congress 8th District (DEM),Write-in,DEM,"Mt. Haley Township, Precinct 1",0
Representative in Congress 8th District (DEM),Matt Collier,DEM,"Porter Township, Precinct 1",10
Representative in Congress 8th District (DEM),Kristen McDonald Rivet,DEM,"Porter Township, Precinct 1",55
Representative in Congress 8th District (DEM),Pamela Pugh,DEM,"Porter Township, Precinct 1",3
Representative in Congress 8th District (DEM),Write-in,DEM,"Porter Township, Precinct 1",0
Representative in State Legislature 95th District (DEM),Sabrina Lopez,DEM,"City of Coleman, Precinct 1",61
Representative in State Legislature 95th District (DEM),Write-in,DEM,"City of Coleman, Precinct 1",0
Representative in State Legislature 95th District (DEM),Sabrina Lopez,DEM,"City of Midland, Precinct 1",325
Representative in State Legislature 95th District (DEM),Write-in,DEM,"City of Midland, Precinct 1",0
Representative in State Legislature 95th District (DEM),Sabrina Lopez,DEM,"City of Midland, Precinct 2A",212
Representative in State Legislature 95th District (DEM),Write-in,DEM,"City of Midland, Precinct 2A",0
Representative in State Legislature 95th District (DEM),Sabrina Lopez,DEM,"City of Midland, Precinct 2B",7
Representative in State Legislature 95th District (DEM),Write-in,DEM,"City of Midland, Precinct 2B",0
Representative in State Legislature 95th District (DEM),Sabrina Lopez,DEM,"City of Midland, Precinct 3",305
Representative in State Legislature 95th District (DEM),Write-in,DEM,"City of Midland, Precinct 3",0
Representative in State Legislature 95th District (DEM),Sabrina Lopez,DEM,"City of Midland, Precinct 4",476
Representative in State Legislature 95th District (DEM),Write-in,DEM,"City of Midland, Precinct 4",0
Representative in State Legislature 95th District (DEM),Sabrina Lopez,DEM,"City of Midland, Precinct 5",321
Representative in State Legislature 95th District (DEM),Write-in,DEM,"City of Midland, Precinct 5",0
Representative in State Legislature 95th District (DEM),Sabrina Lopez,DEM,"City of Midland, Precinct 6",427
Representative in State Legislature 95th District (DEM),Write-in,DEM,"City of Midland, Precinct 6",1
Representative in State Legislature 95th District (DEM),Sabrina Lopez,DEM,"City of Midland, Precinct 7",476
Representative in State Legislature 95th District (DEM),Write-in,DEM,"City of Midland, Precinct 7",1
Representative in State Legislature 95th District (DEM),Sabrina Lopez,DEM,"City of Midland, Precinct 8",425
Representative in State Legislature 95th District (DEM),Write-in,DEM,"City of Midland, Precinct 8",0
Representative in State Legislature 95th District (DEM),Sabrina Lopez,DEM,"City of Midland, Precinct 9",447
Representative in State Legislature 95th District (DEM),Write-in,DEM,"City of Midland, Precinct 9",0
Representative in State Legislature 95th District (DEM),Sabrina Lopez,DEM,"City of Midland, Precinct 10",466
Representative in State Legislature 95th District (DEM),Write-in,DEM,"City of Midland, Precinct 10",1
Representative in State Legislature 95th District (DEM),Sabrina Lopez,DEM,"Edenville Township, Precinct 1",106
Representative in State Legislature 95th District (DEM),Write-in,DEM,"Edenville Township, Precinct 1",0
Representative in State Legislature 95th District (DEM),Sabrina Lopez,DEM,"Geneva Township, Precinct 1",67
Representative in State Legislature 95th District (DEM),Write-in,DEM,"Geneva Township, Precinct 1",0
Representative in State Legislature 95th District (DEM),Sabrina Lopez,DEM,"Greendale Township, Precinct 1",58
Representative in State Legislature 95th District (DEM),Write-in,DEM,"Greendale Township, Precinct 1",0
Representative in State Legislature 95th District (DEM),Sabrina Lopez,DEM,"Homer Township, Precinct 1",102
Representative in State Legislature 95th District (DEM),Write-in,DEM,"Homer Township, Precinct 1",0
Representative in State Legislature 95th District (DEM),Sabrina Lopez,DEM,"Homer Township, Precinct 2",61
Representative in State Legislature 95th District (DEM),Write-in,DEM,"Homer Township, Precinct 2",1
Representative in State Legislature 95th District (DEM),Sabrina Lopez,DEM,"Homer Township, Precinct 3",113
Representative in State Legislature 95th District (DEM),Write-in,DEM,"Homer Township, Precinct 3",0
Representative in State Legislature 95th District (DEM),Sabrina Lopez,DEM,"Hope Township, Precinct 1",70
Representative in State Legislature 95th District (DEM),Write-in,DEM,"Hope Township, Precinct 1",0
Representative in State Legislature 95th District (DEM),Sabrina Lopez,DEM,"Ingersoll Township, Precinct 1",79
Representative in State Legislature 95th District (DEM),Write-in,DEM,"Ingersoll Township, Precinct 1",0
Representative in State Legislature 95th District (DEM),Sabrina Lopez,DEM,"Ingersoll Township, Precinct 2",78
Representative in State Legislature 95th District (DEM),Write-in,DEM,"Ingersoll Township, Precinct 2",1
Representative in State Legislature 95th District (DEM),Sabrina Lopez,DEM,"Jasper Township, Precinct 1",52
Representative in State Legislature 95th District (DEM),Write-in,DEM,"Jasper Township, Precinct 1",0
Representative in State Legislature 95th District (DEM),Sabrina Lopez,DEM,"Jerome Township, Precinct 1",159
Representative in State Legislature 95th District (DEM),Write-in,DEM,"Jerome Township, Precinct 1",1
Representative in State Legislature 95th District (DEM),Sabrina Lopez,DEM,"Jerome Township, Precinct 2",136
Representative in State Legislature 95th District (DEM),Write-in,DEM,"Jerome Township, Precinct 2",1
Representative in State Legislature 95th District (DEM),Sabrina Lopez,DEM,"Larkin Township, Precinct 1",138
Representative in State Legislature 95th District (DEM),Write-in,DEM,"Larkin Township, Precinct 1",1
Representative in State Legislature 95th District (DEM),Sabrina Lopez,DEM,"Larkin Township, Precinct 2",121
Representative in State Legislature 95th District (DEM),Write-in,DEM,"Larkin Township, Precinct 2",0
Representative in State Legislature 95th District (DEM),Sabrina Lopez,DEM,"Larkin Township, Precinct 3",110
Representative in State Legislature 95th District (DEM),Write-in,DEM,"Larkin Township, Precinct 3",1
Representative in State Legislature 95th District (DEM),Sabrina Lopez,DEM,"Lee Township, Precinct 1",82
Representative in State Legislature 95th District (DEM),Write-in,DEM,"Lee Township, Precinct 1",0
Representative in State Legislature 95th District (DEM),Sabrina Lopez,DEM,"Lee Township, Precinct 2",87
Representative in State Legislature 95th District (DEM),Write-in,DEM,"Lee Township, Precinct 2",0
Representative in State Legislature 95th District (DEM),Sabrina Lopez,DEM,"Lincoln Township, Precinct 1",169
Representative in State Legislature 95th District (DEM),Write-in,DEM,"Lincoln Township, Precinct 1",0
Representative in State Legislature 95th District (DEM),Sabrina Lopez,DEM,"Midland Township, Precinct 1",149
Representative in State Legislature 95th District (DEM),Write-in,DEM,"Midland Township, Precinct 1",0
Representative in State Legislature 95th District (DEM),Sabrina Lopez,DEM,"Mills Township, Precinct 1",82
Representative in State Legislature 95th District (DEM),Write-in,DEM,"Mills Township, Precinct 1",0
Representative in State Legislature 95th District (DEM),Sabrina Lopez,DEM,"Mt. Haley Township, Precinct 1",84
Representative in State Legislature 95th District (DEM),Write-in,DEM,"Mt. Haley Township, Precinct 1",0
Representative in State Legislature 95th District (DEM),Sabrina Lopez,DEM,"Porter Township, Precinct 1",55
Representative in State Legislature 95th District (DEM),Write-in,DEM,"Porter Township, Precinct 1",0
Representative in State Legislature 95th District (DEM),Sabrina Lopez,DEM,"Warren Township, Precinct 1",103
Representative in State Legislature 95th District (DEM),Write-in,DEM,"Warren Township, Precinct 1",0
Bay County Executive (DEM),Jim Barcia,DEM,"City of Midland, Precinct 2B",7
Bay County Executive (DEM),Write-in,DEM,"City of Midland, Precinct 2B",0
Midland County Prosecuting Attorney (DEM),Write-in,DEM,"City of Coleman, Precinct 1",11
Midland County Prosecuting Attorney (DEM),Write-in,DEM,"City of Midland, Precinct 1",14
Midland County Prosecuting Attorney (DEM),Write-in,DEM,"City of Midland, Precinct 2A",8
Midland County Prosecuting Attorney (DEM),Write-in,DEM,"City of Midland, Precinct 3",4
Midland County Prosecuting Attorney (DEM),Write-in,DEM,"City of Midland, Precinct 4",11
Midland County Prosecuting Attorney (DEM),Write-in,DEM,"City of Midland, Precinct 5",7
Midland County Prosecuting Attorney (DEM),Write-in,DEM,"City of Midland, Precinct 6",12
Midland County Prosecuting Attorney (DEM),Write-in,DEM,"City of Midland, Precinct 7",8
Midland County Prosecuting Attorney (DEM),Write-in,DEM,"City of Midland, Precinct 8",5
Midland County Prosecuting Attorney (DEM),Write-in,DEM,"City of Midland, Precinct 9",11
Midland County Prosecuting Attorney (DEM),Write-in,DEM,"City of Midland, Precinct 10",12
Midland County Prosecuting Attorney (DEM),Write-in,DEM,"Edenville Township, Precinct 1",15
Midland County Prosecuting Attorney (DEM),Write-in,DEM,"Geneva Township, Precinct 1",15
Midland County Prosecuting Attorney (DEM),Write-in,DEM,"Greendale Township, Precinct 1",9
Midland County Prosecuting Attorney (DEM),Write-in,DEM,"Homer Township, Precinct 1",9
Midland County Prosecuting Attorney (DEM),Write-in,DEM,"Homer Township, Precinct 2",4
Midland County Prosecuting Attorney (DEM),Write-in,DEM,"Homer Township, Precinct 3",4
Midland County Prosecuting Attorney (DEM),Write-in,DEM,"Hope Township, Precinct 1",9
Midland County Prosecuting Attorney (DEM),Write-in,DEM,"Ingersoll Township, Precinct 1",4
